ID;Geslacht;Leeftijd;NationaliteitInJaarVanImmigratie;Migratiemotief;KenmerkenWerk;JaarVanImmigratie;Perioden;WerknemersOp31DecemberNietEUEFTA_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2017;203060.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2018;236725.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2019;274120.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2020;296675.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2021;342780.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2022;429235.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;Totaal;2023;485685.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2017;11750.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2018;11710.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2019;11800.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2020;11785.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2021;11965.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2022;11860.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1999 ;2023;11705.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2000 ;2017;13965.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2000 ;2018;14095.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2000 ;2019;14140.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2000 ;2020;14080.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2000 ;2021;14340.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2000 ;2022;14390.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2000 ;2023;14145.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2001;2017;14100.0
22;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2001;2018;14210.0
23;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2001;2019;14340.0
24;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2001;2020;14240.0
25;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2001;2021;14545.0
26;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2001;2022;14515.0
27;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2001;2023;14350.0
28;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2002 ;2017;12345.0
29;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2002 ;2018;12460.0
30;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2002 ;2019;12675.0
31;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2002 ;2020;12565.0
32;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2002 ;2021;12855.0
33;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2002 ;2022;12825.0
34;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2002 ;2023;12650.0
35;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2003;2017;10835.0
36;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2003;2018;10985.0
37;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2003;2019;11235.0
38;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2003;2020;11055.0
39;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2003;2021;11380.0
40;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2003;2022;11410.0
41;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2003;2023;11300.0
42;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2004 ;2017;8150.0
43;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2004 ;2018;8435.0
44;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2004 ;2019;8755.0
45;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2004 ;2020;8695.0
46;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2004 ;2021;8965.0
47;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2004 ;2022;8980.0
48;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2004 ;2023;8900.0
49;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2005 ;2017;7025.0
50;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2005 ;2018;7185.0
51;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2005 ;2019;7520.0
52;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2005 ;2020;7610.0
53;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2005 ;2021;7945.0
54;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2005 ;2022;8050.0
55;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2005 ;2023;7960.0
56;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2006;2017;6395.0
57;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2006;2018;6570.0
58;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2006;2019;6755.0
59;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2006;2020;6950.0
60;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2006;2021;7365.0
61;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2006;2022;7475.0
62;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2006;2023;7395.0
63;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2007 ;2017;6475.0
64;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2007 ;2018;6575.0
65;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2007 ;2019;6785.0
66;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2007 ;2020;6975.0
67;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2007 ;2021;7440.0
68;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2007 ;2022;7560.0
69;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2007 ;2023;7490.0
70;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2008;2017;8825.0
71;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2008;2018;9015.0
72;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2008;2019;9145.0
73;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2008;2020;9340.0
74;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2008;2021;9885.0
75;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2008;2022;10070.0
76;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2008;2023;10000.0
77;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2009;2017;9355.0
78;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2009;2018;9555.0
79;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2009;2019;9795.0
80;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2009;2020;9735.0
