ID;PersonalCharacteristics;Accuracy;CaribbeanNetherlands;Periods;HappinessScore_1;Unhappy_2;NotHappyNotUnhappy_3;Happy_4;ScoreSatisfactionWithLife_5;Dissatisfied_6;NotSatisfiedNotDissatisfied_7;Satisfied_8;ScoreSatisfactionEducationOpportun_9;Dissatisfied_10;NotSatisfiedNotDissatisfied_11;Satisfied_12;ScoreSatisfactionWorkDailyActivit_13;Dissatisfied_14;NotSatisfiedNotDissatisfied_15;Satisfied_16;ScoreSatisfactionFinancialSituation_17;Dissatisfied_18;NotSatisfiedNotDissatisfied_19;Satisfied_20
0;Total persons;Percentage/average;Caribbean Netherlands ;2013;8.0;2.5;10.8;86.8;7.7;4.2;14.6;81.2;;;;;;;;;;;;
1;Total persons;Percentage/average;Caribbean Netherlands ;2017/2018;8.1;1.6;8.7;89.7;8.0;1.6;10.3;88.1;7.5;4.2;20.4;75.4;7.8;3.6;14.2;82.3;7.0;7.6;26.2;66.2
2;Total persons;Percentage/average;Bonaire;2013;8.0;2.0;10.9;87.0;7.7;4.1;15.6;80.3;;;;;;;;;;;;
3;Total persons;Percentage/average;Bonaire;2017/2018;8.1;1.5;9.2;89.3;8.0;1.5;9.8;88.7;7.6;3.3;19.5;77.2;7.9;2.5;13.2;84.3;7.2;6.1;24.5;69.4
4;Total persons;Percentage/average;St. Eustatius;2013;8.0;5.8;8.5;85.7;7.8;5.3;10.0;84.6;;;;;;;;;;;;
5;Total persons;Percentage/average;St. Eustatius;2017/2018;8.0;1.8;8.7;89.5;7.9;;13.5;85.2;7.3;4.3;26.6;69.1;7.5;5.4;19.0;75.6;6.9;7.7;30.4;62.0
6;Total persons;Percentage/average;Saba;2013;8.0;;13.7;86.3;7.9;3.2;14.4;82.4;;;;;;;;;;;;
7;Total persons;Percentage/average;Saba;2017/2018;8.3;1.6;6.8;91.7;8.2;2.4;7.5;90.1;7.7;7.4;14.6;78.0;7.9;4.7;10.5;84.8;6.7;13.6;26.6;59.8
8;Total persons;Reliability margin;Caribbean Netherlands ;2013;0.1;0.9;1.9;2.0;0.1;1.2;2.1;2.4;;;;;;;;;;;;
9;Total persons;Reliability margin;Caribbean Netherlands ;2017/2018;0.1;0.6;1.4;1.5;0.1;0.6;1.5;1.6;0.1;1.0;2.0;2.1;0.1;0.9;1.7;1.9;0.1;1.3;2.1;2.3
10;Total persons;Reliability margin;Bonaire;2013;0.1;1.0;2.2;2.4;0.1;1.4;2.5;2.8;;;;;;;;;;;;
11;Total persons;Reliability margin;Bonaire;2017/2018;0.1;0.7;1.8;1.9;0.1;0.8;1.9;2.0;0.1;1.1;2.5;2.6;0.1;1.0;2.1;2.3;0.1;1.5;2.7;2.9
12;Total persons;Reliability margin;St. Eustatius;2013;0.3;4.0;4.8;6.0;0.3;3.8;5.2;6.2;;;;;;;;;;;;
13;Total persons;Reliability margin;St. Eustatius;2017/2018;0.2;1.3;2.8;3.1;0.2;;3.4;3.6;0.2;2.0;4.5;4.7;0.2;2.3;3.9;4.3;0.2;2.7;4.6;4.9
14;Total persons;Reliability margin;Saba;2013;0.2;;5.5;5.5;0.3;2.8;5.7;6.2;;;;;;;;;;;;
15;Total persons;Reliability margin;Saba;2017/2018;0.2;1.5;3.1;3.4;0.2;1.9;3.3;3.7;0.3;3.3;4.4;5.2;0.2;2.6;3.8;4.4;0.3;4.3;5.5;6.1
16;Sex: male;Percentage/average;Caribbean Netherlands ;2013;8.0;2.9;11.4;85.7;7.7;5.5;14.5;80.0;;;;;;;;;;;;
17;Sex: male;Percentage/average;Caribbean Netherlands ;2017/2018;8.1;1.6;10.0;88.4;8.0;1.6;11.9;86.5;7.5;4.4;22.8;72.8;7.7;3.7;15.2;81.1;7.0;8.4;26.4;65.2
18;Sex: male;Percentage/average;Bonaire;2013;8.0;2.0;11.9;86.1;7.7;5.3;15.1;79.6;;;;;;;;;;;;
19;Sex: male;Percentage/average;Bonaire;2017/2018;8.1;1.7;10.5;87.8;8.0;1.9;12.0;86.2;7.4;3.6;23.0;73.4;7.8;3.3;14.1;82.7;7.1;7.1;25.8;67.1
20;Sex: male;Percentage/average;St. Eustatius;2013;7.7;8.0;8.4;83.7;7.7;6.9;11.1;82.0;;;;;;;;;;;;
21;Sex: male;Percentage/average;St. Eustatius;2017/2018;8.0;;10.8;87.9;7.9;;15.8;83.3;7.4;3.2;26.9;69.9;7.5;4.2;18.7;77.1;7.0;8.1;29.0;62.9
22;Sex: male;Percentage/average;Saba;2013;7.9;;13.0;87.0;7.8;;16.1;79.2;;;;;;;;;;;;
23;Sex: male;Percentage/average;Saba;2017/2018;8.3;;6.6;91.9;8.2;;5.4;93.0;7.6;9.8;15.2;75.0;7.8;4.6;13.9;81.5;6.7;14.1;24.9;61.0
24;Sex: male;Reliability margin;Caribbean Netherlands ;2013;0.1;1.4;2.6;2.9;0.2;1.9;2.9;3.3;;;;;;;;;;;;
25;Sex: male;Reliability margin;Caribbean Netherlands ;2017/2018;0.1;0.8;2.0;2.2;0.1;0.8;2.2;2.3;0.1;1.4;2.9;3.0;0.1;1.3;2.5;2.7;0.1;1.9;3.0;3.2
26;Sex: male;Reliability margin;Bonaire;2013;0.2;1.4;3.1;3.4;0.2;2.2;3.4;3.9;;;;;;;;;;;;
27;Sex: male;Reliability margin;Bonaire;2017/2018;0.1;1.1;2.6;2.8;0.1;1.2;2.8;3.0;0.2;1.6;3.7;3.9;0.1;1.5;3.0;3.3;0.2;2.2;3.8;4.1
28;Sex: male;Reliability margin;St. Eustatius;2013;0.5;6.2;6.4;8.5;0.5;5.8;7.3;8.9;;;;;;;;;;;;
29;Sex: male;Reliability margin;St. Eustatius;2017/2018;0.2;;4.4;4.6;0.2;;5.1;5.2;0.2;2.5;6.2;6.4;0.2;2.8;5.4;5.9;0.2;3.8;6.4;6.8
30;Sex: male;Reliability margin;Saba;2013;0.3;;7.7;7.7;0.4;;8.4;9.3;;;;;;;;;;;;
31;Sex: male;Reliability margin;Saba;2017/2018;0.3;;4.3;4.8;0.2;;3.9;4.5;0.4;5.2;6.3;7.6;0.3;3.7;6.1;6.8;0.4;6.1;7.6;8.5
32;Sex: female;Percentage/average;Caribbean Netherlands ;2013;8.1;2.0;10.1;87.9;7.8;2.8;14.7;82.5;;;;;;;;;;;;
33;Sex: female;Percentage/average;Caribbean Netherlands ;2017/2018;8.2;1.5;7.4;91.1;8.1;1.6;8.7;89.7;7.6;3.9;17.9;78.2;7.8;3.4;13.1;83.5;7.1;6.8;26.0;67.2
34;Sex: female;Percentage/average;Bonaire;2013;8.1;2.0;9.8;88.2;7.7;2.7;16.3;81.0;;;;;;;;;;;;
35;Sex: female;Percentage/average;Bonaire;2017/2018;8.1;1.2;7.8;91.0;8.1;1.2;7.5;91.3;7.7;3.1;15.7;81.2;7.9;1.7;12.3;86.0;7.2;5.0;23.2;71.8
36;Sex: female;Percentage/average;St. Eustatius;2013;8.3;;8.8;88.2;8.0;;8.7;87.9;;;;;;;;;;;;
37;Sex: female;Percentage/average;St. Eustatius;2017/2018;8.0;;6.5;91.2;7.9;;11.0;87.2;7.2;5.4;26.2;68.4;7.4;6.6;19.4;74.0;6.9;7.2;31.8;61.0
38;Sex: female;Percentage/average;Saba;2013;8.0;;14.5;85.5;8.0;;12.7;85.5;;;;;;;;;;;;
39;Sex: female;Percentage/average;Saba;2017/2018;8.4;;6.9;91.5;8.2;3.2;9.7;87.2;7.8;5.0;14.0;81.0;8.0;4.8;7.1;88.1;6.8;13.1;28.3;58.6
40;Sex: female;Reliability margin;Caribbean Netherlands ;2013;0.1;1.2;2.6;2.9;0.2;1.4;3.1;3.3;;;;;;;;;;;;
41;Sex: female;Reliability margin;Caribbean Netherlands ;2017/2018;0.1;0.8;1.8;2.0;0.1;0.9;2.0;2.1;0.1;1.4;2.7;2.9;0.1;1.3;2.4;2.6;0.1;1.8;3.1;3.3
42;Sex: female;Reliability margin;Bonaire;2013;0.2;1.4;3.0;3.3;0.2;1.7;3.8;4.0;;;;;;;;;;;;
43;Sex: female;Reliability margin;Bonaire;2017/2018;0.1;1.0;2.4;2.6;0.1;1.0;2.4;2.5;0.2;1.5;3.3;3.5;0.1;1.2;3.0;3.2;0.2;2.0;3.8;4.0
44;Sex: female;Reliability margin;St. Eustatius;2013;0.5;;7.3;8.3;0.5;;7.3;8.4;;;;;;;;;;;;
45;Sex: female;Reliability margin;St. Eustatius;2017/2018;0.2;;3.6;4.1;0.2;;4.5;4.9;0.2;3.3;6.4;6.8;0.3;3.6;5.7;6.4;0.3;3.7;6.7;7.1
46;Sex: female;Reliability margin;Saba;2013;0.3;;8.0;8.0;0.4;;7.6;8.0;;;;;;;;;;;;
47;Sex: female;Reliability margin;Saba;2017/2018;0.3;;4.5;4.9;0.3;3.1;5.2;5.9;0.4;3.8;6.1;6.9;0.3;3.7;4.5;5.7;0.4;5.9;7.9;8.6
48;Age: 15 to 44 years;Percentage/average;Caribbean Netherlands ;2013;7.9;2.3;10.5;87.2;7.7;3.3;14.9;81.8;;;;;;;;;;;;
49;Age: 15 to 44 years;Percentage/average;Caribbean Netherlands ;2017/2018;8.1;1.0;8.1;90.9;8.0;1.2;10.8;88.0;7.5;4.1;17.7;78.2;7.7;3.1;14.4;82.5;7.1;7.5;26.6;65.9
50;Age: 15 to 44 years;Percentage/average;Bonaire;2013;8.0;1.9;9.5;88.6;7.7;3.1;15.8;81.1;;;;;;;;;;;;
51;Age: 15 to 44 years;Percentage/average;Bonaire;2017/2018;8.2;1.2;7.8;91.0;8.0;1.6;10.0;88.5;7.6;3.6;17.0;79.4;7.9;1.5;14.5;84.0;7.2;5.1;25.5;69.4
52;Age: 15 to 44 years;Percentage/average;St. Eustatius;2013;7.7;5.3;13.9;80.9;7.8;;9.5;86.1;;;;;;;;;;;;
53;Age: 15 to 44 years;Percentage/average;St. Eustatius;2017/2018;7.9;;11.8;88.3;7.9;;14.4;85.6;7.3;5.3;21.0;73.7;7.4;5.4;16.8;77.8;6.9;8.3;29.2;62.6
54;Age: 15 to 44 years;Percentage/average;Saba;2013;7.9;;12.1;87.9;7.9;;17.1;80.0;;;;;;;;;;;;
55;Age: 15 to 44 years;Percentage/average;Saba;2017/2018;8.2;;4.6;94.0;8.0;;9.2;89.5;7.7;4.4;15.7;79.9;7.7;5.1;11.0;84.0;6.7;14.2;27.2;58.6
56;Age: 15 to 44 years;Reliability margin;Caribbean Netherlands ;2013;0.1;1.3;2.6;2.8;0.1;1.5;3.0;3.3;;;;;;;;;;;;
57;Age: 15 to 44 years;Reliability margin;Caribbean Netherlands ;2017/2018;0.1;0.7;1.9;2.0;0.1;0.7;2.2;2.3;0.1;1.4;2.7;2.9;0.1;1.2;2.5;2.6;0.1;1.8;3.1;3.3
58;Age: 15 to 44 years;Reliability margin;Bonaire;2013;0.1;1.4;2.9;3.2;0.2;1.7;3.6;3.9;;;;;;;;;;;;
59;Age: 15 to 44 years;Reliability margin;Bonaire;2017/2018;0.1;1.0;2.4;2.6;0.1;1.1;2.7;2.9;0.2;1.7;3.4;3.7;0.1;1.1;3.2;3.4;0.2;2.0;3.9;4.2
60;Age: 15 to 44 years;Reliability margin;St. Eustatius;2013;0.4;5.3;8.3;9.4;0.4;;7.0;8.3;;;;;;;;;;;;
61;Age: 15 to 44 years;Reliability margin;St. Eustatius;2017/2018;0.2;;4.7;4.7;0.2;;5.1;5.1;0.2;3.3;5.9;6.4;0.2;3.3;5.4;6.1;0.3;4.0;6.7;7.1
62;Age: 15 to 44 years;Reliability margin;Saba;2013;0.3;;6.6;6.6;0.4;;7.6;8.1;;;;;;;;;;;;
63;Age: 15 to 44 years;Reliability margin;Saba;2017/2018;0.2;;3.4;3.9;0.2;;4.7;5.0;0.3;3.4;6.0;6.6;0.3;3.6;5.1;6.0;0.4;5.7;7.3;8.1
64;Age: 45 years or older;Percentage/average;Caribbean Netherlands ;2013;8.1;2.7;11.1;86.3;7.8;5.2;14.3;80.6;;;;;;;;;;;;
