ID;Rechtsvorm;Behandelingsduur;Perioden;TotaalAfgewikkeldeFaillissementen_1;MetZekereStrafbareBenadeling_2;ZonderZekereStrafbareBenadeling_3;TotaalActiva_4;AfgedragenZekerheden_5;SaldoActiva_6;TotaalSchulden_7;Boedelkosten_8;SchuldenAanFiscusEnUWV_9;OverigeSchulden_10;TotaalUitkeringen_11;Boedeluitkeringen_12;UitgekeerdAanFiscusEnUWV_13;UitgekeerdAanOverigen_14;TotaalOnbetaaldGeblevenSchuld_15;TotaalOnbetaaldeSchuldAanFiscus_16;GemiddeldOnbetaaldeSchuld_17;GemiddeldOnbetaaldeSchuldAanFiscus_18;TotaalOnbetaaldGeblevenSchuld_19;TotaalOnbetaaldeSchuldAanFiscus_20;GemiddeldOnbetaaldeSchuld_21;GemiddeldOnbetaaldeSchuldAanFiscus_22;Mismanagement_23;EconomischeOorzaak_24;FaillissementHolding_25;ProblemenBinnenDirectie_26;LegeBVSDubieuzeHandelingen_27;OverigeOorzaken_28
0;Totaal rechtsvorm;Totaal behandelingsduur;1992;3447;173;3274;319.3;197.4;121.9;1258.4;84.6;306.8;866.9;121.9;70.5;29.3;22.0;64.6;22.1;372.8;127.6;1072.0;255.4;327.4;78.0;1228.0;401.0;126.0;61.0;78.0;1553
1;Totaal rechtsvorm;Totaal behandelingsduur;1994;5031;372;4659;287.6;157.9;129.7;1478.1;83.8;379.3;1015.0;129.7;65.5;39.3;24.9;152.0;55.6;408.8;149.6;1196.4;284.4;256.8;61.0;1299.0;882.0;223.0;103.0;192.0;2332
2;Totaal rechtsvorm;Totaal behandelingsduur;1996;5266;348;4918;292.9;154.6;138.3;1437.5;107.4;438.5;891.7;138.3;85.3;34.7;18.2;163.3;90.7;469.8;261.0;1135.9;313.0;231.0;63.6;1600.0;980.0;220.0;91.0;126.0;2249
3;Totaal rechtsvorm;Totaal behandelingsduur;1998;5098;625;4473;295.2;105.4;189.9;1647.0;117.2;363.7;1166.2;189.9;91.8;36.7;61.3;194.4;70.9;311.1;113.5;1262.7;256.0;282.3;57.2;1382.0;707.0;189.0;65.0;147.0;2608
4;Totaal rechtsvorm;Totaal behandelingsduur;2000;3758;380;3378;277.6;121.2;156.4;1338.1;118.0;286.6;933.5;156.0;94.1;41.3;20.6;155.4;44.7;409.0;117.6;1026.7;200.6;303.9;59.4;1136.0;604.0;162.0;78.0;114.0;1664
5;Totaal rechtsvorm;Totaal behandelingsduur;2002;3948;340;3608;203.4;82.6;120.7;1247.5;93.5;318.0;836.0;119.3;70.2;30.8;18.3;157.1;33.2;462.3;97.7;971.2;254.0;269.2;70.4;942.0;562.0;390.0;91.0;88.0;1875
6;Totaal rechtsvorm;Totaal behandelingsduur;2004;5939;359;5580;289.7;77.8;211.9;2098.7;155.2;495.7;1447.7;208.5;110.0;36.8;61.6;234.0;43.2;652.1;120.4;1656.2;415.7;296.8;74.5;1211.0;1049.0;385.0;143.0;133.0;3018
7;Totaal rechtsvorm;Totaal behandelingsduur;2006;9119;528;8591;820.2;138.8;681.4;3788.8;278.4;918.2;2592.3;680.1;203.9;82.3;393.9;290.4;91.4;549.9;173.1;2818.3;744.5;328.1;86.7;1767.0;1856.0;423.0;182.0;235.0;4656
8;Totaal rechtsvorm;Totaal behandelingsduur;2008;7196;571;6625;478.2;84.0;394.2;4020.1;243.1;911.3;2865.7;394.0;185.5;60.9;147.7;366.5;87.9;641.5;153.9;3259.6;762.6;492.0;115.1;1698.0;1529.0;304.0;81.0;118.0;3466
9;Totaal rechtsvorm;Totaal behandelingsduur;2010;7639;725;6914;488.1;39.1;449.0;4622.1;314.4;1068.0;3239.7;449.0;236.4;75.3;137.3;714.4;121.3;986.1;167.4;3458.7;871.4;500.2;126.0;1748.0;1958.0;647.0;96.0;141.0;3049
10;Totaal rechtsvorm;Behandelingsduur tot 12 maanden;1992;1173;46;1127;19.5;14.1;5.4;176.0;5.5;53.2;117.3;5.4;3.7;1.3;0.5;9.3;3.7;201.0;79.9;161.3;48.2;143.1;42.8;320.0;160.0;30.0;19.0;25.0;619
11;Totaal rechtsvorm;Behandelingsduur tot 12 maanden;1994;1699;83;1616;26.1;17.1;9.1;247.0;8.8;65.6;172.7;9.1;5.1;2.3;1.7;14.6;9.0;175.3;108.0;223.3;54.3;138.3;33.6;395.0;303.0;32.0;20.0;48.0;901
12;Totaal rechtsvorm;Behandelingsduur tot 12 maanden;1996;1448;69;1379;10.7;4.6;6.1;168.4;7.5;51.3;109.5;6.1;4.3;1.1;0.7;7.4;4.0;106.1;56.9;154.9;46.3;112.4;33.6;394.0;255.0;41.0;22.0;28.0;708
13;Totaal rechtsvorm;Behandelingsduur tot 12 maanden;1998;1275;106;1169;15.1;6.1;9.0;159.1;7.1;50.9;101.1;9.0;3.2;1.3;4.5;22.6;11.1;212.4;104.2;127.6;38.6;109.1;33.0;322.0;148.0;24.0;9.0;25.0;747
14;Totaal rechtsvorm;Behandelingsduur tot 12 maanden;2000;746;60;686;43.9;38.0;5.9;85.7;4.7;22.5;58.5;5.8;2.7;1.3;1.8;11.2;4.8;187.4;80.6;68.8;16.4;100.2;23.9;167.0;77.0;31.0;15.0;21.0;435
15;Totaal rechtsvorm;Behandelingsduur tot 12 maanden;2002;1015;77;939;6.0;1.0;5.0;121.2;5.4;28.9;86.9;3.7;2.7;0.5;0.5;13.1;6.7;170.8;87.8;104.3;21.7;111.2;23.1;133.0;75.0;56.0;12.0;15.0;724
16;Totaal rechtsvorm;Behandelingsduur tot 12 maanden;2004;1746;34;1712;12.0;6.0;6.0;197.7;8.5;49.2;139.9;6.0;4.0;1.0;0.9;6.4;1.9;187.0;54.5;185.4;46.4;108.3;27.1;159.0;190.0;86.0;21.0;33.0;1257
17;Totaal rechtsvorm;Behandelingsduur tot 12 maanden;2006;2877;40;2837;18.7;7.8;10.9;285.3;12.4;90.1;182.8;10.1;6.9;1.9;1.2;7.9;3.4;198.1;83.8;267.3;84.8;94.2;29.9;288.0;301.0;80.0;24.0;38.0;2146
18;Totaal rechtsvorm;Behandelingsduur tot 12 maanden;2008;1702;24;1678;9.7;1.6;8.1;210.5;8.2;76.3;126.0;8.1;4.9;1.7;1.5;6.6;2.8;277.1;116.6;195.9;71.9;116.7;42.8;220.0;180.0;40.0;16.0;18.0;1228
19;Totaal rechtsvorm;Behandelingsduur tot 12 maanden;2010;1976;70;1906;16.4;2.7;13.7;427.6;18.4;81.5;327.6;13.7;9.7;1.9;2.1;14.7;4.2;209.7;60.6;399.1;75.4;209.4;39.6;294.0;450.0;179.0;17.0;45.0;991
20;Totaal rechtsvorm;Behandelingsduur 12 tot 24 maanden;1992;951;49;902;48.3;33.0;15.3;233.3;12.9;66.9;153.5;15.3;9.3;4.1;1.9;17.9;8.6;364.5;174.9;200.0;54.2;221.8;60.1;377.0;120.0;24.0;20.0;27.0;383
21;Totaal rechtsvorm;Behandelingsduur 12 tot 24 maanden;1994;1536;107;1430;63.2;35.6;27.6;369.0;21.2;98.3;249.6;27.6;15.4;8.1;4.1;26.0;7.8;243.8;73.5;315.5;82.3;220.6;57.6;407.0;306.0;71.0;35.0;47.0;670
22;Totaal rechtsvorm;Behandelingsduur 12 tot 24 maanden;1996;1658;81;1576;73.2;45.9;27.2;333.1;23.9;98.6;210.7;27.2;17.7;5.8;3.7;14.0;5.8;172.3;71.6;291.9;86.9;185.2;55.2;534.0;326.0;68.0;19.0;33.0;678
