ID;Uitkeringen;Perioden;SocialeUitkeringen_1
0;Totaal sociale uitkeringen;1995;67444
1;Totaal sociale uitkeringen;1996;66956
2;Totaal sociale uitkeringen;1997;68368
3;Totaal sociale uitkeringen;1998;70721
4;Totaal sociale uitkeringen;1999;72764
5;Totaal sociale uitkeringen;2000;76485
6;Totaal sociale uitkeringen;2001;81725
7;Totaal sociale uitkeringen;2002;88171
8;Totaal sociale uitkeringen;2003;94263
9;Totaal sociale uitkeringen;2004;96316
10;Totaal sociale uitkeringen;2005;97740
11;Totaal sociale uitkeringen;2006;110801
12;Totaal sociale uitkeringen;2007;114985
13;Totaal sociale uitkeringen;2008;122111
14;Totaal sociale uitkeringen;2009;130582
15;Totaal sociale uitkeringen;2010;136453
16;Totaal sociale uitkeringen;2011;139982
17;Totaal sociale uitkeringen;2012;144465
18;Totaal sociale uitkeringen;2013;148352
19;Totaal sociale uitkeringen;2014;149898
20;Totaal sociale uitkeringen;2015;150662
21;Totaal sociale uitkeringen;2016;154009
22;Totaal sociale uitkeringen;2017;156389
23;Totaal sociale uitkeringen;2018;161326
24;Totaal sociale uitkeringen;2019;168425
25;Totaal sociale uitkeringen;2020;173012
26;Totaal sociale uitkeringen;2021;183491
27;Totaal sociale uitkeringen;2022;190701
28;Totaal sociale uitkeringen;2023;212598
29;Totaal wettelijke sociale uitkeringen;1995;51825
30;Totaal wettelijke sociale uitkeringen;1996;51496
31;Totaal wettelijke sociale uitkeringen;1997;54291
32;Totaal wettelijke sociale uitkeringen;1998;55278
33;Totaal wettelijke sociale uitkeringen;1999;57148
34;Totaal wettelijke sociale uitkeringen;2000;60025
35;Totaal wettelijke sociale uitkeringen;2001;64709
36;Totaal wettelijke sociale uitkeringen;2002;70272
37;Totaal wettelijke sociale uitkeringen;2003;75652
38;Totaal wettelijke sociale uitkeringen;2004;77628
39;Totaal wettelijke sociale uitkeringen;2005;78575
40;Totaal wettelijke sociale uitkeringen;2006;88245
41;Totaal wettelijke sociale uitkeringen;2007;89232
42;Totaal wettelijke sociale uitkeringen;2008;93256
43;Totaal wettelijke sociale uitkeringen;2009;99747
44;Totaal wettelijke sociale uitkeringen;2010;104083
45;Totaal wettelijke sociale uitkeringen;2011;106449
46;Totaal wettelijke sociale uitkeringen;2012;111014
47;Totaal wettelijke sociale uitkeringen;2013;114557
48;Totaal wettelijke sociale uitkeringen;2014;116662
49;Totaal wettelijke sociale uitkeringen;2015;113146
50;Totaal wettelijke sociale uitkeringen;2016;114892
51;Totaal wettelijke sociale uitkeringen;2017;116466
52;Totaal wettelijke sociale uitkeringen;2018;119904
53;Totaal wettelijke sociale uitkeringen;2019;125003
54;Totaal wettelijke sociale uitkeringen;2020;127847
55;Totaal wettelijke sociale uitkeringen;2021;135520
56;Totaal wettelijke sociale uitkeringen;2022;140451
57;Totaal wettelijke sociale uitkeringen;2023;155766
58;Alg. Arbeidsongeschiktheidswet (AAW);1995;5987
