ID;CaoSectors;SectorBranchesSIC2008;Version;Periods;MonthlyCaoWagesExclSpecialPayments_1;MonthlyCaoWagesInclSpecialPayments_2;HourlyCaoWagesExclSpecialPayments_3;HourlyCaoWagesInclSpecialPayments_4;MonthlyContractualWageCosts_5;HourlyContractualWageCosts_6;ContractualWorkingHours_7;MonthlyCaoWagesExclSpecialPayments_8;MonthlyCaoWagesInclSpecialPayments_9;HourlyCaoWagesExclSpecialPayments_10;HourlyCaoWagesInclSpecialPayments_11;MonthlyContractualWageCosts_12;HourlyContractualWageCosts_13;ContractualWorkingHours_14;PercentageOfCaoSConcluded_15
0;Total Collective labour agreement sector;A-U All economic activities;Current figures;1972 year;27.2;26.3;;23.5;;;;;;;;;;;
1;Total Collective labour agreement sector;A-U All economic activities;Current figures;1973 year;30.4;29.5;;26.5;;;;11.8;12.0;;13.1;;;;
2;Total Collective labour agreement sector;A-U All economic activities;Current figures;1974 year;34.5;33.7;;30.5;;;;13.5;14.4;;14.8;;;;
3;Total Collective labour agreement sector;A-U All economic activities;Current figures;1975 year;38.9;37.9;;35.2;;;;12.6;12.4;;15.5;;;;
4;Total Collective labour agreement sector;A-U All economic activities;Current figures;1976 year;42.4;41.4;;38.5;;;;9.1;9.1;;9.4;;;;
5;Total Collective labour agreement sector;A-U All economic activities;Current figures;1977 year;45.4;44.5;;41.3;;;;7.0;7.6;;7.2;;;;
6;Total Collective labour agreement sector;A-U All economic activities;Current figures;1978 year;48.1;47.1;;43.9;;;;6.0;5.8;;6.3;;;;
7;Total Collective labour agreement sector;A-U All economic activities;Current figures;1979 year;50.3;49.5;;46.0;;;;4.5;5.0;;4.8;;;;
8;Total Collective labour agreement sector;A-U All economic activities;Current figures;1980 year;52.5;51.4;;47.9;;;108.7;4.3;3.8;;4.1;;;;
9;Total Collective labour agreement sector;A-U All economic activities;Current figures;1981 year;54.1;52.7;;49.1;;;108.2;3.1;2.6;;2.6;;;-0.5;
10;Total Collective labour agreement sector;A-U All economic activities;Current figures;1982 year;57.6;56.1;;52.4;;;107.9;6.5;6.4;;6.6;;;-0.3;
11;Total Collective labour agreement sector;A-U All economic activities;Current figures;1983 year;58.1;56.6;;52.9;;;106.9;0.8;1.0;;1.1;;;-0.9;
12;Total Collective labour agreement sector;A-U All economic activities;Current figures;1984 year;57.9;56.4;;53.0;;;105.7;-0.4;-0.4;;0.1;;;-1.1;
13;Total Collective labour agreement sector;A-U All economic activities;Current figures;1985 year;58.1;56.8;;54.4;;;103.9;0.4;0.7;;2.7;;;-1.7;
14;Total Collective labour agreement sector;A-U All economic activities;Current figures;1986 year;58.7;57.4;;55.6;;;103.0;1.0;1.1;;2.2;;;-0.9;
15;Total Collective labour agreement sector;A-U All economic activities;Current figures;1987 year;59.2;57.8;;56.2;;;102.5;0.8;0.7;;1.1;;;-0.5;
16;Total Collective labour agreement sector;A-U All economic activities;Current figures;1988 year;59.7;58.1;;56.7;;;102.3;0.8;0.5;;0.8;;;-0.2;
