ID;PositieInDeWerkkring;Geslacht;Arbeidsduur;Persoonskenmerken;Perioden;AantalPersonen15Tot65Jaar_1;GemiddeldPersoonlijkPrimairInkomen_2;GemiddeldPersoonlijkInkomen_3;GemiddeldGestandaardiseerdInkomen_4
0;1;Mannen en vrouwen;Totaal arbeidsduur;Totaal persoonskenmerken;2005;6973.0;38.0;31.3;23.6
1;1;Mannen en vrouwen;Totaal arbeidsduur;Totaal persoonskenmerken;2006;7097.0;39.5;32.9;24.9
2;1;Mannen en vrouwen;Totaal arbeidsduur;Totaal persoonskenmerken;2007;7309.0;40.6;34.3;26.8
3;1;Mannen en vrouwen;Totaal arbeidsduur;Totaal persoonskenmerken;2008;7501.0;41.6;35.5;27.2
4;1;Mannen en vrouwen;Totaal arbeidsduur;Totaal persoonskenmerken;2009;7469.0;42.1;36.2;27.5
5;1;Mannen en vrouwen;Totaal arbeidsduur;Totaal persoonskenmerken;2010;7391.0;42.7;36.5;27.3
6;1;Mannen en vrouwen;Totaal arbeidsduur;Totaal persoonskenmerken;2011;7392.0;43.3;37.0;27.4
7;1;Mannen en vrouwen;Totaal arbeidsduur;Totaal persoonskenmerken;2012;7387.0;44.1;37.3;27.5
8;1;Mannen en vrouwen;Totaal arbeidsduur;Leeftijd: 15 tot 25 jaar;2005;747.0;16.8;15.1;22.8
9;1;Mannen en vrouwen;Totaal arbeidsduur;Leeftijd: 15 tot 25 jaar;2006;762.0;17.6;15.9;23.9
10;1;Mannen en vrouwen;Totaal arbeidsduur;Leeftijd: 15 tot 25 jaar;2007;804.0;17.4;16.0;25.3
11;1;Mannen en vrouwen;Totaal arbeidsduur;Leeftijd: 15 tot 25 jaar;2008;832.0;17.9;16.4;25.8
12;1;Mannen en vrouwen;Totaal arbeidsduur;Leeftijd: 15 tot 25 jaar;2009;802.0;17.9;16.7;25.5
13;1;Mannen en vrouwen;Totaal arbeidsduur;Leeftijd: 15 tot 25 jaar;2010;756.0;17.1;15.9;25.0
14;1;Mannen en vrouwen;Totaal arbeidsduur;Leeftijd: 15 tot 25 jaar;2011;764.0;17.3;16.2;25.6
15;1;Mannen en vrouwen;Totaal arbeidsduur;Leeftijd: 15 tot 25 jaar;2012;753.0;17.4;16.2;25.8
16;1;Mannen en vrouwen;Totaal arbeidsduur;Leeftijd: 25 tot 45 jaar;2005;3752.0;38.2;31.0;22.1
