ID;RegioS;SociaalEconomischeCategorie;AantalPersonenMet52WekenInkomen_1;GemiddeldBesteedbaarInkomen_2
0;Nederland;Totaal sociaal-economische categorie;11404.4;18.6
1;Nederland;Totaal actief;7099.4;21.2
2;Nederland;Werknemer;6187.2;20.9
3;Nederland;Zelfstandige;822.5;24.6
4;Nederland;Totaal niet-actief;4305.0;14.4
5;Nederland;Werkloosheids- en bijstandsuitk. ontv.;494.6;12.3
6;Nederland;Pensioenontvanger;2622.5;16.5
7;Noord-Nederland (LD);Totaal sociaal-economische categorie;1184.7;17.2
8;Noord-Nederland (LD);Totaal actief;704.5;19.6
9;Noord-Nederland (LD);Werknemer;600.7;19.3
10;Noord-Nederland (LD);Zelfstandige;91.8;23.0
11;Noord-Nederland (LD);Totaal niet-actief;480.2;13.7
12;Noord-Nederland (LD);Werkloosheids- en bijstandsuitk. ontv.;55.3;12.1
13;Noord-Nederland (LD);Pensioenontvanger;295.9;15.5
14;Oost-Nederland (LD);Totaal sociaal-economische categorie;2391.4;17.9
15;Oost-Nederland (LD);Totaal actief;1511.6;20.2
16;Oost-Nederland (LD);Werknemer;1312.7;19.9
17;Oost-Nederland (LD);Zelfstandige;176.1;24.0
18;Oost-Nederland (LD);Totaal niet-actief;879.8;14.1
19;Oost-Nederland (LD);Werkloosheids- en bijstandsuitk. ontv.;93.0;12.2
20;Oost-Nederland (LD);Pensioenontvanger;536.8;16.1
21;West-Nederland (LD);Totaal sociaal-economische categorie;5313.1;19.5
22;West-Nederland (LD);Totaal actief;3338.0;22.3
23;West-Nederland (LD);Werknemer;2924.3;22.0
24;West-Nederland (LD);Zelfstandige;379.2;25.7
25;West-Nederland (LD);Totaal niet-actief;1975.1;14.8
26;West-Nederland (LD);Werkloosheids- en bijstandsuitk. ontv.;245.4;12.4
27;West-Nederland (LD);Pensioenontvanger;1187.5;17.1
28;Zuid-Nederland (LD);Totaal sociaal-economische categorie;2515.2;18.0
29;Zuid-Nederland (LD);Totaal actief;1545.4;20.5
30;Zuid-Nederland (LD);Werknemer;1349.5;20.3
31;Zuid-Nederland (LD);Zelfstandige;175.3;23.5
32;Zuid-Nederland (LD);Totaal niet-actief;969.9;14.1
33;Zuid-Nederland (LD);Werkloosheids- en bijstandsuitk. ontv.;100.8;12.2
34;Zuid-Nederland (LD);Pensioenontvanger;602.3;16.0
35;Groningen (PV);Totaal sociaal-economische categorie;399.7;16.9
36;Groningen (PV);Totaal actief;228.9;19.6
37;Groningen (PV);Werknemer;198.4;19.5
38;Groningen (PV);Zelfstandige;27.0;22.6
39;Groningen (PV);Totaal niet-actief;170.8;13.3
40;Groningen (PV);Werkloosheids- en bijstandsuitk. ontv.;22.9;12.0
41;Groningen (PV);Pensioenontvanger;95.2;15.3
42;Friesland (PV);Totaal sociaal-economische categorie;443.2;17.2
43;Friesland (PV);Totaal actief;270.3;19.4
44;Friesland (PV);Werknemer;226.1;19.0
45;Friesland (PV);Zelfstandige;39.0;23.5
46;Friesland (PV);Totaal niet-actief;172.9;13.8
47;Friesland (PV);Werkloosheids- en bijstandsuitk. ontv.;19.4;12.3
48;Friesland (PV);Pensioenontvanger;110.1;15.4
49;Drenthe (PV);Totaal sociaal-economische categorie;341.8;17.5
50;Drenthe (PV);Totaal actief;205.2;19.7
51;Drenthe (PV);Werknemer;176.2;19.5
52;Drenthe (PV);Zelfstandige;25.8;22.8
53;Drenthe (PV);Totaal niet-actief;136.6;14.2
54;Drenthe (PV);Werkloosheids- en bijstandsuitk. ontv.;13.1;12.1
55;Drenthe (PV);Pensioenontvanger;90.6;15.9
56;Overijssel (PV);Totaal sociaal-economische categorie;771.7;17.4
57;Overijssel (PV);Totaal actief;478.4;19.6
58;Overijssel (PV);Werknemer;415.8;19.3
59;Overijssel (PV);Zelfstandige;54.2;24.0
60;Overijssel (PV);Totaal niet-actief;293.3;13.7
61;Overijssel (PV);Werkloosheids- en bijstandsuitk. ontv.;30.9;12.0
62;Overijssel (PV);Pensioenontvanger;177.4;15.6
63;Flevoland (PV);Totaal sociaal-economische categorie;245.5;18.2
64;Flevoland (PV);Totaal actief;169.3;20.4
65;Flevoland (PV);Werknemer;148.4;20.3
66;Flevoland (PV);Zelfstandige;18.7;22.6
67;Flevoland (PV);Totaal niet-actief;76.2;13.4
68;Flevoland (PV);Werkloosheids- en bijstandsuitk. ontv.;11.6;12.6
69;Flevoland (PV);Pensioenontvanger;38.3;15.6
70;Gelderland (PV);Totaal sociaal-economische categorie;1374.2;18.2
71;Gelderland (PV);Totaal actief;863.9;20.5
72;Gelderland (PV);Werknemer;748.5;20.2
73;Gelderland (PV);Zelfstandige;103.2;24.4
74;Gelderland (PV);Totaal niet-actief;510.3;14.4
75;Gelderland (PV);Werkloosheids- en bijstandsuitk. ontv.;50.5;12.3
76;Gelderland (PV);Pensioenontvanger;321.1;16.4
77;Utrecht (PV);Totaal sociaal-economische categorie;827.6;20.1
78;Utrecht (PV);Totaal actief;535.1;22.9
79;Utrecht (PV);Werknemer;471.4;22.5
80;Utrecht (PV);Zelfstandige;58.6;27.0
81;Utrecht (PV);Totaal niet-actief;292.5;14.9
82;Utrecht (PV);Werkloosheids- en bijstandsuitk. ontv.;27.6;12.4
83;Utrecht (PV);Pensioenontvanger;170.1;17.8
84;Noord-Holland (PV);Totaal sociaal-economische categorie;1834.0;19.8
85;Noord-Holland (PV);Totaal actief;1148.2;22.7
86;Noord-Holland (PV);Werknemer;991.4;22.5
87;Noord-Holland (PV);Zelfstandige;146.7;25.2
88;Noord-Holland (PV);Totaal niet-actief;685.8;14.9
89;Noord-Holland (PV);Werkloosheids- en bijstandsuitk. ontv.;85.6;12.5
90;Noord-Holland (PV);Pensioenontvanger;399.4;17.2
91;Zuid-Holland (PV);Totaal sociaal-economische categorie;2386.1;19.2
92;Zuid-Holland (PV);Totaal actief;1491.5;22.0
93;Zuid-Holland (PV);Werknemer;1324.1;21.7
94;Zuid-Holland (PV);Zelfstandige;151.3;25.8
95;Zuid-Holland (PV);Totaal niet-actief;894.5;14.6
96;Zuid-Holland (PV);Werkloosheids- en bijstandsuitk. ontv.;123.9;12.3
97;Zuid-Holland (PV);Pensioenontvanger;544.7;16.9
98;Zeeland (PV);Totaal sociaal-economische categorie;265.5;18.0
99;Zeeland (PV);Totaal actief;163.2;20.1
100;Zeeland (PV);Werknemer;137.5;19.7
101;Zeeland (PV);Zelfstandige;22.6;24.2
102;Zeeland (PV);Totaal niet-actief;102.3;14.6
103;Zeeland (PV);Werkloosheids- en bijstandsuitk. ontv.;8.4;12.7
104;Zeeland (PV);Pensioenontvanger;73.2;16.0
105;Noord-Brabant (PV);Totaal sociaal-economische categorie;1710.8;18.4
106;Noord-Brabant (PV);Totaal actief;1079.7;20.8
107;Noord-Brabant (PV);Werknemer;941.4;20.6
108;Noord-Brabant (PV);Zelfstandige;124.4;24.1
109;Noord-Brabant (PV);Totaal niet-actief;631.1;14.3
110;Noord-Brabant (PV);Werkloosheids- en bijstandsuitk. ontv.;61.2;12.3
111;Noord-Brabant (PV);Pensioenontvanger;394.6;16.3
112;Limburg (PV);Totaal sociaal-economische categorie;804.5;17.3
113;Limburg (PV);Totaal actief;465.7;19.7
114;Limburg (PV);Werknemer;408.1;19.7
115;Limburg (PV);Zelfstandige;50.9;22.2
116;Limburg (PV);Totaal niet-actief;338.8;13.9
117;Limburg (PV);Werkloosheids- en bijstandsuitk. ontv.;39.6;12.0
118;Limburg (PV);Pensioenontvanger;207.7;15.6
119;Oost-Groningen (CR);Totaal sociaal-economische categorie;107.8;16.2
120;Oost-Groningen (CR);Totaal actief;61.2;18.5
121;Oost-Groningen (CR);Werknemer;53.4;18.4
122;Oost-Groningen (CR);Zelfstandige;7.0;20.4
123;Oost-Groningen (CR);Totaal niet-actief;46.6;13.2
124;Oost-Groningen (CR);Werkloosheids- en bijstandsuitk. ontv.;5.5;12.1
125;Oost-Groningen (CR);Pensioenontvanger;29.6;14.1
126;Delfzijl en omgeving (CR);Totaal sociaal-economische categorie;35.0;17.1
127;Delfzijl en omgeving (CR);Totaal actief;20.1;19.5
128;Delfzijl en omgeving (CR);Werknemer;17.2;19.4
129;Delfzijl en omgeving (CR);Zelfstandige;2.5;22.8
130;Delfzijl en omgeving (CR);Totaal niet-actief;14.9;13.7
131;Delfzijl en omgeving (CR);Werkloosheids- en bijstandsuitk. ontv.;1.8;12.7
132;Delfzijl en omgeving (CR);Pensioenontvanger;10.0;14.7
133;Overig Groningen (CR);Totaal sociaal-economische categorie;256.9;17.2
134;Overig Groningen (CR);Totaal actief;147.6;20.1
135;Overig Groningen (CR);Werknemer;127.9;19.9
136;Overig Groningen (CR);Zelfstandige;17.5;23.4
