ID;Geslacht;Persoonskenmerken;UitstromersMboMetEnZonderDiploma;Arbeidskenmerken;Studierichting;Peilmoment;Perioden;UitstromersMbo_1
0;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2007/'08;135690.0
1;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2008/'09;133320.0
2;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2009/'10;141770.0
3;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2010/'11;147870.0
4;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2011/'12;147310.0
5;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2012/'13;141460.0
6;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2013/'14;135730.0
7;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2014/'15;129350.0
8;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2015/'16;119900.0
9;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2016/'17;123410.0
10;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2017/'18;122660.0
11;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2018/'19;126990.0
12;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2019/'20;120340.0
13;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;Direct na verlaten onderwijs;2020/'21;126790.0
14;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2007/'08;135690.0
15;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2008/'09;133320.0
16;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2009/'10;141770.0
17;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2010/'11;147870.0
18;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2011/'12;147310.0
19;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2012/'13;141460.0
20;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2013/'14;135730.0
21;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2014/'15;129350.0
22;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2015/'16;119900.0
23;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2016/'17;123410.0
24;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2017/'18;122660.0
25;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2018/'19;126990.0
26;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2019/'20;120340.0
27;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;1 jaar na verlaten onderwijs;2020/'21;
28;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;2 jaar na verlaten onderwijs;2007/'08;135690.0
29;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;2 jaar na verlaten onderwijs;2008/'09;133320.0
30;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;2 jaar na verlaten onderwijs;2009/'10;141770.0
31;Totaal;Totaal;Bol-vt en bbl totaal;Totaal;Totaal;2 jaar na verlaten onderwijs;2010/'11;147870.0
