ID;Countries;Periods;TotalMenAndWomen_1;Men_2;Women_3;Unknown_4;AllAges_5;YoungerThan15Years_6;k_15To17Years_7;k_18YearsOrOlder_8
43;Total countries;2006 4th quarter;2490.0;1600.0;890.0;0.0;2490.0;570.0;170.0;1750.0
44;Total countries;2006;14470.0;8970.0;5480.0;20.0;14470.0;3600.0;920.0;9940.0
45;Total countries;2007 1st quarter;2530.0;1590.0;940.0;0.0;2530.0;550.0;150.0;1840.0
46;Total countries;2007 2nd quarter;2140.0;1390.0;750.0;0.0;2140.0;420.0;140.0;1580.0
47;Total countries;2007 3rd quarter;2470.0;1620.0;850.0;0.0;2470.0;420.0;150.0;1910.0
48;Total countries;2007 4th quarter;2590.0;1760.0;830.0;;2590.0;420.0;190.0;1980.0
49;Total countries;2007;9730.0;6360.0;3370.0;10.0;9730.0;1800.0;620.0;7310.0
50;Total countries;2008 1st quarter;;;;;;;;
51;Africa total;1998 1st quarter;1830.0;1260.0;570.0;;1830.0;320.0;410.0;1100.0
52;Africa total;1998 2nd quarter;2100.0;1430.0;660.0;0.0;2100.0;360.0;500.0;1240.0
53;Africa total;1998 3rd quarter;2910.0;1970.0;930.0;10.0;2910.0;560.0;730.0;1620.0
54;Africa total;1998 4th quarter;3080.0;2100.0;980.0;10.0;3080.0;580.0;760.0;1740.0
55;Africa total;1998;9920.0;6760.0;3140.0;20.0;9920.0;1820.0;2400.0;5710.0
56;Africa total;1999 1st quarter;2710.0;1860.0;850.0;10.0;2710.0;600.0;610.0;1510.0
57;Africa total;1999 2nd quarter;2620.0;1810.0;790.0;20.0;2620.0;540.0;610.0;1480.0
58;Africa total;1999 3rd quarter;2780.0;1930.0;840.0;10.0;2780.0;650.0;690.0;1440.0
59;Africa total;1999 4th quarter;3600.0;2460.0;1120.0;20.0;3600.0;680.0;990.0;1930.0
60;Africa total;1999;11710.0;8060.0;3610.0;50.0;11710.0;2470.0;2890.0;6350.0
61;Africa total;2000 1st quarter;3560.0;2540.0;980.0;30.0;3560.0;630.0;1040.0;1880.0
62;Africa total;2000 2nd quarter;2810.0;1930.0;840.0;40.0;2810.0;520.0;770.0;1520.0
63;Africa total;2000 3rd quarter;3380.0;2310.0;1040.0;30.0;3380.0;630.0;890.0;1870.0
64;Africa total;2000 4th quarter;3990.0;2880.0;1080.0;40.0;3990.0;600.0;1160.0;2240.0
65;Africa total;2000;13740.0;9660.0;3930.0;150.0;13740.0;2380.0;3860.0;7510.0
66;Africa total;2001 1st quarter;3740.0;2580.0;1070.0;90.0;3740.0;660.0;1040.0;2040.0
67;Africa total;2001 2nd quarter;3250.0;2310.0;890.0;50.0;3250.0;500.0;910.0;1840.0
68;Africa total;2001 3rd quarter;3600.0;2530.0;1020.0;50.0;3600.0;710.0;940.0;1950.0
69;Africa total;2001 4th quarter;4020.0;2830.0;1130.0;60.0;4020.0;760.0;1080.0;2180.0
70;Africa total;2001;14610.0;10250.0;4120.0;240.0;14610.0;2630.0;3970.0;8010.0
71;Africa total;2002 1st quarter;3330.0;2320.0;970.0;50.0;3330.0;640.0;800.0;1890.0
72;Africa total;2002 2nd quarter;2520.0;1730.0;740.0;50.0;2520.0;440.0;590.0;1480.0
73;Africa total;2002 3rd quarter;1930.0;1290.0;590.0;50.0;1930.0;320.0;390.0;1220.0
74;Africa total;2002 4th quarter;1580.0;1040.0;490.0;50.0;1580.0;210.0;290.0;1090.0
75;Africa total;2002;9360.0;6380.0;2780.0;210.0;9360.0;1600.0;2080.0;5690.0
76;Africa total;2003 1st quarter;1270.0;840.0;370.0;60.0;1270.0;180.0;230.0;860.0
77;Africa total;2003 2nd quarter;1020.0;650.0;330.0;40.0;1020.0;160.0;150.0;710.0
78;Africa total;2003 3rd quarter;1190.0;790.0;360.0;40.0;1190.0;180.0;170.0;830.0
79;Africa total;2003 4th quarter;950.0;610.0;320.0;20.0;950.0;160.0;140.0;660.0
80;Africa total;2003;4430.0;2890.0;1380.0;160.0;4430.0;680.0;680.0;3060.0
81;Africa total;2004 1st quarter;930.0;550.0;340.0;40.0;930.0;200.0;120.0;610.0
82;Africa total;2004 2nd quarter;740.0;440.0;280.0;20.0;740.0;190.0;60.0;490.0
83;Africa total;2004 3rd quarter;740.0;410.0;330.0;0.0;740.0;200.0;60.0;480.0
84;Africa total;2004 4th quarter;870.0;470.0;390.0;10.0;870.0;250.0;100.0;510.0
85;Africa total;2004;3270.0;1870.0;1330.0;70.0;3270.0;840.0;340.0;2090.0
86;Africa total;2005 1st quarter;840.0;490.0;340.0;10.0;840.0;250.0;80.0;520.0
87;Africa total;2005 2nd quarter;800.0;440.0;360.0;0.0;800.0;220.0;70.0;510.0
88;Africa total;2005 3rd quarter;1170.0;690.0;480.0;0.0;1170.0;310.0;70.0;790.0
89;Africa total;2005 4th quarter;1280.0;730.0;550.0;;1280.0;310.0;80.0;900.0
90;Africa total;2005;4090.0;2350.0;1730.0;10.0;4090.0;1100.0;290.0;2710.0
91;Africa total;2006 1st quarter;1230.0;720.0;500.0;10.0;1230.0;320.0;60.0;850.0
92;Africa total;2006 2nd quarter;1270.0;760.0;510.0;0.0;1270.0;310.0;90.0;870.0
93;Africa total;2006 3rd quarter;1020.0;610.0;410.0;0.0;1020.0;180.0;80.0;760.0
94;Africa total;2006 4th quarter;930.0;590.0;340.0;0.0;930.0;180.0;70.0;690.0
95;Africa total;2006;4450.0;2690.0;1750.0;10.0;4450.0;980.0;310.0;3170.0
96;Africa total;2007 1st quarter;1090.0;660.0;430.0;0.0;1090.0;180.0;70.0;840.0
97;Africa total;2007 2nd quarter;950.0;580.0;370.0;0.0;950.0;160.0;70.0;730.0
98;Africa total;2007 3rd quarter;1040.0;630.0;410.0;0.0;1040.0;180.0;80.0;780.0
99;Africa total;2007 4th quarter;930.0;580.0;350.0;;930.0;140.0;80.0;710.0
100;Africa total;2007;4010.0;2450.0;1550.0;0.0;4010.0;650.0;300.0;3050.0
101;Africa total;2008 1st quarter;;;;;;;;
102;America total;1998 1st quarter;20.0;10.0;0.0;;20.0;;0.0;20.0
103;America total;1998 2nd quarter;30.0;20.0;10.0;;30.0;10.0;;20.0
104;America total;1998 3rd quarter;20.0;10.0;10.0;0.0;20.0;;0.0;20.0
105;America total;1998 4th quarter;30.0;30.0;10.0;;30.0;0.0;0.0;30.0
106;America total;1998;100.0;70.0;30.0;0.0;100.0;10.0;0.0;80.0
107;America total;1999 1st quarter;30.0;20.0;10.0;0.0;30.0;10.0;0.0;20.0
108;America total;1999 2nd quarter;20.0;20.0;10.0;;20.0;10.0;0.0;20.0
109;America total;1999 3rd quarter;20.0;20.0;10.0;0.0;20.0;0.0;0.0;20.0
110;America total;1999 4th quarter;40.0;20.0;20.0;;40.0;10.0;;30.0
111;America total;1999;110.0;70.0;40.0;0.0;110.0;20.0;10.0;90.0
112;America total;2000 1st quarter;30.0;20.0;0.0;0.0;30.0;0.0;0.0;20.0
113;America total;2000 2nd quarter;20.0;10.0;10.0;0.0;20.0;0.0;;10.0
114;America total;2000 3rd quarter;10.0;10.0;0.0;0.0;10.0;0.0;;10.0
115;America total;2000 4th quarter;20.0;20.0;10.0;0.0;20.0;10.0;0.0;20.0
116;America total;2000;80.0;50.0;20.0;10.0;80.0;20.0;10.0;60.0
117;America total;2001 1st quarter;40.0;20.0;10.0;10.0;40.0;10.0;;30.0
118;America total;2001 2nd quarter;30.0;20.0;10.0;0.0;30.0;10.0;;20.0
119;America total;2001 3rd quarter;10.0;10.0;0.0;;10.0;0.0;0.0;10.0
120;America total;2001 4th quarter;20.0;10.0;0.0;10.0;20.0;0.0;;20.0
121;America total;2001;100.0;60.0;20.0;10.0;100.0;20.0;0.0;70.0
122;America total;2002 1st quarter;20.0;20.0;10.0;0.0;20.0;0.0;0.0;20.0
123;America total;2002 2nd quarter;20.0;10.0;0.0;0.0;20.0;0.0;0.0;10.0
124;America total;2002 3rd quarter;10.0;10.0;0.0;0.0;10.0;0.0;;10.0
125;America total;2002 4th quarter;20.0;20.0;0.0;0.0;20.0;;;20.0
126;America total;2002;70.0;50.0;20.0;10.0;70.0;10.0;0.0;60.0
127;America total;2003 1st quarter;20.0;10.0;10.0;;20.0;0.0;0.0;20.0
128;America total;2003 2nd quarter;20.0;20.0;0.0;0.0;20.0;0.0;;20.0
129;America total;2003 3rd quarter;20.0;20.0;10.0;;20.0;0.0;;20.0
130;America total;2003 4th quarter;10.0;10.0;0.0;0.0;10.0;;;10.0
131;America total;2003;80.0;50.0;20.0;0.0;80.0;10.0;0.0;70.0
132;America total;2004 1st quarter;40.0;20.0;20.0;0.0;40.0;10.0;0.0;30.0
133;America total;2004 2nd quarter;110.0;50.0;50.0;0.0;110.0;20.0;0.0;80.0
134;America total;2004 3rd quarter;40.0;30.0;10.0;;40.0;0.0;;30.0
135;America total;2004 4th quarter;20.0;10.0;10.0;0.0;20.0;0.0;;20.0
136;America total;2004;200.0;100.0;90.0;10.0;200.0;40.0;10.0;160.0
137;America total;2005 1st quarter;30.0;20.0;10.0;;30.0;0.0;0.0;20.0
138;America total;2005 2nd quarter;90.0;50.0;40.0;0.0;90.0;30.0;10.0;60.0
139;America total;2005 3rd quarter;130.0;70.0;60.0;;130.0;40.0;0.0;90.0
140;America total;2005 4th quarter;120.0;80.0;50.0;;120.0;30.0;0.0;90.0
141;America total;2005;380.0;210.0;160.0;0.0;380.0;100.0;10.0;270.0
142;America total;2006 1st quarter;40.0;30.0;10.0;;40.0;0.0;0.0;40.0
143;America total;2006 2nd quarter;60.0;30.0;30.0;;60.0;20.0;10.0;30.0
144;America total;2006 3rd quarter;30.0;20.0;0.0;;30.0;10.0;0.0;20.0
145;America total;2006 4th quarter;20.0;20.0;0.0;;20.0;;;20.0
146;America total;2006;140.0;90.0;50.0;;140.0;30.0;10.0;100.0
147;America total;2007 1st quarter;20.0;10.0;10.0;;20.0;10.0;;10.0
148;America total;2007 2nd quarter;20.0;20.0;10.0;;20.0;0.0;0.0;20.0
149;America total;2007 3rd quarter;20.0;10.0;10.0;;20.0;10.0;;10.0
150;America total;2007 4th quarter;50.0;20.0;30.0;;50.0;0.0;;50.0
151;America total;2007;110.0;60.0;50.0;;110.0;20.0;0.0;90.0
152;America total;2008 1st quarter;;;;;;;;
153;Asia total;1998 1st quarter;4710.0;3220.0;1490.0;10.0;4710.0;1230.0;360.0;3130.0
154;Asia total;1998 2nd quarter;4460.0;2950.0;1510.0;10.0;4460.0;1170.0;370.0;2930.0
155;Asia total;1998 3rd quarter;5930.0;3870.0;2060.0;10.0;5930.0;1630.0;480.0;3830.0
156;Asia total;1998 4th quarter;5720.0;4020.0;1690.0;10.0;5720.0;1310.0;540.0;3870.0
157;Asia total;1998;20830.0;14050.0;6740.0;30.0;20830.0;5330.0;1740.0;13760.0
158;Asia total;1999 1st quarter;3150.0;2060.0;1080.0;10.0;3150.0;840.0;320.0;1990.0
159;Asia total;1999 2nd quarter;2620.0;1680.0;940.0;10.0;2620.0;770.0;320.0;1540.0
160;Asia total;1999 3rd quarter;3290.0;2080.0;1190.0;20.0;3290.0;980.0;400.0;1900.0
161;Asia total;1999 4th quarter;4540.0;2850.0;1660.0;30.0;4540.0;1330.0;640.0;2580.0
162;Asia total;1999;13600.0;8670.0;4860.0;70.0;13600.0;3910.0;1670.0;8020.0
163;Asia total;2000 1st quarter;3790.0;2390.0;1380.0;30.0;3790.0;1100.0;460.0;2240.0
164;Asia total;2000 2nd quarter;3230.0;1990.0;1210.0;30.0;3230.0;960.0;400.0;1870.0
165;Asia total;2000 3rd quarter;3990.0;2510.0;1440.0;40.0;3990.0;1150.0;490.0;2360.0
166;Asia total;2000 4th quarter;4410.0;2670.0;1700.0;40.0;4410.0;1190.0;520.0;2700.0
167;Asia total;2000;15420.0;9560.0;5730.0;130.0;15420.0;4400.0;1860.0;9160.0
168;Asia total;2001 1st quarter;3050.0;1910.0;1080.0;60.0;3050.0;770.0;370.0;1910.0
169;Asia total;2001 2nd quarter;2210.0;1440.0;740.0;30.0;2210.0;490.0;230.0;1490.0
170;Asia total;2001 3rd quarter;2070.0;1310.0;720.0;40.0;2070.0;520.0;180.0;1370.0
171;Asia total;2001 4th quarter;2390.0;1570.0;780.0;40.0;2390.0;510.0;250.0;1640.0
172;Asia total;2001;9720.0;6230.0;3320.0;170.0;9720.0;2280.0;1030.0;6410.0
173;Asia total;2002 1st quarter;1650.0;1140.0;490.0;20.0;1650.0;320.0;240.0;1100.0
174;Asia total;2002 2nd quarter;1240.0;800.0;390.0;50.0;1240.0;220.0;160.0;860.0
175;Asia total;2002 3rd quarter;1130.0;720.0;370.0;40.0;1130.0;240.0;140.0;750.0
176;Asia total;2002 4th quarter;910.0;590.0;290.0;30.0;910.0;180.0;110.0;620.0
177;Asia total;2002;4930.0;3250.0;1540.0;140.0;4930.0;950.0;650.0;3330.0
178;Asia total;2003 1st quarter;1700.0;1120.0;500.0;70.0;1700.0;370.0;120.0;1200.0
179;Asia total;2003 2nd quarter;2010.0;1480.0;500.0;30.0;2010.0;360.0;130.0;1520.0
180;Asia total;2003 3rd quarter;1120.0;800.0;290.0;30.0;1120.0;190.0;130.0;800.0
181;Asia total;2003 4th quarter;970.0;690.0;260.0;20.0;970.0;180.0;140.0;660.0
182;Asia total;2003;5800.0;4090.0;1550.0;160.0;5800.0;1100.0;520.0;4180.0
183;Asia total;2004 1st quarter;860.0;560.0;270.0;30.0;860.0;230.0;110.0;520.0
184;Asia total;2004 2nd quarter;590.0;360.0;210.0;20.0;590.0;150.0;50.0;390.0
185;Asia total;2004 3rd quarter;880.0;530.0;350.0;0.0;880.0;240.0;90.0;560.0
186;Asia total;2004 4th quarter;1050.0;680.0;360.0;10.0;1050.0;240.0;100.0;720.0
187;Asia total;2004;3390.0;2130.0;1200.0;60.0;3390.0;850.0;350.0;2190.0
188;Asia total;2005 1st quarter;1100.0;710.0;380.0;10.0;1100.0;250.0;150.0;700.0
189;Asia total;2005 2nd quarter;950.0;630.0;320.0;0.0;950.0;180.0;120.0;660.0
190;Asia total;2005 3rd quarter;940.0;610.0;330.0;0.0;940.0;190.0;90.0;660.0
191;Asia total;2005 4th quarter;1620.0;1050.0;570.0;0.0;1620.0;320.0;120.0;1190.0
192;Asia total;2005;4610.0;3000.0;1600.0;10.0;4610.0;930.0;470.0;3210.0
193;Asia total;2006 1st quarter;2600.0;1880.0;720.0;0.0;2600.0;450.0;140.0;2010.0
194;Asia total;2006 2nd quarter;1490.0;900.0;590.0;0.0;1490.0;330.0;120.0;1040.0
195;Asia total;2006 3rd quarter;1120.0;680.0;440.0;;1120.0;220.0;70.0;820.0
196;Asia total;2006 4th quarter;1060.0;690.0;370.0;;1060.0;220.0;80.0;760.0
197;Asia total;2006;6260.0;4150.0;2110.0;0.0;6260.0;1230.0;410.0;4630.0
198;Asia total;2007 1st quarter;980.0;640.0;340.0;;980.0;180.0;60.0;740.0
199;Asia total;2007 2nd quarter;870.0;610.0;260.0;0.0;870.0;130.0;60.0;680.0
200;Asia total;2007 3rd quarter;1140.0;800.0;340.0;0.0;1140.0;140.0;60.0;940.0
201;Asia total;2007 4th quarter;1340.0;990.0;350.0;;1340.0;180.0;90.0;1070.0
202;Asia total;2007;4320.0;3030.0;1290.0;0.0;4320.0;630.0;260.0;3430.0
203;Asia total;2008 1st quarter;;;;;;;;
204;Europe total;1998 1st quarter;2180.0;1330.0;850.0;0.0;2180.0;660.0;120.0;1410.0
205;Europe total;1998 2nd quarter;2830.0;1720.0;1100.0;10.0;2830.0;870.0;130.0;1830.0
206;Europe total;1998 3rd quarter;4040.0;2370.0;1670.0;0.0;4040.0;1300.0;210.0;2530.0
207;Europe total;1998 4th quarter;4500.0;2670.0;1830.0;10.0;4500.0;1290.0;280.0;2940.0
208;Europe total;1998;13550.0;8080.0;5450.0;30.0;13550.0;4110.0;740.0;8700.0
209;Europe total;1999 1st quarter;2770.0;1650.0;1110.0;10.0;2770.0;810.0;150.0;1810.0
210;Europe total;1999 2nd quarter;3150.0;1840.0;1260.0;40.0;3150.0;880.0;160.0;2110.0
211;Europe total;1999 3rd quarter;3810.0;2130.0;1670.0;20.0;3810.0;1150.0;230.0;2440.0
212;Europe total;1999 4th quarter;3230.0;1950.0;1260.0;20.0;3230.0;860.0;220.0;2150.0
213;Europe total;1999;12950.0;7570.0;5290.0;90.0;12950.0;3690.0;760.0;8510.0
214;Europe total;2000 1st quarter;3810.0;2220.0;1560.0;30.0;3810.0;1170.0;210.0;2430.0
215;Europe total;2000 2nd quarter;3230.0;1890.0;1250.0;90.0;3230.0;990.0;170.0;2070.0
216;Europe total;2000 3rd quarter;3290.0;1870.0;1360.0;60.0;3290.0;1020.0;210.0;2060.0
217;Europe total;2000 4th quarter;2800.0;1730.0;1040.0;30.0;2800.0;780.0;200.0;1830.0
218;Europe total;2000;13140.0;7710.0;5200.0;220.0;13140.0;3960.0;790.0;8380.0
219;Europe total;2001 1st quarter;2350.0;1440.0;850.0;60.0;2350.0;600.0;130.0;1620.0
220;Europe total;2001 2nd quarter;1840.0;1130.0;680.0;20.0;1840.0;440.0;100.0;1290.0
221;Europe total;2001 3rd quarter;1560.0;970.0;550.0;30.0;1560.0;390.0;130.0;1040.0
222;Europe total;2001 4th quarter;1290.0;820.0;440.0;40.0;1290.0;310.0;110.0;880.0
223;Europe total;2001;7030.0;4360.0;2520.0;150.0;7030.0;1740.0;460.0;4830.0
224;Europe total;2002 1st quarter;1080.0;660.0;390.0;30.0;1080.0;250.0;90.0;750.0
225;Europe total;2002 2nd quarter;930.0;570.0;340.0;20.0;930.0;220.0;70.0;650.0
226;Europe total;2002 3rd quarter;1030.0;630.0;370.0;30.0;1030.0;270.0;80.0;680.0
227;Europe total;2002 4th quarter;740.0;460.0;250.0;30.0;740.0;130.0;60.0;550.0
228;Europe total;2002;3790.0;2320.0;1350.0;110.0;3790.0;870.0;290.0;2630.0
229;Europe total;2003 1st quarter;580.0;350.0;200.0;40.0;580.0;130.0;20.0;430.0
230;Europe total;2003 2nd quarter;560.0;340.0;200.0;20.0;560.0;160.0;30.0;370.0
231;Europe total;2003 3rd quarter;660.0;420.0;230.0;10.0;660.0;140.0;60.0;450.0
232;Europe total;2003 4th quarter;540.0;350.0;170.0;10.0;540.0;130.0;40.0;370.0
233;Europe total;2003;2330.0;1450.0;800.0;80.0;2330.0;550.0;150.0;1630.0
234;Europe total;2004 1st quarter;600.0;360.0;200.0;40.0;600.0;160.0;40.0;400.0
235;Europe total;2004 2nd quarter;390.0;240.0;130.0;20.0;390.0;90.0;20.0;290.0
236;Europe total;2004 3rd quarter;410.0;260.0;150.0;0.0;410.0;100.0;30.0;280.0
237;Europe total;2004 4th quarter;450.0;270.0;180.0;10.0;450.0;120.0;20.0;310.0
238;Europe total;2004;1850.0;1130.0;660.0;70.0;1850.0;470.0;120.0;1270.0
239;Europe total;2005 1st quarter;410.0;260.0;150.0;0.0;410.0;80.0;20.0;310.0
240;Europe total;2005 2nd quarter;440.0;280.0;160.0;;440.0;90.0;30.0;320.0
241;Europe total;2005 3rd quarter;390.0;230.0;160.0;;390.0;90.0;20.0;280.0
242;Europe total;2005 4th quarter;670.0;420.0;250.0;0.0;670.0;160.0;40.0;470.0
243;Europe total;2005;1910.0;1190.0;710.0;0.0;1910.0;410.0;110.0;1390.0
244;Europe total;2006 1st quarter;900.0;470.0;430.0;;900.0;230.0;60.0;610.0
245;Europe total;2006 2nd quarter;670.0;390.0;280.0;0.0;670.0;160.0;50.0;470.0
246;Europe total;2006 3rd quarter;510.0;300.0;200.0;;510.0;120.0;40.0;350.0
247;Europe total;2006 4th quarter;300.0;200.0;100.0;0.0;300.0;50.0;20.0;230.0
248;Europe total;2006;2380.0;1360.0;1010.0;0.0;2380.0;560.0;160.0;1660.0
249;Europe total;2007 1st quarter;270.0;180.0;90.0;0.0;270.0;50.0;10.0;210.0
250;Europe total;2007 2nd quarter;140.0;90.0;50.0;;140.0;20.0;10.0;110.0
251;Europe total;2007 3rd quarter;160.0;110.0;60.0;;160.0;20.0;10.0;140.0
252;Europe total;2007 4th quarter;160.0;110.0;50.0;;160.0;30.0;10.0;130.0
253;Europe total;2007;740.0;490.0;240.0;0.0;740.0;120.0;40.0;580.0
254;Europe total;2008 1st quarter;;;;;;;;
255;Oceania;1998 1st quarter;;;;;;;;
256;Oceania;1998 2nd quarter;;;;;;;;
257;Oceania;1998 3rd quarter;;;;;;;;
258;Oceania;1998 4th quarter;0.0;0.0;;;0.0;;;0.0
259;Oceania;1998;0.0;0.0;;;0.0;;;0.0
260;Oceania;1999 1st quarter;;;;;;;;
261;Oceania;1999 2nd quarter;;;;;;;;
262;Oceania;1999 3rd quarter;;;;;;;;
263;Oceania;1999 4th quarter;;;;;;;;
264;Oceania;1999;;;;;;;;
265;Oceania;2000 1st quarter;0.0;0.0;;;0.0;;;0.0
266;Oceania;2000 2nd quarter;;;;;;;;
267;Oceania;2000 3rd quarter;;;;;;;;
268;Oceania;2000 4th quarter;;;;;;;;
269;Oceania;2000;0.0;0.0;;;0.0;;;0.0
270;Oceania;2001 1st quarter;;;;;;;;
271;Oceania;2001 2nd quarter;;;;;;;;
272;Oceania;2001 3rd quarter;0.0;0.0;;;0.0;;;0.0
273;Oceania;2001 4th quarter;;;;;;;;
274;Oceania;2001;0.0;0.0;;;0.0;;;0.0
275;Oceania;2002 1st quarter;;;;;;;;
276;Oceania;2002 2nd quarter;;;;;;;;
277;Oceania;2002 3rd quarter;;;;;;;;
278;Oceania;2002 4th quarter;;;;;;;;
279;Oceania;2002;;;;;;;;
280;Oceania;2003 1st quarter;;;;;;;;
281;Oceania;2003 2nd quarter;;;;;;;;
282;Oceania;2003 3rd quarter;;;;;;;;
283;Oceania;2003 4th quarter;;;;;;;;
284;Oceania;2003;;;;;;;;
285;Oceania;2004 1st quarter;;;;;;;;
286;Oceania;2004 2nd quarter;;;;;;;;
287;Oceania;2004 3rd quarter;0.0;0.0;;;0.0;;;0.0
288;Oceania;2004 4th quarter;;;;;;;;
289;Oceania;2004;0.0;0.0;;;0.0;;;0.0
290;Oceania;2005 1st quarter;;;;;;;;
291;Oceania;2005 2nd quarter;;;;;;;;
292;Oceania;2005 3rd quarter;;;;;;;;
293;Oceania;2005 4th quarter;0.0;0.0;0.0;;0.0;0.0;;
294;Oceania;2005;0.0;0.0;0.0;;0.0;0.0;;
295;Oceania;2006 1st quarter;;;;;;;;
296;Oceania;2006 2nd quarter;;;;;;;;
297;Oceania;2006 3rd quarter;;;;;;;;
298;Oceania;2006 4th quarter;;;;;;;;
299;Oceania;2006;;;;;;;;
300;Oceania;2007 1st quarter;;;;;;;;
301;Oceania;2007 2nd quarter;;;;;;;;
302;Oceania;2007 3rd quarter;;;;;;;;
303;Oceania;2007 4th quarter;;;;;;;;
304;Oceania;2007;;;;;;;;
305;Oceania;2008 1st quarter;;;;;;;;
306;Afghanistan;1998 1st quarter;1790.0;1130.0;650.0;0.0;1790.0;640.0;120.0;1020.0
