ID;TypeArbeidsongeschiktheidsuitkering;MateVanArbeidsongeschiktheid;HoofdcategorieDiagnoseIndelingCAS;Perioden;Arbeidsongeschiktheidsuitkeringen_1
0;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Totaal;2015;808610
1;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Totaal;2016;806910
2;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Totaal;2017;807450
3;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Totaal;2018;811970
4;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Totaal;2019;818360
5;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Totaal;2020;815600
6;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Algemene en endocriene ziekten;2015;49290
7;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Algemene en endocriene ziekten;2016;46540
8;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Algemene en endocriene ziekten;2017;43930
9;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Algemene en endocriene ziekten;2018;41660
10;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Algemene en endocriene ziekten;2019;39820
11;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Algemene en endocriene ziekten;2020;37170
12;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Psychische stoornissen;2015;343410
13;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Psychische stoornissen;2016;343150
14;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Psychische stoornissen;2017;343400
15;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Psychische stoornissen;2018;345110
16;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Psychische stoornissen;2019;346920
17;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Psychische stoornissen;2020;345850
18;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ontwikkelingsstoornissen;2015;67980
19;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ontwikkelingsstoornissen;2016;68000
20;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ontwikkelingsstoornissen;2017;67760
21;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ontwikkelingsstoornissen;2018;67740
22;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ontwikkelingsstoornissen;2019;67570
23;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ontwikkelingsstoornissen;2020;67550
24;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het bot- en spierstelsel;2015;166510
25;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het bot- en spierstelsel;2016;163820
26;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het bot- en spierstelsel;2017;161420
27;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het bot- en spierstelsel;2018;159910
28;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het bot- en spierstelsel;2019;159150
29;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het bot- en spierstelsel;2020;154330
30;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het zenuwstelsel, oog en oor;2015;80120
31;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het zenuwstelsel, oog en oor;2016;80840
32;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het zenuwstelsel, oog en oor;2017;81900
33;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het zenuwstelsel, oog en oor;2018;83030
34;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het zenuwstelsel, oog en oor;2019;84000
35;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het zenuwstelsel, oog en oor;2020;83940
36;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het hartvaatstelsel en bloed;2015;38480
37;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het hartvaatstelsel en bloed;2016;38450
38;Totaal met of zonder uitkering;Totale mate van arbeidsongeschiktheid;Ziekten van het hartvaatstelsel en bloed;2017;38780
