ID;Geslacht;Leeftijd;Arbeidskenmerken;LevenLangOntwikkelen;Perioden;WerkzameBeroepsbevolking15Tot75Jaar_1
0;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2013;8433
1;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2014;8382
2;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2015;8458
3;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2016;8570
4;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2017;8744
5;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2018;8939
6;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2019;9117
7;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2020;9116
8;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2021;9255
9;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2022;9548
10;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2023;9737
11;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Totaal;2024;9798
12;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang ontwikkelen;2013;2402
13;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang ontwikkelen;2014;2410
14;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang ontwikkelen;2015;2503
15;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang ontwikkelen;2016;2505
16;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang ontwikkelen;2017;2584
17;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang ontwikkelen;2018;2631
18;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang ontwikkelen;2019;2732
19;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang ontwikkelen;2020;2626
20;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang ontwikkelen;2021;3393
21;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang ontwikkelen;2022;3474
22;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang ontwikkelen;2023;3514
23;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Deelname leven lang ontwikkelen;2024;3523
24;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt formeel onderwijs;2013;1464
25;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt formeel onderwijs;2014;1420
26;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt formeel onderwijs;2015;1462
27;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt formeel onderwijs;2016;1455
28;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt formeel onderwijs;2017;1521
29;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt formeel onderwijs;2018;1570
30;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt formeel onderwijs;2019;1654
31;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt formeel onderwijs;2020;1609
32;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt formeel onderwijs;2021;1740
33;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt formeel onderwijs;2022;1848
34;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt formeel onderwijs;2023;1878
35;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt formeel onderwijs;2024;1824
36;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt niet-formeel onderwijs;2013;938
37;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt niet-formeel onderwijs;2014;990
38;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt niet-formeel onderwijs;2015;1040
39;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt niet-formeel onderwijs;2016;1050
40;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt niet-formeel onderwijs;2017;1063
41;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt niet-formeel onderwijs;2018;1061
42;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt niet-formeel onderwijs;2019;1078
43;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt niet-formeel onderwijs;2020;1017
44;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt niet-formeel onderwijs;2021;1653
45;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt niet-formeel onderwijs;2022;1626
46;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt niet-formeel onderwijs;2023;1636
47;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt niet-formeel onderwijs;2024;1699
48;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt geen formeel onderwijs;2013;6969
49;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt geen formeel onderwijs;2014;6962
50;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt geen formeel onderwijs;2015;6995
51;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt geen formeel onderwijs;2016;7115
52;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt geen formeel onderwijs;2017;7224
53;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt geen formeel onderwijs;2018;7369
54;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt geen formeel onderwijs;2019;7463
55;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt geen formeel onderwijs;2020;7507
56;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt geen formeel onderwijs;2021;7515
57;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt geen formeel onderwijs;2022;7700
58;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt geen formeel onderwijs;2023;7859
59;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Volgt geen formeel onderwijs;2024;7973
60;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Geen deelname leven lang ontwikkelen;2013;6031
61;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Geen deelname leven lang ontwikkelen;2014;5972
62;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Geen deelname leven lang ontwikkelen;2015;5955
63;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Geen deelname leven lang ontwikkelen;2016;6065
64;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Geen deelname leven lang ontwikkelen;2017;6161
65;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Geen deelname leven lang ontwikkelen;2018;6309
66;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Geen deelname leven lang ontwikkelen;2019;6385
67;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Geen deelname leven lang ontwikkelen;2020;6490
68;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Geen deelname leven lang ontwikkelen;2021;5863
69;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Geen deelname leven lang ontwikkelen;2022;6074
70;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Geen deelname leven lang ontwikkelen;2023;6223
71;Totaal mannen en vrouwen;15 tot 75 jaar;Totaal personen;Geen deelname leven lang ontwikkelen;2024;6275
72;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Totaal;2013;1474
73;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Totaal;2014;1494
74;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Totaal;2015;1635
75;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Totaal;2016;1753
76;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Totaal;2017;1851
77;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Totaal;2018;1956
78;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Totaal;2019;1957
79;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Totaal;2020;1737
80;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Totaal;2021;1683
81;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Totaal;2022;1975
82;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Totaal;2023;1934
83;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Totaal;2024;1798
84;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Deelname leven lang ontwikkelen;2013;665
85;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Deelname leven lang ontwikkelen;2014;666
86;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Deelname leven lang ontwikkelen;2015;750
87;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Deelname leven lang ontwikkelen;2016;792
88;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Deelname leven lang ontwikkelen;2017;861
89;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Deelname leven lang ontwikkelen;2018;884
90;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Deelname leven lang ontwikkelen;2019;903
91;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Deelname leven lang ontwikkelen;2020;818
92;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Deelname leven lang ontwikkelen;2021;917
93;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Deelname leven lang ontwikkelen;2022;1034
94;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Deelname leven lang ontwikkelen;2023;1010
95;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Deelname leven lang ontwikkelen;2024;942
96;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt formeel onderwijs;2013;523
97;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt formeel onderwijs;2014;522
98;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt formeel onderwijs;2015;577
99;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt formeel onderwijs;2016;614
100;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt formeel onderwijs;2017;661
101;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt formeel onderwijs;2018;682
102;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt formeel onderwijs;2019;696
103;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt formeel onderwijs;2020;643
104;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt formeel onderwijs;2021;677
105;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt formeel onderwijs;2022;768
106;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt formeel onderwijs;2023;739
107;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt formeel onderwijs;2024;682
108;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt niet-formeel onderwijs;2013;142
109;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt niet-formeel onderwijs;2014;145
110;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt niet-formeel onderwijs;2015;173
111;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt niet-formeel onderwijs;2016;177
112;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt niet-formeel onderwijs;2017;200
113;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt niet-formeel onderwijs;2018;202
114;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt niet-formeel onderwijs;2019;207
115;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt niet-formeel onderwijs;2020;175
116;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt niet-formeel onderwijs;2021;240
117;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt niet-formeel onderwijs;2022;265
118;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt niet-formeel onderwijs;2023;271
119;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt niet-formeel onderwijs;2024;260
120;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt geen formeel onderwijs;2013;952
121;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt geen formeel onderwijs;2014;972
122;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt geen formeel onderwijs;2015;1058
123;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt geen formeel onderwijs;2016;1139
124;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt geen formeel onderwijs;2017;1189
125;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt geen formeel onderwijs;2018;1274
126;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt geen formeel onderwijs;2019;1261
127;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt geen formeel onderwijs;2020;1094
128;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt geen formeel onderwijs;2021;1006
129;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt geen formeel onderwijs;2022;1207
130;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt geen formeel onderwijs;2023;1195
131;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Volgt geen formeel onderwijs;2024;1115
132;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Geen deelname leven lang ontwikkelen;2013;809
133;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Geen deelname leven lang ontwikkelen;2014;827
134;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Geen deelname leven lang ontwikkelen;2015;886
135;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Geen deelname leven lang ontwikkelen;2016;961
136;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Geen deelname leven lang ontwikkelen;2017;989
137;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Geen deelname leven lang ontwikkelen;2018;1072
138;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Geen deelname leven lang ontwikkelen;2019;1054
139;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Geen deelname leven lang ontwikkelen;2020;919
140;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Geen deelname leven lang ontwikkelen;2021;766
141;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Geen deelname leven lang ontwikkelen;2022;941
142;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Geen deelname leven lang ontwikkelen;2023;924
143;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: korter dan 1 jaar;Geen deelname leven lang ontwikkelen;2024;855
144;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: langer 1 jaar, duur onbek.;Totaal;2013;92
145;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: langer 1 jaar, duur onbek.;Totaal;2014;90
146;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: langer 1 jaar, duur onbek.;Totaal;2015;94
147;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: langer 1 jaar, duur onbek.;Totaal;2016;97
148;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: langer 1 jaar, duur onbek.;Totaal;2017;101
149;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: langer 1 jaar, duur onbek.;Totaal;2018;106
150;Totaal mannen en vrouwen;15 tot 75 jaar;Anciënniteit: langer 1 jaar, duur onbek.;Totaal;2019;115
