ID;Regions;Periods;BusinessRelatedOvernightStays_1
0;Nederland;2012 January;1050
1;Nederland;2012 February;1050
2;Nederland;2012 March;1320
3;Nederland;2012 1st quarter;3410
4;Nederland;2012 April;1540
5;Nederland;2012 May;1550
6;Nederland;2012 June;1470
7;Nederland;2012 2nd quarter;4560
8;Nederland;2012 July;1190
9;Nederland;2012 August;1290
10;Nederland;2012 September;1550
11;Nederland;2012 3rd quarter;4030
12;Nederland;2012 October;1460
13;Nederland;2012 November;1300
14;Nederland;2012 December;990
15;Nederland;2012 4th quarter;3760
16;Nederland;2012;15750
17;Nederland;2013 January;1030
18;Nederland;2013 February;1010
19;Nederland;2013 March;1280
20;Nederland;2013 1st quarter;3320
21;Nederland;2013 April;1460
22;Nederland;2013 May;1560
23;Nederland;2013 June;1490
24;Nederland;2013 2nd quarter;4510
25;Nederland;2013 July;1240
26;Nederland;2013 August;1400
27;Nederland;2013 September;1570
28;Nederland;2013 3rd quarter;4200
29;Nederland;2013 October;1530
30;Nederland;2013 November;1330
31;Nederland;2013 December;990
32;Nederland;2013 4th quarter;3850
33;Nederland;2013;15880
34;Nederland;2014 January;1050
35;Nederland;2014 February;1080
36;Nederland;2014 March;1360
37;Nederland;2014 1st quarter;3490
38;Nederland;2014 April;1490
39;Nederland;2014 May;1620
40;Nederland;2014 June;1570
41;Nederland;2014 2nd quarter;4680
42;Nederland;2014 July;1260
43;Nederland;2014 August;1370
44;Nederland;2014 September;1600
45;Nederland;2014 3rd quarter;4230
46;Nederland;2014 October;1570
47;Nederland;2014 November;1350
48;Nederland;2014 December;1060
49;Nederland;2014 4th quarter;3980
50;Nederland;2014;16380
51;Nederland;2015 January;1110
52;Nederland;2015 February;1150
53;Nederland;2015 March;1340
54;Nederland;2015 1st quarter;3600
55;Nederland;2015 April;1560
56;Nederland;2015 May;1640
57;Nederland;2015 June;1550
58;Nederland;2015 2nd quarter;4750
59;Nederland;2015 July;1350
60;Nederland;2015 August;1410
61;Nederland;2015 September;1630
62;Nederland;2015 3rd quarter;4390
63;Nederland;2015 October;1630
64;Nederland;2015 November;1370
65;Nederland;2015 December;1080
66;Nederland;2015 4th quarter;4090
67;Nederland;2015;16820
68;Nederland;2016 January;1180
69;Nederland;2016 February;1270
70;Nederland;2016 March;1520
71;Nederland;2016 1st quarter;3970
72;Nederland;2016 April;1630
73;Nederland;2016 May;1720
74;Nederland;2016 June;1620
75;Nederland;2016 2nd quarter;4970
76;Nederland;2016 July;1420
77;Nederland;2016 August;1400
78;Nederland;2016 September;1700
79;Nederland;2016 3rd quarter;4510
80;Nederland;2016 October;1720
81;Nederland;2016 November;1450
82;Nederland;2016 December;1150
83;Nederland;2016 4th quarter;4320
84;Nederland;2016;17780
85;Nederland;2017 January;1260
86;Nederland;2017 February;1300
87;Nederland;2017 March;1540
88;Nederland;2017 1st quarter;4090
89;Nederland;2017 April;1780
90;Nederland;2017 May;1790
91;Nederland;2017 June;1810
92;Nederland;2017 2nd quarter;5390
93;Nederland;2017 July;1590
94;Nederland;2017 August;1600
95;Nederland;2017 September;1850
96;Nederland;2017 3rd quarter;5040
97;Nederland;2017 October;1830
98;Nederland;2017 November;1600
99;Nederland;2017 December;1310
100;Nederland;2017 4th quarter;4740
101;Nederland;2017;19260
102;Nederland;2018 January;1410
103;Nederland;2018 February;1390
104;Nederland;2018 March;1680
105;Nederland;2018 1st quarter;4480
106;Nederland;2018 April;1810
107;Nederland;2018 May;1900
108;Nederland;2018 June;1880
109;Nederland;2018 2nd quarter;5590
110;Nederland;2018 July;1650
111;Nederland;2018 August;1590
112;Nederland;2018 September;1930
113;Nederland;2018 3rd quarter;5170
114;Nederland;2018 October;1920
115;Nederland;2018 November;1620
116;Nederland;2018 December;1260
117;Nederland;2018 4th quarter;4800
118;Nederland;2018;20040
119;Nederland;2019 January;1400
120;Nederland;2019 February;1390
121;Nederland;2019 March;1730
122;Nederland;2019 1st quarter;4520
123;Nederland;2019 April;1940
124;Nederland;2019 May;1930
125;Nederland;2019 June;2010
126;Nederland;2019 2nd quarter;5880
127;Nederland;2019 July;1720
128;Nederland;2019 August;1770
