ID;Geslacht;Leeftijd;Migratieachtergrond;Generatie;Perioden;TotaalVerdachtenVanMisdrijven_1;VerdachtenMetWoonadresInNederland_2;VerdachtenPer10000Inwoners_3;TotaalVerdachtenVanMisdrijven_4;VerdachtenMetWoonadresInNederland_5;VerdachtenPer10000Inwoners_6
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;1999;;;;166750.0;140300.0;104.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2000;;;;159250.0;138440.0;102.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2001;;;;174270.0;149620.0;109.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2002;;;;194050.0;164660.0;120.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2003;;;;214640.0;184420.0;133.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2004;;;;230770.0;199610.0;144.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2005;327970.0;267620.0;192.0;238390.0;209660.0;150.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2006;327220.0;271630.0;194.0;241150.0;214360.0;153.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2007;323480.0;270480.0;193.0;245120.0;216850.0;154.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2008;309370.0;257770.0;182.0;232000.0;202840.0;144.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2009;294140.0;249850.0;176.0;214650.0;187760.0;132.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2010;274680.0;238880.0;167.0;202870.0;176790.0;123.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2011;269580.0;234560.0;163.0;205120.0;177670.0;123.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2012;252180.0;219100.0;151.0;197140.0;169760.0;117.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2013;234230.0;203680.0;140.0;182360.0;155110.0;106.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2014;219240.0;191340.0;130.0;162640.0;138110.0;94.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2015;200400.0;174350.0;118.0;;;
17;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2016;186910.0;161800.0;109.0;;;
18;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2017;172550.0;148230.0;99.0;;;
19;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2018;165960.0;141440.0;94.0;;;
20;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2019;167850.0;143030.0;94.0;;;
21;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2020;156200.0;132500.0;86.0;;;
22;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2021;146210.0;124070.0;80.0;;;
23;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;2022;158290.0;130310.0;83.0;;;
24;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;1999;;;;36110.0;33230.0;247.0
25;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2000;;;;36310.0;33150.0;237.0
26;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2001;;;;39090.0;35800.0;246.0
27;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2002;;;;42970.0;39200.0;261.0
28;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2003;;;;47530.0;43220.0;282.0
29;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2004;;;;49680.0;45170.0;293.0
30;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2005;58410.0;53170.0;344.0;49720.0;45180.0;292.0
31;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2006;57470.0;52280.0;338.0;49530.0;44970.0;290.0
32;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2007;55800.0;50830.0;325.0;48200.0;43680.0;279.0
33;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2008;54190.0;49280.0;308.0;45730.0;41420.0;259.0
34;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2009;52810.0;48440.0;295.0;43020.0;39120.0;238.0
35;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2010;55080.0;49610.0;296.0;40970.0;37040.0;221.0
36;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2011;54460.0;49230.0;287.0;41220.0;37480.0;219.0
37;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2012;51400.0;46020.0;265.0;39990.0;35860.0;207.0
38;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2013;48430.0;43150.0;246.0;37890.0;33790.0;192.0
39;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2014;44820.0;39910.0;223.0;33330.0;29770.0;167.0
40;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2015;41200.0;36360.0;198.0;;;
41;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2016;38830.0;34370.0;180.0;;;
42;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2017;35840.0;31410.0;159.0;;;
43;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2018;38330.0;29840.0;146.0;;;
44;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2019;39880.0;30430.0;142.0;;;
45;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2020;37250.0;28350.0;129.0;;;
46;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2021;34710.0;26290.0;115.0;;;
47;Totaal mannen en vrouwen;Totaal;Totaal;1e generatie migratieachtergrond;2022;38850.0;28700.0;119.0;;;
48;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;1999;;;;18610.0;18110.0;199.0
49;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2000;;;;19000.0;18390.0;197.0
50;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2001;;;;20770.0;20120.0;210.0
51;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2002;;;;23410.0;22530.0;229.0
52;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2003;;;;27150.0;25960.0;257.0
53;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2004;;;;30970.0;29450.0;285.0
54;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2005;44140.0;41290.0;390.0;33670.0;31930.0;302.0
55;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2006;46270.0;43200.0;399.0;36080.0;34040.0;314.0
56;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2007;48280.0;44980.0;406.0;38300.0;35970.0;325.0
57;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2008;47440.0;44210.0;391.0;36840.0;34610.0;306.0
58;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2009;47780.0;44740.0;385.0;35500.0;33510.0;289.0
59;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2010;48060.0;44900.0;377.0;35120.0;33110.0;278.0
60;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2011;48000.0;44990.0;369.0;35720.0;33740.0;277.0
61;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2012;46000.0;42900.0;344.0;35340.0;33110.0;265.0
62;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2013;44260.0;41330.0;323.0;33800.0;31700.0;248.0
63;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2014;41900.0;39310.0;300.0;30270.0;28410.0;217.0
64;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2015;39770.0;37310.0;279.0;;;
65;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2016;37650.0;35210.0;257.0;;;
66;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2017;34580.0;32290.0;231.0;;;
67;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2018;33670.0;31610.0;221.0;;;
68;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2019;35360.0;33290.0;228.0;;;
69;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2020;34030.0;32150.0;216.0;;;
70;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2021;31200.0;29740.0;195.0;;;
71;Totaal mannen en vrouwen;Totaal;Totaal;2e generatie migratieachtergrond;2022;32120.0;30820.0;198.0;;;
72;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;1999;;;;15720.0;;
73;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2000;;;;12980.0;;
74;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2001;;;;15680.0;;
75;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2002;;;;18290.0;;
76;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2003;;;;17610.0;;
77;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2004;;;;17700.0;;
78;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2005;30650.0;;;15770.0;;
79;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2006;29330.0;;;14050.0;;
80;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2007;29100.0;;;14910.0;;
81;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2008;29550.0;;;15950.0;;
82;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2009;26170.0;;;15460.0;;
83;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2010;20340.0;;;15020.0;;
84;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2011;20410.0;;;16700.0;;
85;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2012;18650.0;;;16020.0;;
86;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2013;17040.0;;;16210.0;;
87;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2014;15570.0;;;14380.0;;
88;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2015;14620.0;;;;;
89;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2016;14270.0;;;;;
90;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2017;14010.0;;;;;
91;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2018;10810.0;;;;;
92;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2019;10280.0;;;;;
93;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2020;10310.0;;;;;
94;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2021;10010.0;;;;;
95;Totaal mannen en vrouwen;Totaal;Totaal;Generatie onbekend;2022;14440.0;;;;;
96;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;1999;;;;96320.0;88960.0;79.0
97;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2000;;;;90970.0;86900.0;77.0
98;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2001;;;;98720.0;93700.0;83.0
99;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2002;;;;109390.0;102930.0;91.0
100;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2003;;;;122340.0;115250.0;102.0
101;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2004;;;;132420.0;124980.0;110.0
102;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2005;194770.0;173160.0;153.0;139230.0;132550.0;117.0
103;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2006;194150.0;176150.0;155.0;141490.0;135350.0;119.0
104;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2007;190310.0;174670.0;154.0;143700.0;137200.0;121.0
105;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2008;178180.0;164280.0;144.0;133480.0;126810.0;111.0
106;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2009;167380.0;156670.0;137.0;120670.0;115130.0;101.0
107;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2010;151200.0;144380.0;126.0;111760.0;106640.0;93.0
108;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2011;146700.0;140340.0;122.0;111470.0;106460.0;93.0
109;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2012;136120.0;130180.0;113.0;105800.0;100800.0;88.0
110;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2013;124500.0;119190.0;103.0;94450.0;89620.0;78.0
111;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2014;116950.0;112120.0;97.0;84660.0;79930.0;69.0
112;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2015;104810.0;100690.0;87.0;;;
113;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2016;96160.0;92220.0;79.0;;;
114;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2017;88120.0;84530.0;73.0;;;
115;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2018;83140.0;80000.0;69.0;;;
116;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2019;82340.0;79310.0;68.0;;;
117;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2020;74610.0;72010.0;62.0;;;
118;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2021;70300.0;68040.0;59.0;;;
119;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;Totaal;2022;72890.0;70790.0;61.0;;;
120;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;1999;;;;;;
121;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2000;;;;;;
122;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2001;;;;;;
123;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2002;;;;;;
124;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2003;;;;;;
125;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2004;;;;;;
126;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2005;;;;;;
127;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2006;;;;;;
128;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2007;;;;;;
129;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2008;;;;;;
130;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2009;;;;;;
131;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2010;;;;;;
132;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2011;;;;;;
133;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2012;;;;;;
134;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2013;;;;;;
135;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2014;;;;;;
136;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2015;;;;;;
137;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2016;;;;;;
138;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2017;;;;;;
139;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2018;;;;;;
140;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2019;;;;;;
141;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2020;;;;;;
142;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2021;;;;;;
143;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;1e generatie migratieachtergrond;2022;;;;;;
144;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;2e generatie migratieachtergrond;1999;;;;;;
145;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;2e generatie migratieachtergrond;2000;;;;;;
146;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;2e generatie migratieachtergrond;2001;;;;;;
147;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;2e generatie migratieachtergrond;2002;;;;;;
148;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;2e generatie migratieachtergrond;2003;;;;;;
149;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;2e generatie migratieachtergrond;2004;;;;;;
150;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;2e generatie migratieachtergrond;2005;;;;;;
151;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;2e generatie migratieachtergrond;2006;;;;;;
152;Totaal mannen en vrouwen;Totaal;Nederlandse achtergrond;2e generatie migratieachtergrond;2007;;;;;;
