ID;Geslacht;Arbeidsbelemmering;KenmerkenVanPersonen;Perioden;NietWerkzameBevolking_1
0;Totaal mannen en vrouwen;Totaal;Totaal personen;2015;4392
1;Totaal mannen en vrouwen;Totaal;Totaal personen;2016;4365
2;Totaal mannen en vrouwen;Totaal;Totaal personen;2017;4291
3;Totaal mannen en vrouwen;Totaal;Totaal personen;2018;4128
4;Totaal mannen en vrouwen;Totaal;Totaal personen;2019;4063
5;Totaal mannen en vrouwen;Totaal;Totaal personen;2020;4143
6;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;2015;804
7;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;2016;809
8;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;2017;787
9;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;2018;748
10;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;2019;734
11;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 25 jaar;2020;797
12;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;2015;349
13;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;2016;341
14;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;2017;341
15;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;2018;309
16;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;2019;309
17;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 35 jaar;2020;312
18;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;2015;359
19;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;2016;345
20;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;2017;326
21;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;2018;297
22;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;2019;293
23;Totaal mannen en vrouwen;Totaal;Leeftijd: 35 tot 45 jaar;2020;307
24;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;2015;471
25;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;2016;452
26;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;2017;438
27;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;2018;411
28;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;2019;381
29;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 55 jaar;2020;375
30;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;2015;846
31;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;2016;817
32;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;2017;771
33;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;2018;720
34;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;2019;704
35;Totaal mannen en vrouwen;Totaal;Leeftijd: 55 tot 65 jaar;2020;684
36;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;2015;1562
37;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;2016;1602
38;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;2017;1628
39;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;2018;1643
40;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;2019;1642
41;Totaal mannen en vrouwen;Totaal;Leeftijd: 65 tot 75 jaar;2020;1668
42;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 65 jaar;2015;2829
43;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 65 jaar;2016;2763
44;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 65 jaar;2017;2663
45;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 65 jaar;2018;2485
46;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 65 jaar;2019;2421
47;Totaal mannen en vrouwen;Totaal;Leeftijd: 15 tot 65 jaar;2020;2475
48;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 45 jaar;2015;708
49;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 45 jaar;2016;686
50;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 45 jaar;2017;667
51;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 45 jaar;2018;607
52;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 45 jaar;2019;602
53;Totaal mannen en vrouwen;Totaal;Leeftijd: 25 tot 45 jaar;2020;619
54;Totaal mannen en vrouwen;Totaal;Leeftijd: 45 tot 75 jaar;2015;2880
