ID;Doodsoorzaak;Leeftijd;Perioden;TotaalOverledenen_1;TotaalZonderMBLHandelwijze_2;PlotselingEnOnverwachtOverleden_3;NietPlotselingOnverwachtOverleden_4;TotaalMetMBLHandelwijze_5;NISRekeningHoudendMetOverlijden_6;PSBRekeningHoudendMetOverlijden_7;PSBOverlijdenMedeDoel_8;NISOverlijdenUitdrukkelijkDoel_9;TotaalToedienenMiddel_10;Euthanasie_11;HulpBijZelfdoding_12;LevensbeeindigendHandZonderVerzoek_13
0;Totaal doodsoorzaken;Alle leeftijden;2005;136402.0;78391.0;45928.0;32463.0;58011.0;11056.0;32229.0;1504.0;10261.0;2960.0;2297.0;113.0;551.0
1;Totaal doodsoorzaken;0 jaar;2005;927.0;376.0;169.0;207.0;551.0;144.0;75.0;16.0;237.0;79.0;0.0;0.0;79.0
2;Totaal doodsoorzaken;1 tot 17 jaar;2005;506.0;300.0;234.0;66.0;206.0;32.0;102.0;12.0;47.0;13.0;8.0;0.0;5.0
3;Totaal doodsoorzaken;17 tot 65 jaar;2005;24774.0;15296.0;10463.0;4833.0;9478.0;1296.0;5047.0;366.0;1680.0;1089.0;875.0;39.0;175.0
4;Totaal doodsoorzaken;65 tot 80 jaar;2005;44224.0;25533.0;14776.0;10757.0;18691.0;3227.0;10841.0;374.0;3162.0;1087.0;874.0;60.0;153.0
5;Totaal doodsoorzaken;>=80 jaar;2005;65970.0;36887.0;20286.0;16601.0;29083.0;6357.0;16163.0;736.0;5135.0;692.0;540.0;14.0;138.0
6;Aangeboren aandoeningen;Alle leeftijden;2005;278.0;100.0;52.0;48.0;178.0;16.0;43.0;0.0;106.0;13.0;0.0;0.0;13.0
7;Aangeboren aandoeningen;0 jaar;2005;278.0;100.0;52.0;48.0;178.0;16.0;43.0;0.0;106.0;13.0;0.0;0.0;13.0
8;Aangeboren aandoeningen;1 tot 17 jaar;2005;;;;;;;;;;;;;
9;Aangeboren aandoeningen;17 tot 65 jaar;2005;;;;;;;;;;;;;
10;Aangeboren aandoeningen;65 tot 80 jaar;2005;;;;;;;;;;;;;
11;Aangeboren aandoeningen;>=80 jaar;2005;;;;;;;;;;;;;
12;Kwaadaardige nieuwvormingen;Alle leeftijden;2005;39339.0;17966.0;7151.0;10815.0;21373.0;2374.0;13862.0;747.0;2241.0;2149.0;1924.0;101.0;124.0
13;Kwaadaardige nieuwvormingen;0 jaar;2005;;;;;;;;;;;;;
14;Kwaadaardige nieuwvormingen;1 tot 17 jaar;2005;208.0;69.0;22.0;47.0;139.0;24.0;82.0;0.0;20.0;13.0;8.0;0.0;5.0
15;Kwaadaardige nieuwvormingen;17 tot 65 jaar;2005;11003.0;4734.0;1743.0;2991.0;6269.0;486.0;4111.0;254.0;561.0;857.0;791.0;34.0;32.0
16;Kwaadaardige nieuwvormingen;65 tot 80 jaar;2005;16880.0;7898.0;3149.0;4749.0;8982.0;906.0;5944.0;323.0;918.0;891.0;790.0;54.0;47.0
17;Kwaadaardige nieuwvormingen;>=80 jaar;2005;11251.0;5266.0;2238.0;3028.0;5985.0;959.0;3725.0;170.0;742.0;389.0;335.0;14.0;40.0
18;Hart- en vaatziekten;Alle leeftijden;2005;43459.0;30375.0;20706.0;9669.0;13084.0;3224.0;5932.0;266.0;3426.0;236.0;148.0;0.0;88.0
19;Hart- en vaatziekten;0 jaar;2005;;;;;;;;;;;;;
20;Hart- en vaatziekten;1 tot 17 jaar;2005;50.0;38.0;26.0;12.0;12.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0;0.0
21;Hart- en vaatziekten;17 tot 65 jaar;2005;5733.0;4628.0;3778.0;850.0;1105.0;401.0;60.0;51.0;505.0;88.0;0.0;0.0;88.0
22;Hart- en vaatziekten;65 tot 80 jaar;2005;13897.0;10267.0;7423.0;2844.0;3630.0;971.0;1485.0;0.0;1162.0;12.0;12.0;0.0;0.0
23;Hart- en vaatziekten;>=80 jaar;2005;23780.0;15444.0;9480.0;5964.0;8336.0;1851.0;4375.0;215.0;1759.0;136.0;136.0;0.0;0.0
24;Ziekten van ademhalingsorganen;Alle leeftijden;2005;14294.0;7309.0;3383.0;3926.0;6985.0;1177.0;4456.0;12.0;1292.0;48.0;41.0;7.0;0.0
25;Ziekten van ademhalingsorganen;0 jaar;2005;;;;;;;;;;;;;
26;Ziekten van ademhalingsorganen;1 tot 17 jaar;2005;12.0;0.0;0.0;0.0;12.0;0.0;0.0;12.0;0.0;0.0;0.0;0.0;0.0
