ID;Geslacht;Leeftijd;DiagnosenGGZ;Migratieachtergrond;Perioden;PrimaireDiagnosen_1;PrimaireOfNevendiagnosen_2;PrimaireDiagnosen_3;PrimaireOfNevendiagnosen_4
0;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal;2015;697525.0;697525.0;5127;5127.0
1;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal;2016;696675.0;696675.0;5079;5079.0
2;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal;2017;698980.0;698980.0;5054;5054.0
3;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal;2018;740865.0;740865.0;5309;5309.0
4;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal;2019;716935.0;716935.0;5086;5086.0
5;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal;2020;709540.0;709540.0;4990;4990.0
6;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Totaal;2021;750100.0;750100.0;5237;5237.0
7;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Nederlandse achtergrond;2015;521205.0;521205.0;4863;4863.0
8;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Nederlandse achtergrond;2016;518690.0;518690.0;4829;4829.0
9;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Nederlandse achtergrond;2017;518935.0;518935.0;4821;4821.0
10;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Nederlandse achtergrond;2018;549150.0;549150.0;5090;5090.0
11;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Nederlandse achtergrond;2019;535040.0;535040.0;4947;4947.0
12;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Nederlandse achtergrond;2020;527680.0;527680.0;4870;4870.0
13;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Nederlandse achtergrond;2021;548730.0;548730.0;5059;5059.0
14;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Met migratieachtergrond;2015;176320.0;176320.0;6104;6104.0
15;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Met migratieachtergrond;2016;177990.0;177990.0;5984;5984.0
16;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Met migratieachtergrond;2017;180045.0;180045.0;5869;5869.0
17;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Met migratieachtergrond;2018;191715.0;191715.0;6051;6051.0
18;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Met migratieachtergrond;2019;181890.0;181890.0;5541;5541.0
19;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Met migratieachtergrond;2020;181860.0;181860.0;5376;5376.0
20;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Met migratieachtergrond;2021;201370.0;201370.0;5794;5794.0
21;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Westerse migratieachtergrond;2015;73420.0;73420.0;5294;5294.0
22;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Westerse migratieachtergrond;2016;73920.0;73920.0;5231;5231.0
23;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Westerse migratieachtergrond;2017;74525.0;74525.0;5161;5161.0
24;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Westerse migratieachtergrond;2018;80280.0;80280.0;5419;5419.0
25;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Westerse migratieachtergrond;2019;78760.0;78760.0;5160;5160.0
26;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Westerse migratieachtergrond;2020;79145.0;79145.0;5066;5066.0
27;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Westerse migratieachtergrond;2021;85955.0;85955.0;5394;5394.0
28;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Niet-westerse migratieachtergrond;2015;102900.0;102900.0;6852;6852.0
29;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Niet-westerse migratieachtergrond;2016;104065.0;104065.0;6665;6665.0
30;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Niet-westerse migratieachtergrond;2017;105520.0;105520.0;6499;6499.0
31;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Niet-westerse migratieachtergrond;2018;111435.0;111435.0;6606;6606.0
32;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Niet-westerse migratieachtergrond;2019;103130.0;103130.0;5873;5873.0
33;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Niet-westerse migratieachtergrond;2020;102715.0;102715.0;5642;5642.0
34;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Niet-westerse migratieachtergrond;2021;115415.0;115415.0;6132;6132.0
35;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Marokko;2015;20445.0;20445.0;7972;7972.0
36;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Marokko;2016;20305.0;20305.0;7730;7730.0
37;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Marokko;2017;20010.0;20010.0;7432;7432.0
38;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Marokko;2018;20360.0;20360.0;7348;7348.0
39;Totaal mannen en vrouwen;18 jaar of ouder;Totaal alle diagnosen;Marokko;2019;18135.0;18135.0;6356;6356.0
