ID;Geslacht;Herkomstgroepering;Perioden;Immigratie_1;EmigratieInclusiefCorrecties_2;MigratiesaldoInclusiefCorrecties_3
0;Mannen en Vrouwen;Totaal herkomstgroeperingen;2014;179736;144134;35602
1;Mannen en Vrouwen;Totaal herkomstgroeperingen;2015;183956;147156;36800
2;Mannen en Vrouwen;Totaal herkomstgroeperingen;2016;187904;150926;36978
3;Mannen en Vrouwen;Totaal herkomstgroeperingen;2017;191532;155256;36276
4;Mannen en Vrouwen;Totaal herkomstgroeperingen;2018;189849;159298;30551
5;Mannen en Vrouwen;Totaal herkomstgroeperingen;2019;188069;162124;25945
6;Mannen en Vrouwen;Totaal herkomstgroeperingen;2020;184918;163174;21744
7;Mannen en Vrouwen;Totaal herkomstgroeperingen;2021;184876;163440;21436
8;Mannen en Vrouwen;Totaal herkomstgroeperingen;2022;184647;163858;20789
9;Mannen en Vrouwen;Totaal herkomstgroeperingen;2023;184658;164304;20354
10;Mannen en Vrouwen;Totaal herkomstgroeperingen;2024;184407;164715;19692
11;Mannen en Vrouwen;Totaal herkomstgroeperingen;2025;184527;165157;19370
12;Mannen en Vrouwen;Totaal herkomstgroeperingen;2026;184500;165548;18952
13;Mannen en Vrouwen;Totaal herkomstgroeperingen;2027;184570;165834;18736
14;Mannen en Vrouwen;Totaal herkomstgroeperingen;2028;184606;166049;18557
15;Mannen en Vrouwen;Totaal herkomstgroeperingen;2029;184629;166157;18472
16;Mannen en Vrouwen;Totaal herkomstgroeperingen;2030;184696;166536;18160
17;Mannen en Vrouwen;Totaal herkomstgroeperingen;2031;184760;166832;17928
18;Mannen en Vrouwen;Totaal herkomstgroeperingen;2032;184809;167071;17738
19;Mannen en Vrouwen;Totaal herkomstgroeperingen;2033;184835;167295;17540
20;Mannen en Vrouwen;Totaal herkomstgroeperingen;2034;184906;167489;17417
21;Mannen en Vrouwen;Totaal herkomstgroeperingen;2035;184940;167658;17282
22;Mannen en Vrouwen;Totaal herkomstgroeperingen;2036;185005;167802;17203
23;Mannen en Vrouwen;Totaal herkomstgroeperingen;2037;185078;167931;17147
24;Mannen en Vrouwen;Totaal herkomstgroeperingen;2038;185109;168031;17078
25;Mannen en Vrouwen;Totaal herkomstgroeperingen;2039;185185;168135;17050
26;Mannen en Vrouwen;Totaal herkomstgroeperingen;2040;185273;168239;17034
27;Mannen en Vrouwen;Totaal herkomstgroeperingen;2041;185309;168361;16948
28;Mannen en Vrouwen;Totaal herkomstgroeperingen;2042;185374;168489;16885
29;Mannen en Vrouwen;Totaal herkomstgroeperingen;2043;185432;168653;16779
30;Mannen en Vrouwen;Totaal herkomstgroeperingen;2044;185504;168808;16696
31;Mannen en Vrouwen;Totaal herkomstgroeperingen;2045;185592;168963;16629
32;Mannen en Vrouwen;Totaal herkomstgroeperingen;2046;185698;169130;16568
33;Mannen en Vrouwen;Totaal herkomstgroeperingen;2047;185745;169295;16450
34;Mannen en Vrouwen;Totaal herkomstgroeperingen;2048;185850;169468;16382
35;Mannen en Vrouwen;Totaal herkomstgroeperingen;2049;185949;169643;16306
36;Mannen en Vrouwen;Totaal herkomstgroeperingen;2050;186034;169838;16196
37;Mannen en Vrouwen;Totaal herkomstgroeperingen;2051;186125;170034;16091
