ID;Geslacht;Migratieachtergrond;UitstromersHoMetEnZonderDiploma;BedrijfstakkenSBI2008;Studierichting;Peilmoment;Perioden;UitstromersHoMetWerk_1
0;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2006/'07;79110.0
1;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2007/'08;80040.0
2;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2008/'09;75820.0
3;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2009/'10;79820.0
4;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2010/'11;86580.0
5;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2011/'12;93480.0
6;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2012/'13;82430.0
7;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2013/'14;88620.0
8;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2014/'15;95040.0
9;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2015/'16;96960.0
10;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2016/'17;101590.0
11;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2017/'18;107350.0
12;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2018/'19;107890.0
13;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2019/'20;99720.0
14;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;Direct na verlaten onderwijs;2020/'21;112650.0
15;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2006/'07;73910.0
16;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2007/'08;72600.0
17;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2008/'09;70620.0
18;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2009/'10;74670.0
19;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2010/'11;79840.0
20;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2011/'12;86010.0
21;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2012/'13;77790.0
22;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2013/'14;83700.0
23;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2014/'15;89880.0
24;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2015/'16;91100.0
25;Totaal;Totaal;Totaal;A-U Alle economische activiteiten;Totaal;1 jaar na verlaten onderwijs;2016/'17;95000.0
