ID;SamenstellingHuishouden;OverigeKenmerken;Perioden;ParticuliereHuishoudens_1;PersonenPerHuishouden_2;PersonenMetInkomenPerHuishouden_3;PrimairInkomen_4;BrutoInkomen_5;BesteedbaarInkomen_6;GestandaardiseerdBesteedbaarInkomen_7
0;1;1;2000;6791.0;2.3;1.7;33.2;42.3;25.3;17.5
1;1;1;2001;6862.0;2.3;1.7;35.3;44.9;27.5;19.1
2;1;1;2002;6919.0;2.3;1.7;36.4;46.5;28.3;19.7
3;1;1;2003;6948.0;2.3;1.7;36.6;47.4;28.3;19.8
4;1;1;2004;6990.0;2.3;1.7;37.8;48.9;29.0;20.2
5;1;1;2005;7063.0;2.3;1.7;38.4;49.8;29.4;20.6
6;1;1;2006;7109.0;2.3;1.7;40.0;51.6;30.6;21.4
7;1;1;2007;7166.0;2.2;1.7;42.4;54.2;32.6;22.8
8;1;1;2008;7242.0;2.2;1.7;43.2;55.3;33.1;23.2
9;1;1;2009;7303.0;2.2;1.7;42.9;55.6;33.3;23.3
10;1;1;2010;7337.0;2.2;1.7;42.9;56.1;33.2;23.3
11;1;1;2011;7416.0;2.2;1.7;43.2;56.7;33.3;23.3
12;1;1;2012;7470.0;2.2;1.7;43.6;57.2;33.3;23.4
13;1;1;2013;7488.0;2.2;1.7;43.7;58.0;33.6;23.6
14;1;1;2014;7557.0;2.2;1.7;44.9;59.6;35.0;24.6
15;1;81;2000;322.0;1.3;1.2;14.4;17.1;11.1;9.5
16;1;81;2001;313.0;1.4;1.2;15.3;18.3;12.3;10.4
17;1;81;2002;320.0;1.3;1.2;15.6;18.5;12.4;10.5
18;1;81;2003;333.0;1.3;1.2;14.2;17.6;11.9;10.1
19;1;81;2004;336.0;1.3;1.2;13.3;17.0;11.6;9.9
20;1;81;2005;343.0;1.3;1.2;13.6;17.3;11.8;9.9
21;1;81;2006;347.0;1.3;1.2;14.6;18.5;12.7;10.8
22;1;81;2007;352.0;1.3;1.2;14.8;18.8;13.0;11.2
23;1;81;2008;362.0;1.3;1.2;15.1;18.8;12.7;10.9
24;1;81;2009;364.0;1.3;1.2;15.1;19.3;13.2;11.3
25;1;81;2010;370.0;1.3;1.2;13.4;17.8;12.4;10.6
26;1;81;2011;381.0;1.3;1.2;13.5;18.0;12.6;10.8
27;1;81;2012;378.0;1.3;1.2;13.0;16.9;11.5;9.9
28;1;81;2013;376.0;1.3;1.2;12.8;16.9;11.5;10.0
29;1;81;2014;383.0;1.3;1.2;12.0;16.1;11.3;9.8
30;1;82;2000;2737.0;2.7;1.7;41.0;44.4;25.1;16.8
31;1;82;2001;2745.0;2.6;1.7;44.1;47.6;27.9;18.7
32;1;82;2002;2726.0;2.6;1.7;45.3;49.1;28.4;19.1
33;1;82;2003;2685.0;2.6;1.6;45.9;50.0;28.4;19.0
34;1;82;2004;2648.0;2.6;1.6;47.3;51.7;29.1;19.5
35;1;82;2005;2629.0;2.6;1.6;48.6;53.0;29.5;19.7
36;1;82;2006;2594.0;2.6;1.6;51.2;55.2;30.9;20.7
37;1;82;2007;2567.0;2.6;1.6;53.9;57.6;32.8;22.0
38;1;82;2008;2549.0;2.6;1.7;55.2;59.1;33.3;22.4
39;1;82;2009;2517.0;2.6;1.6;54.7;59.2;33.5;22.5
40;1;82;2010;2469.0;2.6;1.6;55.2;60.0;33.5;22.5
41;1;82;2011;2450.0;2.5;1.6;55.6;60.5;33.5;22.6
42;1;82;2012;2424.0;2.5;1.6;56.2;61.2;33.6;22.7
43;1;82;2013;2389.0;2.5;1.6;55.8;61.4;33.8;22.8
44;1;82;2014;2361.0;2.5;1.6;56.8;62.4;35.0;23.6
45;1;83;2000;2293.0;2.5;2.0;44.0;53.7;30.8;20.3
46;1;83;2001;2355.0;2.5;2.0;46.3;56.4;33.1;21.9
47;1;83;2002;2406.0;2.5;2.0;48.0;58.5;34.0;22.6
48;1;83;2003;2446.0;2.5;2.0;48.5;59.5;33.8;22.5
49;1;83;2004;2495.0;2.5;2.0;50.4;61.8;34.7;23.1
50;1;83;2005;2551.0;2.5;2.0;50.9;62.5;35.1;23.4
51;1;83;2006;2601.0;2.4;2.0;52.8;64.5;36.2;24.2
52;1;83;2007;2652.0;2.4;2.0;56.5;68.0;38.9;25.9
53;1;83;2008;2696.0;2.4;2.0;57.7;69.2;39.3;26.2
54;1;83;2009;2745.0;2.4;2.0;57.8;69.4;39.3;26.3
55;1;83;2010;2787.0;2.4;2.0;58.2;70.0;39.2;26.1
56;1;83;2011;2797.0;2.4;2.0;59.9;71.3;39.5;26.2
57;1;83;2012;2812.0;2.4;2.0;61.1;72.3;39.3;26.2
58;1;83;2013;2824.0;2.4;2.0;62.4;74.0;39.9;26.6
59;1;83;2014;2852.0;2.5;2.0;65.2;76.9;42.0;28.0
60;1;84;2000;1439.0;1.6;1.5;5.4;25.8;20.0;16.3
61;1;84;2001;1449.0;1.6;1.5;5.3;27.1;21.1;17.3
62;1;84;2002;1468.0;1.6;1.5;5.5;28.3;22.3;18.3
63;1;84;2003;1485.0;1.6;1.5;5.5;29.3;22.9;18.8
64;1;84;2004;1511.0;1.6;1.5;5.6;30.0;23.3;19.1
65;1;84;2005;1540.0;1.6;1.5;5.7;30.7;23.9;19.6
66;1;84;2006;1567.0;1.6;1.5;5.9;31.7;24.7;20.2
67;1;84;2007;1595.0;1.6;1.5;6.8;33.6;26.1;21.3
68;1;84;2008;1635.0;1.6;1.5;6.9;34.7;27.0;22.0
