ID;Geslacht;OnderwijsniveauRichting;Leeftijd;Herkomst;Perioden;TotaleBevolking15Tot65Jaar_1;Beroepsbevolking_2;WerkzameBeroepsbevolking15Tot65Jaar_3;WerklozeBeroepsbevolking_4;NietBeroepsbevolking_5;BrutoArbeidsparticipatie_6;NettoArbeidsparticipatie_7;Werkloosheidspercentage_8
0;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Totaal herkomst;1996;10534.0;6686.0;6185.0;501.0;3848.0;63.5;58.7;7.5
1;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Totaal herkomst;1997;10566.0;6832.0;6384.0;448.0;3734.0;64.7;60.4;6.6
2;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Totaal herkomst;1998;10606.0;6941.0;6587.0;354.0;3665.0;65.4;62.1;5.1
3;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Totaal herkomst;1999;10665.0;7069.0;6768.0;301.0;3596.0;66.3;63.5;4.3
4;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Totaal herkomst;2000;10729.0;7187.0;6917.0;270.0;3542.0;67.0;64.5;3.8
5;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Totaal herkomst;2001;10801.0;7273.0;7021.0;252.0;3528.0;67.3;65.0;3.5
6;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Totaal herkomst;2002;10863.0;7337.0;7035.0;302.0;3526.0;67.5;64.8;4.1
7;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Totaal herkomst;2003;10903.0;7401.0;7001.0;399.0;3502.0;67.9;64.2;5.4
8;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Totaal herkomst;2004;10925.0;7398.0;6919.0;479.0;3527.0;67.7;63.3;6.5
9;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Totaal herkomst;2005;10943.0;7401.0;6918.0;483.0;3542.0;67.6;63.2;6.5
10;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Totaal herkomst;2006;10964.0;7486.0;7074.0;413.0;3478.0;68.3;64.5;5.5
11;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Autochtonen;1996;8759.0;5669.0;5318.0;350.0;3090.0;64.7;60.7;6.2
12;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Autochtonen;1997;8761.0;5782.0;5479.0;303.0;2980.0;66.0;62.5;5.2
13;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Autochtonen;1998;8757.0;5858.0;5617.0;241.0;2899.0;66.9;64.1;4.1
14;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Autochtonen;1999;8756.0;5943.0;5741.0;202.0;2813.0;67.9;65.6;3.4
15;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Autochtonen;2000;8791.0;6024.0;5843.0;181.0;2766.0;68.5;66.5;3.0
16;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Autochtonen;2001;8794.0;6065.0;5892.0;173.0;2730.0;69.0;67.0;2.9
17;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Autochtonen;2002;8794.0;6093.0;5888.0;206.0;2700.0;69.3;67.0;3.4
18;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Autochtonen;2003;8783.0;6105.0;5842.0;262.0;2679.0;69.5;66.5;4.3
19;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Autochtonen;2004;8773.0;6091.0;5769.0;321.0;2682.0;69.4;65.8;5.3
20;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Autochtonen;2005;8766.0;6061.0;5748.0;313.0;2705.0;69.1;65.6;5.2
21;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Autochtonen;2006;8786.0;6146.0;5880.0;266.0;2639.0;70.0;66.9;4.3
22;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Allochtonen;1996;1766.0;1013.0;864.0;149.0;753.0;57.4;48.9;14.8
23;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Allochtonen;1997;1803.0;1050.0;904.0;145.0;753.0;58.2;50.2;13.9
24;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Allochtonen;1998;1847.0;1083.0;970.0;113.0;765.0;58.6;52.5;10.4
25;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Allochtonen;1999;1906.0;1124.0;1026.0;99.0;782.0;59.0;53.8;8.8
26;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Allochtonen;2000;1938.0;1163.0;1074.0;89.0;775.0;60.0;55.4;7.7
27;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Allochtonen;2001;2004.0;1208.0;1129.0;79.0;797.0;60.2;56.3;6.5
28;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Allochtonen;2002;2069.0;1244.0;1147.0;96.0;826.0;60.1;55.4;7.8
29;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Allochtonen;2003;2119.0;1295.0;1158.0;137.0;823.0;61.1;54.7;10.6
30;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Allochtonen;2004;2151.0;1307.0;1149.0;158.0;844.0;60.8;53.4;12.1
31;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Allochtonen;2005;2176.0;1339.0;1169.0;170.0;837.0;61.5;53.7;12.7
32;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Allochtonen;2006;2177.0;1339.0;1193.0;147.0;838.0;61.5;54.8;10.9
33;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Westerse allochtonen;1996;973.0;607.0;546.0;61.0;366.0;62.4;56.2;10.0
34;Mannen en vrouwen;Totaal onderwijsniveau /-richting;Totaal leeftijd;Westerse allochtonen;1997;977.0;621.0;564.0;57.0;356.0;63.6;57.8;9.1
