ID;RegioS;SamenstellingVanHetHuishouden;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2;GemiddGestandaardiseerdInkPerHuish_3
0;Nederland;Totaal particulier huishouden;6725.6;29.0;20.2
1;Nederland;Eenpersoonshuishouden;2123.2;17.8;17.8
2;Nederland;Paar zonder kinderen;1992.6;31.9;23.3
3;Nederland;Paar met kinderen;1983.0;38.1;20.4
4;Nederland;Eenoudergezin;411.3;24.1;16.5
5;Noord-Nederland (LD);Totaal particulier huishouden;700.7;26.7;18.6
6;Noord-Nederland (LD);Eenpersoonshuishouden;213.0;16.6;16.6
7;Noord-Nederland (LD);Paar zonder kinderen;224.6;29.1;21.2
8;Noord-Nederland (LD);Paar met kinderen;207.8;34.5;18.5
9;Noord-Nederland (LD);Eenoudergezin;38.6;22.9;15.7
10;Oost-Nederland (LD);Totaal particulier huishouden;1354.8;29.0;19.8
11;Oost-Nederland (LD);Eenpersoonshuishouden;378.8;17.4;17.4
12;Oost-Nederland (LD);Paar zonder kinderen;410.6;30.9;22.6
13;Oost-Nederland (LD);Paar met kinderen;443.9;36.9;19.6
14;Oost-Nederland (LD);Eenoudergezin;74.5;24.5;16.7
15;West-Nederland (LD);Totaal particulier huishouden;3225.7;29.4;20.8
16;West-Nederland (LD);Eenpersoonshuishouden;1123.0;18.4;18.4
17;West-Nederland (LD);Paar zonder kinderen;896.5;33.6;24.5
18;West-Nederland (LD);Paar met kinderen;881.3;39.6;21.3
19;West-Nederland (LD);Eenoudergezin;219.2;23.9;16.4
20;Zuid-Nederland (LD);Totaal particulier huishouden;1444.4;29.2;20.1
21;Zuid-Nederland (LD);Eenpersoonshuishouden;408.4;17.4;17.4
22;Zuid-Nederland (LD);Paar zonder kinderen;460.9;31.0;22.6
23;Zuid-Nederland (LD);Paar met kinderen;449.9;37.9;20.4
24;Zuid-Nederland (LD);Eenoudergezin;79.1;24.6;16.9
25;Groningen (PV);Totaal particulier huishouden;239.9;25.9;18.4
26;Groningen (PV);Eenpersoonshuishouden;79.7;16.4;16.4
27;Groningen (PV);Paar zonder kinderen;75.2;28.9;21.1
28;Groningen (PV);Paar met kinderen;64.7;34.4;18.5
29;Groningen (PV);Eenoudergezin;14.5;22.4;15.5
30;Friesland (PV);Totaal particulier huishouden;263.2;26.5;18.4
31;Friesland (PV);Eenpersoonshuishouden;79.2;16.4;16.4
32;Friesland (PV);Paar zonder kinderen;82.7;28.7;21.0
33;Friesland (PV);Paar met kinderen;81.2;34.0;18.1
34;Friesland (PV);Eenoudergezin;14.3;23.0;15.7
35;Drenthe (PV);Totaal particulier huishouden;197.6;27.9;19.3
36;Drenthe (PV);Eenpersoonshuishouden;54.1;17.1;17.1
37;Drenthe (PV);Paar zonder kinderen;66.6;29.8;21.7
38;Drenthe (PV);Paar met kinderen;61.9;35.3;18.9
39;Drenthe (PV);Eenoudergezin;9.7;23.4;16.0
40;Overijssel (PV);Totaal particulier huishouden;435.2;28.3;19.2
41;Overijssel (PV);Eenpersoonshuishouden;122.3;17.0;17.0
42;Overijssel (PV);Paar zonder kinderen;132.6;29.8;21.7
43;Overijssel (PV);Paar met kinderen;143.2;36.1;19.1
44;Overijssel (PV);Eenoudergezin;22.2;24.5;16.6
45;Flevoland (PV);Totaal particulier huishouden;140.1;28.8;19.4
46;Flevoland (PV);Eenpersoonshuishouden;35.6;17.2;17.2
47;Flevoland (PV);Paar zonder kinderen;38.3;31.4;22.9
48;Flevoland (PV);Paar met kinderen;50.3;35.8;19.1
49;Flevoland (PV);Eenoudergezin;10.9;22.6;15.4
50;Gelderland (PV);Totaal particulier huishouden;779.5;29.5;20.1
51;Gelderland (PV);Eenpersoonshuishouden;220.9;17.6;17.6
52;Gelderland (PV);Paar zonder kinderen;239.7;31.5;23.0
53;Gelderland (PV);Paar met kinderen;250.5;37.6;20.0
54;Gelderland (PV);Eenoudergezin;41.4;25.1;17.1
55;Utrecht (PV);Totaal particulier huishouden;475.1;31.5;21.9
56;Utrecht (PV);Eenpersoonshuishouden;152.9;19.0;19.0
57;Utrecht (PV);Paar zonder kinderen;136.3;35.5;25.9
58;Utrecht (PV);Paar met kinderen;144.5;41.2;22.0
59;Utrecht (PV);Eenoudergezin;26.7;25.4;17.3
60;Noord-Holland (PV);Totaal particulier huishouden;1135.4;29.1;20.9
61;Noord-Holland (PV);Eenpersoonshuishouden;425.4;18.6;18.6
62;Noord-Holland (PV);Paar zonder kinderen;301.7;34.0;24.8
63;Noord-Holland (PV);Paar met kinderen;289.5;40.0;21.6
64;Noord-Holland (PV);Eenoudergezin;82.1;23.8;16.4
65;Zuid-Holland (PV);Totaal particulier huishouden;1456.5;29.1;20.5
66;Zuid-Holland (PV);Eenpersoonshuishouden;497.4;18.1;18.1
67;Zuid-Holland (PV);Paar zonder kinderen;405.5;33.0;24.1
68;Zuid-Holland (PV);Paar met kinderen;400.9;39.1;21.0
69;Zuid-Holland (PV);Eenoudergezin;102.3;23.7;16.2
70;Zeeland (PV);Totaal particulier huishouden;158.7;28.5;19.8
71;Zeeland (PV);Eenpersoonshuishouden;47.3;17.4;17.4
72;Zeeland (PV);Paar zonder kinderen;53.0;30.6;22.3
73;Zeeland (PV);Paar met kinderen;46.5;37.5;20.0
74;Zeeland (PV);Eenoudergezin;8.1;24.1;16.5
75;Noord-Brabant (PV);Totaal particulier huishouden;970.9;29.8;20.4
76;Noord-Brabant (PV);Eenpersoonshuishouden;270.3;17.7;17.7
