ID;Uitvoerstromen;Landen;Perioden;Verdiensten_1;ArbeidsvolumeDankzijUitvoer_2;BijdrageAanBrutoBinnenlandsProduct_3;BijdrageAanArbeidsvolume_4
0;Totaal;Totaal landen;2015;237159;2186;34.4;31.2
1;Totaal;Totaal landen;2016;234427;2203;33.1;30.8
2;Totaal;Totaal landen;2017;250320;2303;33.9;31.5
3;Totaal;Totaal landen;2018;261167;2396;33.7;31.7
4;Totaal;Totaal landen;2019;270498;2438;33.3;31.6
5;Totaal;Totaal landen;2020;254240;2364;31.8;30.4
6;Totaal;België;2015;20708;190;3.0;2.7
7;Totaal;België;2016;21203;196;3.0;2.7
8;Totaal;België;2017;22518;203;3.1;2.8
9;Totaal;België;2018;23017;206;3.0;2.7
10;Totaal;België;2019;24269;215;3.0;2.8
11;Totaal;België;2020;22808;208;2.9;2.7
12;Totaal;Brazilië;2015;2211;21;0.3;0.3
13;Totaal;Brazilië;2016;2185;21;0.3;0.3
14;Totaal;Brazilië;2017;1570;14;0.2;0.2
15;Totaal;Brazilië;2018;1406;12;0.2;0.2
16;Totaal;Brazilië;2019;1343;12;0.2;0.2
17;Totaal;Brazilië;2020;1735;14;0.2;0.2
18;Totaal;Canada;2015;1561;14;0.2;0.2
19;Totaal;Canada;2016;1581;15;0.2;0.2
20;Totaal;Canada;2017;1890;18;0.3;0.2
21;Totaal;Canada;2018;2223;21;0.3;0.3
22;Totaal;Canada;2019;2603;24;0.3;0.3
23;Totaal;Canada;2020;2145;20;0.3;0.3
24;Totaal;China;2015;4668;43;0.7;0.6
25;Totaal;China;2016;5164;48;0.7;0.7
26;Totaal;China;2017;5383;49;0.7;0.7
27;Totaal;China;2018;5605;51;0.7;0.7
28;Totaal;China;2019;6390;58;0.8;0.7
29;Totaal;China;2020;7263;66;0.9;0.9
30;Totaal;Denemarken;2015;3183;31;0.5;0.4
31;Totaal;Denemarken;2016;3212;32;0.5;0.4
32;Totaal;Denemarken;2017;3376;32;0.5;0.4
33;Totaal;Denemarken;2018;4127;42;0.5;0.6
34;Totaal;Denemarken;2019;3929;38;0.5;0.5
35;Totaal;Denemarken;2020;4167;40;0.5;0.5
36;Totaal;Duitsland;2015;45236;414;6.6;5.9
37;Totaal;Duitsland;2016;44729;425;6.3;5.9
38;Totaal;Duitsland;2017;48114;448;6.5;6.1
39;Totaal;Duitsland;2018;49960;462;6.5;6.1
40;Totaal;Duitsland;2019;51241;469;6.3;6.1
41;Totaal;Duitsland;2020;47827;453;6.0;5.8
42;Totaal;Frankrijk;2015;16055;147;2.3;2.1
43;Totaal;Frankrijk;2016;15800;146;2.2;2.0
44;Totaal;Frankrijk;2017;17493;160;2.4;2.2
45;Totaal;Frankrijk;2018;17997;165;2.3;2.2
46;Totaal;Frankrijk;2019;18423;166;2.3;2.1
47;Totaal;Frankrijk;2020;17471;164;2.2;2.1
48;Totaal;Ierland;2015;3350;33;0.5;0.5
49;Totaal;Ierland;2016;3400;33;0.5;0.5
50;Totaal;Ierland;2017;3732;37;0.5;0.5
