ID;Geslacht;Persoonskenmerken;ArbeidsmarktpositieBijUitstroom;PeilmomentenArbeidsmarktpositie;Perioden;InstromersTotaal_1;InstromersVolgtRegulierOnderwijs_2;InstromersGeenRegulierOnderwijs_3
0;Totaal mannen en vrouwen;Totaal personen;Totaal;Op instroommoment;Jaar van instroom: 2007;1301.0;502.0;799.0
1;Totaal mannen en vrouwen;Totaal personen;Totaal;Op instroommoment;Jaar van instroom: 2008;1251.0;495.0;756.0
2;Totaal mannen en vrouwen;Totaal personen;Totaal;Op instroommoment;Jaar van instroom: 2009;1120.0;448.0;672.0
3;Totaal mannen en vrouwen;Totaal personen;Totaal;Op instroommoment;Jaar van instroom: 2010;1183.0;473.0;711.0
4;Totaal mannen en vrouwen;Totaal personen;Totaal;Op instroommoment;Jaar van instroom: 2011;1177.0;471.0;706.0
5;Totaal mannen en vrouwen;Totaal personen;Totaal;Op instroommoment;Jaar van instroom: 2012;1131.0;444.0;686.0
6;Totaal mannen en vrouwen;Totaal personen;Totaal;Op instroommoment;Jaar van instroom: 2013;1143.0;439.0;704.0
7;Totaal mannen en vrouwen;Totaal personen;Totaal;Op instroommoment;Jaar van instroom: 2014;1199.0;458.0;742.0
8;Totaal mannen en vrouwen;Totaal personen;Totaal;Op instroommoment;Jaar van instroom: 2015;1227.0;479.0;748.0
9;Totaal mannen en vrouwen;Totaal personen;Totaal;Op instroommoment;Jaar van instroom: 2016;1249.0;478.0;771.0
10;Totaal mannen en vrouwen;Totaal personen;Totaal;Op instroommoment;Jaar van instroom: 2017;1280.0;482.0;798.0
11;Totaal mannen en vrouwen;Totaal personen;Totaal;1 maand na instroom;Jaar van instroom: 2007;1301.0;502.0;799.0
12;Totaal mannen en vrouwen;Totaal personen;Totaal;1 maand na instroom;Jaar van instroom: 2008;1251.0;495.0;756.0
13;Totaal mannen en vrouwen;Totaal personen;Totaal;1 maand na instroom;Jaar van instroom: 2009;1120.0;448.0;672.0
14;Totaal mannen en vrouwen;Totaal personen;Totaal;1 maand na instroom;Jaar van instroom: 2010;1183.0;473.0;711.0
15;Totaal mannen en vrouwen;Totaal personen;Totaal;1 maand na instroom;Jaar van instroom: 2011;1177.0;471.0;706.0
16;Totaal mannen en vrouwen;Totaal personen;Totaal;1 maand na instroom;Jaar van instroom: 2012;1131.0;444.0;686.0
17;Totaal mannen en vrouwen;Totaal personen;Totaal;1 maand na instroom;Jaar van instroom: 2013;1143.0;439.0;704.0
18;Totaal mannen en vrouwen;Totaal personen;Totaal;1 maand na instroom;Jaar van instroom: 2014;1199.0;458.0;742.0
19;Totaal mannen en vrouwen;Totaal personen;Totaal;1 maand na instroom;Jaar van instroom: 2015;1227.0;479.0;748.0
20;Totaal mannen en vrouwen;Totaal personen;Totaal;1 maand na instroom;Jaar van instroom: 2016;1249.0;478.0;771.0
21;Totaal mannen en vrouwen;Totaal personen;Totaal;1 maand na instroom;Jaar van instroom: 2017;;;
22;Totaal mannen en vrouwen;Totaal personen;Totaal;2 maanden na instroom;Jaar van instroom: 2007;1301.0;502.0;799.0
23;Totaal mannen en vrouwen;Totaal personen;Totaal;2 maanden na instroom;Jaar van instroom: 2008;1251.0;495.0;756.0
24;Totaal mannen en vrouwen;Totaal personen;Totaal;2 maanden na instroom;Jaar van instroom: 2009;1120.0;448.0;672.0
25;Totaal mannen en vrouwen;Totaal personen;Totaal;2 maanden na instroom;Jaar van instroom: 2010;1183.0;473.0;711.0
26;Totaal mannen en vrouwen;Totaal personen;Totaal;2 maanden na instroom;Jaar van instroom: 2011;1177.0;471.0;706.0
27;Totaal mannen en vrouwen;Totaal personen;Totaal;2 maanden na instroom;Jaar van instroom: 2012;1131.0;444.0;686.0
28;Totaal mannen en vrouwen;Totaal personen;Totaal;2 maanden na instroom;Jaar van instroom: 2013;1143.0;439.0;704.0
29;Totaal mannen en vrouwen;Totaal personen;Totaal;2 maanden na instroom;Jaar van instroom: 2014;1199.0;458.0;742.0
30;Totaal mannen en vrouwen;Totaal personen;Totaal;2 maanden na instroom;Jaar van instroom: 2015;1227.0;479.0;748.0
31;Totaal mannen en vrouwen;Totaal personen;Totaal;2 maanden na instroom;Jaar van instroom: 2016;1249.0;478.0;771.0
32;Totaal mannen en vrouwen;Totaal personen;Totaal;2 maanden na instroom;Jaar van instroom: 2017;;;
33;Totaal mannen en vrouwen;Totaal personen;Totaal;3 maanden na instroom;Jaar van instroom: 2007;1301.0;502.0;799.0
34;Totaal mannen en vrouwen;Totaal personen;Totaal;3 maanden na instroom;Jaar van instroom: 2008;1251.0;495.0;756.0
35;Totaal mannen en vrouwen;Totaal personen;Totaal;3 maanden na instroom;Jaar van instroom: 2009;1120.0;448.0;672.0
36;Totaal mannen en vrouwen;Totaal personen;Totaal;3 maanden na instroom;Jaar van instroom: 2010;1183.0;473.0;711.0
37;Totaal mannen en vrouwen;Totaal personen;Totaal;3 maanden na instroom;Jaar van instroom: 2011;1177.0;471.0;706.0
38;Totaal mannen en vrouwen;Totaal personen;Totaal;3 maanden na instroom;Jaar van instroom: 2012;1131.0;444.0;686.0
39;Totaal mannen en vrouwen;Totaal personen;Totaal;3 maanden na instroom;Jaar van instroom: 2013;1143.0;439.0;704.0
40;Totaal mannen en vrouwen;Totaal personen;Totaal;3 maanden na instroom;Jaar van instroom: 2014;1199.0;458.0;742.0
41;Totaal mannen en vrouwen;Totaal personen;Totaal;3 maanden na instroom;Jaar van instroom: 2015;1227.0;479.0;748.0
42;Totaal mannen en vrouwen;Totaal personen;Totaal;3 maanden na instroom;Jaar van instroom: 2016;1249.0;478.0;771.0
43;Totaal mannen en vrouwen;Totaal personen;Totaal;3 maanden na instroom;Jaar van instroom: 2017;;;
44;Totaal mannen en vrouwen;Totaal personen;Totaal;4 maanden na instroom;Jaar van instroom: 2007;1301.0;502.0;799.0
45;Totaal mannen en vrouwen;Totaal personen;Totaal;4 maanden na instroom;Jaar van instroom: 2008;1251.0;495.0;756.0
46;Totaal mannen en vrouwen;Totaal personen;Totaal;4 maanden na instroom;Jaar van instroom: 2009;1120.0;448.0;672.0
