ID;RegioS;Perioden;TotaleInvesteringen_1;Woningen_2;Bedrijfsgebouwen_3;GrondWegEnWaterbouwkundigeWerken_4;Vervoermiddelen_5;MachinesEnInstallaties_6;InCultuurGebrachteActiva_7;OverdrachtskostenOpGrond_8;ComputerprogrammatuurEnDatabanken_9;OnderzoekEnOntwikkeling_10;OverigeInvesteringen_11
0;Nederland;1995;69687;17380;10194;7119;6446;11492;331;737;3900;5588;6500
1;Nederland;1996;75046;18858;10150;7986;6565;12224;299;939;4594;5808;7623
2;Nederland;1997;80811;20560;10787;7488;6453;14000;704;909;4945;6290;8675
3;Nederland;1998;87313;21570;11888;7962;7647;14025;245;1015;6880;6346;9735
4;Nederland;1999;97241;23317;13543;8890;8195;16249;332;1131;7948;7044;10592
5;Nederland;2000;102940;25236;15284;10350;8512;15039;230;1462;8709;7350;10768
6;Nederland;2001;108405;27821;16518;11368;8596;14469;258;1280;9110;7900;11085
7;Nederland;2002;107445;27889;17266;11690;7929;13762;248;1134;9001;7879;10647
8;Nederland;2003;107758;27994;17102;11661;9289;12871;197;839;9011;8052;10742
9;Nederland;2004;109583;30212;16360;10854;9122;12495;259;1021;9991;8518;10751
10;Nederland;2005;115656;32774;16584;12149;9267;12739;225;1114;11135;8667;11002
11;Nederland;2006;126095;36045;17700;13328;10508;14238;198;1164;12492;8964;11458
12;Nederland;2007;147272;38652;20405;14573;11053;15571;305;1112;15793;17165;12643
13;Nederland;2008;146166;40044;22747;15528;11837;17783;251;1022;14813;9147;12994
14;Nederland;2009;136553;35163;22240;15785;9252;16280;266;941;14435;10239;11952
15;Nederland;2010;129102;29857;19739;15988;9913;15150;259;1096;15765;9683;11652
16;Nederland;2011;134228;27497;20113;17366;11551;17868;200;1122;15763;10314;12434
17;Nederland;2012;125371;23158;18148;15939;11415;16589;251;1150;16196;10315;12210
18;Nederland;2013;126182;19966;17215;16875;10478;15739;316;959;18612;14189;11833
19;Nederland;2014;123532;20620;17038;16343;9915;16759;333;1197;17632;11731;11964
20;Nederland;2015;164037;24127;17275;17582;14050;17298;355;1410;24693;34892;12355
21;Nederland;2016;144572;29196;17996;17448;14692;16898;341;2442;20904;11027;13628
22;Nederland;2017;151432;32942;19249;16828;16829;18120;89;2456;21724;11562;11633
23;Nederland;2018;162634;37802;20985;17814;16040;19435;49;2581;22721;12605;12602
24;Nederland;2019;176696;41062;24114;18456;19759;19936;141;2904;24158;13243;12923
25;Nederland;2020;176843;43068;25194;18623;14069;20054;283;3477;24839;13770;13466
26;Nederland;2021;189208;47968;26467;19246;14546;21041;230;4058;26203;14660;14789
27;Noord-Nederland (LD);1995;6868;1595;1305;830;444;1257;42;68;296;433;597
28;Noord-Nederland (LD);1996;7244;1731;1174;935;466;1302;38;88;356;449;703
29;Noord-Nederland (LD);1997;7940;1888;1283;806;423;1727;90;83;402;488;750
30;Noord-Nederland (LD);1998;8263;1980;1433;842;515;1485;31;95;555;494;831
31;Noord-Nederland (LD);1999;8796;2141;1475;825;530;1618;42;103;648;543;871
32;Noord-Nederland (LD);2000;9456;2317;1829;1113;484;1412;29;141;705;567;858
33;Noord-Nederland (LD);2001;10098;2554;1835;1314;493;1479;33;123;758;611;897
34;Noord-Nederland (LD);2002;10086;2559;1824;1251;463;1574;32;108;739;619;917
35;Noord-Nederland (LD);2003;9961;2569;1804;1131;516;1531;25;76;747;633;929
36;Noord-Nederland (LD);2004;10080;2773;1829;1029;524;1398;33;92;826;657;920
37;Noord-Nederland (LD);2005;10599;3008;1686;1303;532;1425;29;97;922;677;920
38;Noord-Nederland (LD);2006;11689;3309;1859;1424;604;1663;25;101;1039;686;979
