ID;Persoonskenmerken;Marges;CaribischNederland;Perioden;Rokers_1;ZwareRokersOnderBevolking_2;ZwareRokersOnderRokers_3;DagelijkseRokers_4;SigarettenPerDagPerPersoonBevolking_5;SigarettenPerDagPerRoker_6;DrinktGeenAlcohol_7;ZwareDrinker_8;OvermatigeDrinker_9;VoldoenAanRichtlijnAlcoholgebruik_10;PerPersoon_11;PerDrinker_12;OpgegevenLengte_13;KleinerDan160Cm_14;k_160Tot170Cm_15;k_170Tot180Cm_16;GroterOfGelijk180Cm_17;OpgegevenGewicht_18;LichterDan60Kg_19;k_60Tot70Kg_20;k_70Tot80Kg_21;k_80Tot90Kg_22;ZwaarderOfGelijk90Kg_23;Ondergewicht_24;NormaalGewicht_25;Overgewicht_26;MatigOvergewicht_27;ErnstigOvergewicht_28;GebruikAnticonceptiepil15Tot50Jaar_29
0;Totaal personen;Waarde;Caribisch Nederland;2013;15.6;1.8;12.3;10.2;1.2;8.1;38.5;11.9;7.7;;0.8;1.3;169.6;14.7;32.4;35.2;17.6;79.2;17.1;19.7;22.9;19.8;20.5;2.5;36.5;61.0;34.2;26.8;19.1
1;Totaal personen;Waarde;Caribisch Nederland;2017/2018;15.3;3.2;23.0;10.9;1.2;9.0;;9.6;5.6;;0.6;1.3;;;;;;;;;;;;;;;;;31.3
2;Totaal personen;Waarde;Caribisch Nederland;2021;11.4;1.4;12.5;8.7;0.8;9.0;54.0;8.6;6.3;61.3;0.6;1.4;167.4;23.7;36.1;24.6;15.6;83.4;8.6;16.3;25.4;22.9;26.8;0.6;22.1;77.3;34.7;42.6;29.3
3;Totaal personen;Waarde;Bonaire;2013;16.0;1.3;8.7;10.8;1.1;7.3;38.4;11.5;7.0;;0.8;1.3;169.1;14.7;34.3;35.4;15.5;78.2;17.9;20.0;23.3;20.6;18.3;2.1;36.6;61.3;35.5;25.8;16.7
4;Totaal personen;Waarde;Bonaire;2017/2018;15.3;2.8;19.1;11.3;1.3;9.1;51.9;8.8;5.0;;0.6;1.2;168.7;16.4;35.5;32.4;15.7;79.2;14.7;21.5;24.9;18.4;20.6;1.6;35.0;63.4;34.9;28.5;27.0
5;Totaal personen;Waarde;Bonaire;2021;12.7;1.4;11.2;10.9;0.9;8.2;44.8;12.3;8.3;52.6;0.8;1.5;169.2;16.9;38.7;26.7;17.6;81.0;9.5;19.5;27.8;21.7;21.5;;25.9;73.5;41.5;32.0;23.0
6;Totaal personen;Waarde;Sint-Eustatius;2013;10.6;;;7.4;0.9;;42.3;14.9;9.9;;0.9;1.6;172.5;12.1;27.6;34.0;26.3;84.6;13.6;19.0;19.2;16.9;31.2;;38.8;57.6;28.0;29.5;
7;Totaal personen;Waarde;Sint-Eustatius;2017/2018;12.1;3.5;;8.3;0.5;;;11.2;5.9;;0.6;1.7;;;;;;;;;;;;;;;;;44.1
8;Totaal personen;Waarde;Sint-Eustatius;2021;7.5;0.7;;4.9;0.3;;78.5;3.6;3.2;84.3;0.2;1.4;163.6;34.8;34.3;20.5;10.4;91.8;1.6;7.5;19.2;29.9;41.9;;5.5;94.5;15.7;78.8;38.1
9;Totaal personen;Waarde;Saba;2013;21.3;6.7;;11.0;2.2;;32.1;9.5;9.1;;0.9;1.3;169.4;18.6;24.0;35.5;21.9;79.7;15.8;18.0;25.1;17.7;23.4;4.9;31.9;63.2;30.8;32.4;
