ID;Geslacht;Onderwijssoort;Leeftijd;VerdachtVanMisdrijf;AantalVerdienersHuishoudkern;Perioden;AantalLeerlingenOnderzoekspopulatie_1;AantalVSVErsOnderzoekspopulatie_2;AantalNietVSVErsOnderzoekspopulatie_3;PercentageVSVErsOnderzoekspopulatie_4
0;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal verdieners huishoudkern;2004/'05;1300100.0;76150.0;1223960.0;5.9
1;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal verdieners huishoudkern;2005/'06;1399710.0;74510.0;1325190.0;5.3
2;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal verdieners huishoudkern;2006/'07;1419500.0;72610.0;1346900.0;5.1
3;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal verdieners huishoudkern;2007/'08;1434710.0;71480.0;1363230.0;5.0
4;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Totaal verdieners huishoudkern;2008/'09;1435120.0;64270.0;1370860.0;4.5
5;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Geen verdiener;2004/'05;21270.0;3000.0;18270.0;14.1
6;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Geen verdiener;2005/'06;22670.0;2790.0;19880.0;12.3
7;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Geen verdiener;2006/'07;23340.0;2470.0;20870.0;10.6
8;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Geen verdiener;2007/'08;19740.0;2130.0;17610.0;10.8
9;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Geen verdiener;2008/'09;18400.0;1620.0;16770.0;8.8
10;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Wel verdiener;2004/'05;1263390.0;70390.0;1193000.0;5.6
11;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Wel verdiener;2005/'06;1358850.0;68670.0;1290180.0;5.1
12;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Wel verdiener;2006/'07;1368760.0;66550.0;1302210.0;4.9
13;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Wel verdiener;2007/'08;1399640.0;67050.0;1332580.0;4.8
14;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Wel verdiener;2008/'09;1398950.0;60210.0;1338750.0;4.3
15;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Eenverdiener;2004/'05;479300.0;34290.0;445010.0;7.2
16;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Eenverdiener;2005/'06;518720.0;34560.0;484160.0;6.7
17;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Eenverdiener;2006/'07;518760.0;33780.0;484980.0;6.5
18;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Eenverdiener;2007/'08;512960.0;33590.0;479370.0;6.5
19;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Eenverdiener;2008/'09;496060.0;29610.0;466460.0;6.0
20;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Tweeverdiener;2004/'05;784090.0;36100.0;747990.0;4.6
21;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Tweeverdiener;2005/'06;840130.0;34110.0;806020.0;4.1
22;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Tweeverdiener;2006/'07;850000.0;32760.0;817240.0;3.9
23;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Tweeverdiener;2007/'08;886680.0;33460.0;853210.0;3.8
24;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Tweeverdiener;2008/'09;902890.0;30600.0;872290.0;3.4
25;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Aantal verdieners onbekend;2004/'05;15440.0;2760.0;12680.0;17.9
26;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Aantal verdieners onbekend;2005/'06;18190.0;3060.0;15130.0;16.8
27;Totaal mannen en vrouwen;0;0;Totaal wel en niet verdacht van misdrijf;Aantal verdieners onbekend;2006/'07;27410.0;3600.0;23810.0;13.1
