ID;Geslacht;Leeftijd;Generatie;Migratieachtergrond;Perioden;BevolkingOp1Januari_1
0;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2021;17470658.0
1;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2022;17544481.0
2;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2023;17650109.0
3;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2024;17759618.0
4;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2025;17866026.0
5;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2026;17969974.0
6;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2027;18069368.0
7;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2028;18166529.0
8;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2029;18262260.0
9;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2030;18354256.0
10;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2031;18442442.0
11;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2032;18527833.0
12;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2033;18608898.0
13;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2034;18685995.0
14;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2035;18759251.0
15;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2036;18829246.0
16;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2037;18895681.0
17;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2038;18958272.0
18;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2039;19017136.0
19;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2040;19072443.0
20;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2041;19124369.0
21;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2042;19173103.0
22;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2043;19219053.0
23;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2044;19262470.0
24;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2045;19303599.0
25;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2046;19342605.0
26;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2047;19379744.0
27;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2048;19415180.0
28;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2049;19449109.0
29;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2050;19481781.0
30;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2051;19513582.0
31;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2052;19544784.0
32;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2053;19575791.0
33;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2054;19607147.0
34;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2055;19639394.0
35;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2056;19673006.0
36;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2057;19708481.0
37;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2058;19746278.0
38;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2059;19786748.0
39;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2060;19830216.0
40;Totaal mannen en vrouwen;Totaal over alle leeftijden;Totaal;Totaal;2061;19876928.0
