ID;Geslacht;Leeftijd;Onderwijssoort;Herkomstland;GeboortelandOuders;Perioden;Leerlingen_1;VoortijdigSchoolverlaters_2;NietVoortijdigSchoolverlaters_3;VoortijdigSchoolverlatersPercentage_4
0;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Totaal;2012/'13;1321190.0;31290.0;1289890.0;2.0
1;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Totaal;2013/'14;1331050.0;29320.0;1301730.0;2.0
2;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Totaal;2014/'15;1341570.0;28120.0;1313450.0;2.0
3;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Totaal;2015/'16;1350280.0;27360.0;1322920.0;2.0
4;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Totaal;2016/'17;1357170.0;28360.0;1328810.0;2.0
5;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Totaal;2017/'18;1351640.0;30260.0;1321380.0;2.0
6;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Totaal;2018/'19;1338710.0;31470.0;1307240.0;2.0
7;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Totaal;2019/20;1321840.0;26360.0;1295480.0;2.0
8;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Totaal;2020/'21;1303570.0;28790.0;1274780.0;2.0
9;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Totaal;2021/'22;1291030.0;35840.0;1255190.0;3.0
10;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Totaal;2022/'23;1277200.0;35430.0;1241770.0;3.0
11;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in Nederland;2012/'13;1252710.0;27590.0;1225120.0;2.0
12;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in Nederland;2013/'14;1264030.0;25590.0;1238440.0;2.0
13;Totaal mannen en vrouwen;Totaal leeftijd;Totaal onderwijs;Totaal;Geboren in Nederland;2014/'15;1275720.0;24510.0;1251200.0;2.0
