ID;Geslacht;Migratieachtergrond;Perioden;Immigratie_1;EmigratieInclusiefCorrecties_2;MigratiesaldoInclusiefCorrecties_3
0;Totaal mannen en vrouwen;Totaal;2020;210629;151812;58817
1;Totaal mannen en vrouwen;Totaal;2021;243588;173301;70287
2;Totaal mannen en vrouwen;Totaal;2022;278977;181564;97413
3;Totaal mannen en vrouwen;Totaal;2023;288194;192871;95323
4;Totaal mannen en vrouwen;Totaal;2024;290245;203610;86634
5;Totaal mannen en vrouwen;Totaal;2025;294785;213206;81579
6;Totaal mannen en vrouwen;Totaal;2026;296415;220021;76394
7;Totaal mannen en vrouwen;Totaal;2027;297577;225447;72130
8;Totaal mannen en vrouwen;Totaal;2028;298952;229489;69463
9;Totaal mannen en vrouwen;Totaal;2029;297867;232498;65369
10;Totaal mannen en vrouwen;Totaal;2030;296781;234416;62365
11;Totaal mannen en vrouwen;Totaal;2031;296341;235675;60666
12;Totaal mannen en vrouwen;Totaal;2032;295627;236608;59019
13;Totaal mannen en vrouwen;Totaal;2033;294901;237201;57700
14;Totaal mannen en vrouwen;Totaal;2034;294116;237563;56553
15;Totaal mannen en vrouwen;Totaal;2035;294056;237950;56106
16;Totaal mannen en vrouwen;Totaal;2036;293943;238381;55562
17;Totaal mannen en vrouwen;Totaal;2037;293783;238808;54975
18;Totaal mannen en vrouwen;Totaal;2038;293616;239148;54468
19;Totaal mannen en vrouwen;Totaal;2039;293434;239406;54028
20;Totaal mannen en vrouwen;Totaal;2040;293245;239639;53606
21;Totaal mannen en vrouwen;Totaal;2041;293030;239820;53210
22;Totaal mannen en vrouwen;Totaal;2042;293021;240021;53000
23;Totaal mannen en vrouwen;Totaal;2043;293019;240256;52763
24;Totaal mannen en vrouwen;Totaal;2044;293026;240524;52502
25;Totaal mannen en vrouwen;Totaal;2045;293031;240792;52240
26;Totaal mannen en vrouwen;Totaal;2046;293043;241048;51995
27;Totaal mannen en vrouwen;Totaal;2047;293046;241290;51756
28;Totaal mannen en vrouwen;Totaal;2048;293071;241533;51538
29;Totaal mannen en vrouwen;Totaal;2049;293120;241802;51318
30;Totaal mannen en vrouwen;Totaal;2050;293201;242043;51158
31;Totaal mannen en vrouwen;Totaal;2051;293315;242403;50912
32;Totaal mannen en vrouwen;Totaal;2052;293393;242734;50659
33;Totaal mannen en vrouwen;Totaal;2053;293475;242984;50491
34;Totaal mannen en vrouwen;Totaal;2054;293590;243227;50363
35;Totaal mannen en vrouwen;Totaal;2055;293682;243465;50217
36;Totaal mannen en vrouwen;Totaal;2056;293780;243676;50104
37;Totaal mannen en vrouwen;Totaal;2057;293909;243876;50033
38;Totaal mannen en vrouwen;Totaal;2058;293996;244060;49936
39;Totaal mannen en vrouwen;Totaal;2059;294077;244233;49844
40;Totaal mannen en vrouwen;Totaal;2060;294215;244388;49827
41;Totaal mannen en vrouwen;Totaal;2061;294306;244540;49766
42;Totaal mannen en vrouwen;Totaal;2062;294422;244682;49740
43;Totaal mannen en vrouwen;Totaal;2063;294504;244816;49688
44;Totaal mannen en vrouwen;Totaal;2064;294584;244935;49649
45;Totaal mannen en vrouwen;Totaal;2065;294666;245051;49615
46;Totaal mannen en vrouwen;Totaal;2066;294757;245145;49612
47;Totaal mannen en vrouwen;Totaal;2067;294834;245235;49599
48;Totaal mannen en vrouwen;Totaal;2068;294897;245314;49583
49;Totaal mannen en vrouwen;Totaal;2069;294968;245382;49586
50;Totaal mannen en vrouwen;Totaal;2070;294968;245408;49560
51;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2020;178243;120243;58001
52;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2021;210174;132092;78082
53;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2022;246983;139348;107636
54;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2023;258491;150616;107874
55;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2024;261317;160636;100680
56;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2025;266300;169070;97229
57;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2026;268078;175118;92960
58;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2027;269107;179754;89353
59;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2028;269763;183100;86663
60;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2029;268586;185552;83034
61;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2030;267392;187036;80356
62;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2031;266591;188138;78454
63;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2032;265572;188946;76626
64;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2033;264576;189476;75099
65;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2034;263565;189795;73770
66;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2035;263359;190159;73200
67;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2036;263139;190578;72561
68;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2037;262937;190996;71940
69;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2038;262729;191346;71385
70;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2039;262518;191622;70895
71;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2040;262301;191877;70424
72;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2041;262099;192082;70017
73;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2042;262095;192291;69804
74;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2043;262092;192536;69556
75;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2044;262093;192765;69328
76;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2045;262094;192969;69124
77;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2046;262095;193125;68970
78;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2047;262094;193230;68865
79;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2048;262096;193306;68791
80;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2049;262096;193369;68727
81;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2050;262091;193389;68701
82;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2051;262099;193501;68598
83;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2052;262094;193563;68530
84;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2053;262096;193552;68544
85;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2054;262101;193531;68570
86;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2055;262093;193514;68579
87;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2056;262089;193486;68604
88;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2057;262095;193457;68637
89;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2058;262099;193432;68668
90;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2059;262094;193406;68688
91;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2060;262095;193386;68709
92;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2061;262098;193367;68730
93;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2062;262095;193353;68742
94;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2063;262097;193342;68756
95;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2064;262093;193331;68761
96;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2065;262092;193324;68767
97;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2066;262092;193319;68773
98;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2067;262090;193314;68776
99;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2068;262089;193310;68780
100;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2069;262090;193305;68785
101;Totaal mannen en vrouwen;1e generatie migratieachtergrond;2070;262090;193299;68791
102;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2020;32386;31571;815
103;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2021;33414;41209;-7795
104;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2022;31994;42216;-10222
105;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2023;29703;42254;-12550
106;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2024;28928;42974;-14046
107;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2025;28485;44136;-15651
108;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2026;28337;44903;-16566
109;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2027;28470;45693;-17223
110;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2028;29189;46390;-17201
111;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2029;29281;46945;-17664
112;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2030;29389;47381;-17992
113;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2031;29750;47537;-17787
114;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2032;30055;47661;-17606
115;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2033;30325;47725;-17400
116;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2034;30551;47768;-17216
117;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2035;30697;47792;-17095
118;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2036;30804;47802;-16998
119;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2037;30846;47812;-16966
120;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2038;30887;47804;-16917
121;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2039;30916;47783;-16867
122;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2040;30944;47762;-16818
123;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2041;30931;47736;-16805
124;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2042;30926;47730;-16804
125;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2043;30927;47722;-16795
126;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2044;30933;47759;-16826
127;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2045;30937;47822;-16885
128;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2046;30948;47922;-16974
129;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2047;30952;48061;-17109
130;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2048;30975;48227;-17252
131;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2049;31024;48431;-17407
132;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2050;31110;48654;-17544
133;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2051;31216;48903;-17687
134;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2052;31299;49172;-17872
135;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2053;31379;49432;-18053
136;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2054;31489;49695;-18206
137;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2055;31589;49952;-18362
138;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2056;31691;50191;-18500
139;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2057;31814;50420;-18606
140;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2058;31897;50629;-18732
141;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2059;31983;50827;-18844
142;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2060;32120;51003;-18883
143;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2061;32208;51172;-18964
144;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2062;32327;51329;-19002
145;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2063;32407;51474;-19067
146;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2064;32491;51603;-19112
147;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2065;32574;51726;-19152
148;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2066;32665;51826;-19161
149;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2067;32744;51920;-19176
150;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2068;32808;52005;-19197
151;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2069;32878;52077;-19199
152;Totaal mannen en vrouwen;Ned. achtergrond/2e gen migratieachte...;2070;32878;52107;-19229
153;Totaal mannen en vrouwen;Westerse migratieachtergrond;2020;115001;85629;29372
154;Totaal mannen en vrouwen;Westerse migratieachtergrond;2021;131788;93874;37913
155;Totaal mannen en vrouwen;Westerse migratieachtergrond;2022;150732;99777;50955
156;Totaal mannen en vrouwen;Westerse migratieachtergrond;2023;156430;105413;51017
157;Totaal mannen en vrouwen;Westerse migratieachtergrond;2024;159404;111027;48377
158;Totaal mannen en vrouwen;Westerse migratieachtergrond;2025;162512;116135;46377
159;Totaal mannen en vrouwen;Westerse migratieachtergrond;2026;163127;119336;43791
160;Totaal mannen en vrouwen;Westerse migratieachtergrond;2027;163724;121591;42133
161;Totaal mannen en vrouwen;Westerse migratieachtergrond;2028;163873;122933;40940
162;Totaal mannen en vrouwen;Westerse migratieachtergrond;2029;162909;123546;39363
163;Totaal mannen en vrouwen;Westerse migratieachtergrond;2030;161919;123393;38526
164;Totaal mannen en vrouwen;Westerse migratieachtergrond;2031;161119;123911;37209
165;Totaal mannen en vrouwen;Westerse migratieachtergrond;2032;160104;124218;35886
166;Totaal mannen en vrouwen;Westerse migratieachtergrond;2033;159100;124353;34747
167;Totaal mannen en vrouwen;Westerse migratieachtergrond;2034;158091;124352;33740
168;Totaal mannen en vrouwen;Westerse migratieachtergrond;2035;157882;124370;33512
169;Totaal mannen en vrouwen;Westerse migratieachtergrond;2036;157662;124489;33173
170;Totaal mannen en vrouwen;Westerse migratieachtergrond;2037;157458;124635;32822
171;Totaal mannen en vrouwen;Westerse migratieachtergrond;2038;157249;124754;32496
172;Totaal mannen en vrouwen;Westerse migratieachtergrond;2039;157042;124842;32200
173;Totaal mannen en vrouwen;Westerse migratieachtergrond;2040;156828;124920;31908
174;Totaal mannen en vrouwen;Westerse migratieachtergrond;2041;156623;124976;31647
