ID;Geslacht;Leeftijd;Geboortegeneratie;TotaalMetPartner_1;BeideWerkzaam_2;ZelfWerkzaamPartnerNietWerkzaam_3;ZelfNietWerkzaamPartnerWerkzaam_4;BeideNietWerkzaam_5;TotaalZonderPartner_6;Werkzaam_7;NietWerkzaam_8;AandeelVanTotaalArbeidsuren_9;TotaalAantalArbeidsuren_10;Totaal_11;BeideKleineParttimeBaan_12;KleineParttimeBaanEnGroteParttime_13;KleineParttimeBaanEnFulltimeBaan_14;BeideGroteParttimeBaan_15;GroteParttimeBaanEnFulltimeBaan_16;BeidePartnersFulltimeBaan_17;Totaal_18;EenKleineParttimeBaan_19;EenGroteParttimeBaan_20;EenFulltimeBaan_21;BeidePartnersNietWerkzaam_22;Werkzaam_23;NietWerkzaam_24
0;Mannen;20 jaar;1925 tot 1930;;;;;;;;;;;;;;;;;;;;;;;;
1;Mannen;20 jaar;1930 tot 1935;;;;;;;;;;;;;;;;;;;;;;;;
2;Mannen;20 jaar;1935 tot 1940;;;;;;;;;;;;;;;;;;;;;;;;
3;Mannen;20 jaar;1940 tot 1945;;;;;;;;;;;;;;;;;;;;;;;;
4;Mannen;20 jaar;1945 tot 1950;;;;;;;;;;;;;;;;;;;;;;;;
5;Mannen;20 jaar;1950 tot 1955;;;;;;;;;;;;;;;;;;;;;;;;
6;Mannen;20 jaar;1955 tot 1960;;;;;;;;;;;;;;;;;;;;;;;;
7;Mannen;20 jaar;1960 tot 1965;;;;;;;;;;;;;;;;;;;;;;;;
8;Mannen;20 jaar;1965 tot 1970;;;;;;;;;;;;;;;;;;;;;;;;
9;Mannen;20 jaar;1970 tot 1975;3.9;;;;;96.1;57.1;39.0;58.2;65.2;;;;;;;;;;;;;59.4;40.6
10;Mannen;20 jaar;1975 tot 1980;3.3;;;;;96.7;66.2;30.4;62.4;60.7;;;;;;;;;;;;;68.5;31.5
11;Mannen;20 jaar;1980 tot 1985;1.8;;;;;98.2;69.5;28.7;54.0;60.6;;;;;;;;;;;;;70.8;29.2
12;Mannen;20 jaar;1985 tot 1990;1.7;;;;;98.3;65.2;33.1;60.8;59.7;;;;;;;;;;;;;66.3;33.7
