ID;RegioS;Woningtype;EigendomWoning;Bouwjaar;BewoningWoonruimte;Perioden;Woningvoorraad_1
0;Nederland;Totaal woningen;Totaal;Totaal;Totaal;2015;7641325.0
1;Nederland;Totaal woningen;Totaal;Totaal;Totaal;2016;7686175.0
2;Nederland;Totaal woningen;Totaal;Totaal;Totaal;2017;7740985.0
3;Nederland;Totaal woningen;Totaal;Totaal;Totaal;2018;7814910.0
4;Nederland;Totaal woningen;Totaal;Totaal;Totaal;2019;7891785.0
5;Nederland;Totaal woningen;Totaal;Totaal;Totaal;2020;7966330.0
6;Nederland;Totaal woningen;Totaal;Totaal;Totaal;2021;8045580.0
7;Nederland;Totaal woningen;Totaal;Totaal;Totaal;2022;8125230.0
8;Nederland;Totaal woningen;Totaal;Totaal;1 particulier huishouden;2015;6971110.0
9;Nederland;Totaal woningen;Totaal;Totaal;1 particulier huishouden;2016;7032115.0
10;Nederland;Totaal woningen;Totaal;Totaal;1 particulier huishouden;2017;7094285.0
11;Nederland;Totaal woningen;Totaal;Totaal;1 particulier huishouden;2018;7164240.0
12;Nederland;Totaal woningen;Totaal;Totaal;1 particulier huishouden;2019;7235150.0
13;Nederland;Totaal woningen;Totaal;Totaal;1 particulier huishouden;2020;7316595.0
14;Nederland;Totaal woningen;Totaal;Totaal;1 particulier huishouden;2021;7398745.0
15;Nederland;Totaal woningen;Totaal;Totaal;1 particulier huishouden;2022;7450855.0
16;Nederland;Totaal woningen;Totaal;Totaal;Anders dan 1 particulier huishouden;2015;305030.0
17;Nederland;Totaal woningen;Totaal;Totaal;Anders dan 1 particulier huishouden;2016;298985.0
18;Nederland;Totaal woningen;Totaal;Totaal;Anders dan 1 particulier huishouden;2017;303735.0
19;Nederland;Totaal woningen;Totaal;Totaal;Anders dan 1 particulier huishouden;2018;305085.0
20;Nederland;Totaal woningen;Totaal;Totaal;Anders dan 1 particulier huishouden;2019;312410.0
21;Nederland;Totaal woningen;Totaal;Totaal;Anders dan 1 particulier huishouden;2020;298960.0
22;Nederland;Totaal woningen;Totaal;Totaal;Anders dan 1 particulier huishouden;2021;305880.0
23;Nederland;Totaal woningen;Totaal;Totaal;Anders dan 1 particulier huishouden;2022;326265.0
24;Nederland;Totaal woningen;Totaal;Totaal;Geen bewoner ingeschreven;2015;365185.0
25;Nederland;Totaal woningen;Totaal;Totaal;Geen bewoner ingeschreven;2016;355075.0
26;Nederland;Totaal woningen;Totaal;Totaal;Geen bewoner ingeschreven;2017;342965.0
27;Nederland;Totaal woningen;Totaal;Totaal;Geen bewoner ingeschreven;2018;345585.0
28;Nederland;Totaal woningen;Totaal;Totaal;Geen bewoner ingeschreven;2019;344225.0
29;Nederland;Totaal woningen;Totaal;Totaal;Geen bewoner ingeschreven;2020;350780.0
30;Nederland;Totaal woningen;Totaal;Totaal;Geen bewoner ingeschreven;2021;340955.0
31;Nederland;Totaal woningen;Totaal;Totaal;Geen bewoner ingeschreven;2022;348105.0
32;Nederland;Totaal woningen;Totaal;Tot 1945;Totaal;2015;1459975.0
33;Nederland;Totaal woningen;Totaal;Tot 1945;Totaal;2016;1460685.0
34;Nederland;Totaal woningen;Totaal;Tot 1945;Totaal;2017;1462645.0
35;Nederland;Totaal woningen;Totaal;Tot 1945;Totaal;2018;1468790.0
36;Nederland;Totaal woningen;Totaal;Tot 1945;Totaal;2019;1472730.0
37;Nederland;Totaal woningen;Totaal;Tot 1945;Totaal;2020;1475945.0
38;Nederland;Totaal woningen;Totaal;Tot 1945;Totaal;2021;1481305.0
39;Nederland;Totaal woningen;Totaal;Tot 1945;Totaal;2022;1487890.0
40;Nederland;Totaal woningen;Totaal;Tot 1945;1 particulier huishouden;2015;1265725.0
41;Nederland;Totaal woningen;Totaal;Tot 1945;1 particulier huishouden;2016;1268385.0
42;Nederland;Totaal woningen;Totaal;Tot 1945;1 particulier huishouden;2017;1272815.0
43;Nederland;Totaal woningen;Totaal;Tot 1945;1 particulier huishouden;2018;1279295.0
44;Nederland;Totaal woningen;Totaal;Tot 1945;1 particulier huishouden;2019;1284375.0
