ID;Functies;Perioden;OverdrachtenTotaal_1;OverdrachtenBedrijven_2;OverdrachtenCentraleOverheid_3;OverdrachtenDecentraleOverheid_4;OverdrachtenSocVerzekeringsinst_5;OverdrachtenHuishoudens_6;OverdrachtenIZWHuishoudens_7;OverdrachtenBuitenland_8;OverdrachtenOnverdeeld_9
0;Totaal beleidsterreinen;2003;92073;2268;7094;53738;11684;9088;1304;5388;1509
1;Totaal beleidsterreinen;2004;92900;1797;7412;52589;12659;9488;1326;6264;1364
2;Totaal beleidsterreinen;2005;95532;1380;7638;53506;13683;10289;1368;6940;728
3;Totaal beleidsterreinen;2006;102672;1364;7984;55939;13939;14117;1344;7232;752
4;Totaal beleidsterreinen;2007;110174;2838;8016;59397;15009;15714;1180;7309;712
5;Totaal beleidsterreinen;2008;116006;2897;8205;62795;13471;18642;1327;7859;810
6;Totaal beleidsterreinen;2009;128535;6007;8228;68233;17219;20410;1315;5980;1145
7;Totaal beleidsterreinen;2010*;140301;4997;10415;67904;24416;21293;1314;8783;1180
8;Algemeen overheidsbestuur;2003;26382;234;2882;16754;0;26;63;5065;1358
9;Algemeen overheidsbestuur;2004;25225;243;3129;14602;0;23;104;5923;1203
10;Algemeen overheidsbestuur;2005;25680;138;3364;14915;-178;19;122;6634;668
11;Algemeen overheidsbestuur;2006;28034;345;3335;16692;0;57;133;6924;549
12;Algemeen overheidsbestuur;2007;29868;323;3421;18558;0;44;128;6860;535
13;Algemeen overheidsbestuur;2008;32312;294;3658;20042;0;96;134;7484;604
14;Algemeen overheidsbestuur;2009;31758;299;3681;21894;0;195;112;5572;6
15;Algemeen overheidsbestuur;2010*;35733;347;4574;22280;0;3;94;8425;11
16;Landsverdediging;2003;174;64;12;0;0;0;0;97;0
17;Landsverdediging;2004;200;54;19;0;0;0;0;127;0
18;Landsverdediging;2005;200;58;17;0;0;0;1;124;0
19;Landsverdediging;2006;176;35;9;0;0;0;0;109;23
20;Landsverdediging;2007;328;51;16;0;0;0;0;261;0
21;Landsverdediging;2008;211;30;12;7;0;0;0;161;0
22;Landsverdediging;2009;227;43;10;8;0;0;0;166;0
23;Landsverdediging;2010*;214;29;9;8;0;0;0;168;0
24;Openbare orde en veiligheid;2003;4271;95;31;4110;0;16;0;17;2
25;Openbare orde en veiligheid;2004;4443;105;28;4267;0;16;0;22;5
