ID;Geslacht;Onderwijssoort;Migratieachtergrond;WoonregioSchoolregio;Regiokenmerken;Perioden;Examenkandidaten_1;Gediplomeerden_2;GediplomeerdenRelatief_3
0;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2005/'06;31633;29287;93
1;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2006/'07;32961;30331;92
2;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2007/'08;35150;32398;92
3;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2008/'09;37434;34078;91
4;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2009/'10;35385;31572;89
5;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2010/'11;36763;32641;89
6;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2011/'12;36755;32089;87
7;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2012/'13;35733;32842;92
8;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2013/'14;35450;31816;90
9;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2014/'15;35946;33182;92
10;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2015/'16;35844;32677;91
11;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2016/'17;37899;34478;91
12;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2017/'18;38488;35221;92
13;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2018/'19;38690;35094;91
14;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2019/'20;38871;38462;99
15;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Nederland;2020/'21;39149;36793;94
16;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Vier grootste gemeenten (G4);2005/'06;3059;2717;89
17;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Vier grootste gemeenten (G4);2006/'07;3069;2708;88
18;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Vier grootste gemeenten (G4);2007/'08;3260;2909;89
19;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Vier grootste gemeenten (G4);2008/'09;3560;3143;88
20;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Vier grootste gemeenten (G4);2009/'10;3290;2852;87
21;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Vier grootste gemeenten (G4);2010/'11;3411;2922;86
22;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Vier grootste gemeenten (G4);2011/'12;3657;3101;85
23;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Vier grootste gemeenten (G4);2012/'13;3487;3099;89
24;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Vier grootste gemeenten (G4);2013/'14;3684;3228;88
25;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Vier grootste gemeenten (G4);2014/'15;3764;3433;91
26;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Vier grootste gemeenten (G4);2015/'16;3761;3380;90
27;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Vier grootste gemeenten (G4);2016/'17;4217;3760;89
28;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Vier grootste gemeenten (G4);2017/'18;4310;3883;90
29;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Vier grootste gemeenten (G4);2018/'19;4581;4079;89
30;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Vier grootste gemeenten (G4);2019/'20;4755;4691;99
31;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Vier grootste gemeenten (G4);2020/'21;5005;4598;92
32;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Amsterdam;2005/'06;1067;963;90
33;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Amsterdam;2006/'07;1119;982;88
34;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Amsterdam;2007/'08;1156;1061;92
35;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Amsterdam;2008/'09;1190;1071;90
36;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Amsterdam;2009/'10;1183;1047;89
37;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Amsterdam;2010/'11;1297;1125;87
38;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Amsterdam;2011/'12;1338;1140;85
39;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Amsterdam;2012/'13;1355;1202;89
40;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Amsterdam;2013/'14;1347;1183;88
41;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Amsterdam;2014/'15;1449;1305;90
42;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Amsterdam;2015/'16;1499;1330;89
43;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Amsterdam;2016/'17;1622;1439;89
44;Totaal mannen en vrouwen;Vwo;Totaal migratieachtergrond;Woonregio;Amsterdam;2017/'18;1649;1470;89
