ID;EmployeeWithWithoutRegistration;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;MigrationBackgroundNationality;Periods;JobsEmployeesFromAbroad_1
0;Total jobs;Total employees;A-U All economic activities;Total;Total;2010 1st quarter;648.6
1;Total jobs;Total employees;A-U All economic activities;Total;Total;2010 2nd quarter;680.5
2;Total jobs;Total employees;A-U All economic activities;Total;Total;2010 3rd quarter;693.7
3;Total jobs;Total employees;A-U All economic activities;Total;Total;2010 4th quarter;689.8
4;Total jobs;Total employees;A-U All economic activities;Total;Total;2010;678.3
5;Total jobs;Total employees;A-U All economic activities;Total;Total;2011 1st quarter;678.3
6;Total jobs;Total employees;A-U All economic activities;Total;Total;2011 2nd quarter;710.4
7;Total jobs;Total employees;A-U All economic activities;Total;Total;2011 3rd quarter;717.3
8;Total jobs;Total employees;A-U All economic activities;Total;Total;2011 4th quarter;704.1
9;Total jobs;Total employees;A-U All economic activities;Total;Total;2011;702.6
10;Total jobs;Total employees;A-U All economic activities;Total;Total;2012 1st quarter;689.2
11;Total jobs;Total employees;A-U All economic activities;Total;Total;2012 2nd quarter;716.0
12;Total jobs;Total employees;A-U All economic activities;Total;Total;2012 3rd quarter;718.7
13;Total jobs;Total employees;A-U All economic activities;Total;Total;2012 4th quarter;704.0
14;Total jobs;Total employees;A-U All economic activities;Total;Total;2012;707.0
15;Total jobs;Total employees;A-U All economic activities;Total;Total;2013 1st quarter;684.5
16;Total jobs;Total employees;A-U All economic activities;Total;Total;2013 2nd quarter;704.1
17;Total jobs;Total employees;A-U All economic activities;Total;Total;2013 3rd quarter;706.6
18;Total jobs;Total employees;A-U All economic activities;Total;Total;2013 4th quarter;695.4
19;Total jobs;Total employees;A-U All economic activities;Total;Total;2013;697.7
20;Total jobs;Total employees;A-U All economic activities;Total;Total;2014 1st quarter;675.4
21;Total jobs;Total employees;A-U All economic activities;Total;Total;2014 2nd quarter;706.4
22;Total jobs;Total employees;A-U All economic activities;Total;Total;2014 3rd quarter;717.9
23;Total jobs;Total employees;A-U All economic activities;Total;Total;2014 4th quarter;711.2
24;Total jobs;Total employees;A-U All economic activities;Total;Total;2014;702.8
25;Total jobs;Total employees;A-U All economic activities;Total;Total;2015 1st quarter;700.3
26;Total jobs;Total employees;A-U All economic activities;Total;Total;2015 2nd quarter;733.0
27;Total jobs;Total employees;A-U All economic activities;Total;Total;2015 3rd quarter;748.2
28;Total jobs;Total employees;A-U All economic activities;Total;Total;2015 4th quarter;746.2
29;Total jobs;Total employees;A-U All economic activities;Total;Total;2015;732.1
30;Total jobs;Total employees;A-U All economic activities;Total;Total;2016 1st quarter;729.0
31;Total jobs;Total employees;A-U All economic activities;Total;Total;2016 2nd quarter;768.4
