ID;RegioS;Inkomensbron;AantalHuishoudens_1;GemiddBesteedbInkomenPerHuishouden_2
0;Nederland;Totaal particulier huishouden;6664.8;27.9
1;Nederland;Loon;3760.0;31.2
2;Nederland;Winst;660.6;37.1
3;Nederland;Werkloosheid,bijstand,arbeidsongeschikt;630.3;16.1
4;Nederland;Pensioen;1525.9;20.8
5;Noord-Nederland;Totaal particulier huishouden;693.7;25.4
6;Noord-Nederland;Loon;367.3;28.4
7;Noord-Nederland;Winst;73.7;34.6
8;Noord-Nederland;Werkloosheid,bijstand,arbeidsongeschikt;68.3;16.0
9;Noord-Nederland;Pensioen;173.7;19.5
10;Oost-Nederland;Totaal particulier huishouden;1329.2;28.0
11;Oost-Nederland;Loon;763.3;31.0
12;Oost-Nederland;Winst;136.1;37.4
13;Oost-Nederland;Werkloosheid,bijstand,arbeidsongeschikt;111.2;16.8
14;Oost-Nederland;Pensioen;301.9;20.6
15;West-Nederland;Totaal particulier huishouden;3212.5;28.2
16;West-Nederland;Loon;1818.2;31.6
17;West-Nederland;Winst;313.9;37.4
18;West-Nederland;Werkloosheid,bijstand,arbeidsongeschikt;319.2;15.5
19;West-Nederland;Pensioen;718.2;21.2
20;Zuid-Nederland;Totaal particulier huishouden;1429.3;28.2
21;Zuid-Nederland;Loon;811.1;31.6
22;Zuid-Nederland;Winst;136.9;37.4
23;Zuid-Nederland;Werkloosheid,bijstand,arbeidsongeschikt;131.6;16.9
24;Zuid-Nederland;Pensioen;332.1;20.7
25;Groningen;Totaal particulier huishouden;240.1;24.5
26;Groningen;Loon;128.9;27.5
27;Groningen;Winst;22.2;34.4
28;Groningen;Werkloosheid,bijstand,arbeidsongeschikt;27.3;15.3
29;Groningen;Pensioen;57.8;18.8
30;Friesland;Totaal particulier huishouden;259.5;25.4
31;Friesland;Loon;136.0;28.0
32;Friesland;Winst;31.6;34.8
33;Friesland;Werkloosheid,bijstand,arbeidsongeschikt;23.6;15.9
34;Friesland;Pensioen;64.5;19.3
35;Drenthe;Totaal particulier huishouden;194.1;26.6
36;Drenthe;Loon;102.5;30.0
37;Drenthe;Winst;19.9;34.4
38;Drenthe;Werkloosheid,bijstand,arbeidsongeschikt;17.4;17.2
39;Drenthe;Pensioen;51.5;20.4
40;Overijssel;Totaal particulier huishouden;426.9;27.2
41;Overijssel;Loon;240.8;30.3
42;Overijssel;Winst;42.7;37.3
43;Overijssel;Werkloosheid,bijstand,arbeidsongeschikt;37.3;16.8
44;Overijssel;Pensioen;100.9;19.8
45;Flevoland;Totaal particulier huishouden;131.1;28.2
46;Flevoland;Loon;83.2;31.0
47;Flevoland;Winst;14.2;33.4
48;Flevoland;Werkloosheid,bijstand,arbeidsongeschikt;11.4;16.8
49;Flevoland;Pensioen;21.2;19.8
50;Gelderland;Totaal particulier huishouden;771.2;28.4
51;Gelderland;Loon;439.3;31.4
52;Gelderland;Winst;79.3;38.3
53;Gelderland;Werkloosheid,bijstand,arbeidsongeschikt;62.4;16.9
54;Gelderland;Pensioen;179.8;21.2
55;Utrecht;Totaal particulier huishouden;466.5;30.3
56;Utrecht;Loon;279.4;33.2
57;Utrecht;Winst;46.3;40.8
58;Utrecht;Werkloosheid,bijstand,arbeidsongeschikt;36.7;16.7
59;Utrecht;Pensioen;97.7;22.6
60;Noord-Holland;Totaal particulier huishouden;1135.1;28.0
61;Noord-Holland;Loon;629.8;31.5
62;Noord-Holland;Winst;122.7;36.1
63;Noord-Holland;Werkloosheid,bijstand,arbeidsongeschikt;124.4;15.7
64;Noord-Holland;Pensioen;241.8;21.2
65;Zuid-Holland;Totaal particulier huishouden;1454.9;27.7
66;Zuid-Holland;Loon;827.1;31.3
67;Zuid-Holland;Winst;127.1;37.4
68;Zuid-Holland;Werkloosheid,bijstand,arbeidsongeschikt;147.0;15.0
69;Zuid-Holland;Pensioen;336.0;20.8
70;Zeeland;Totaal particulier huishouden;155.9;27.1
71;Zeeland;Loon;82.0;30.1
72;Zeeland;Winst;17.8;37.0
73;Zeeland;Werkloosheid,bijstand,arbeidsongeschikt;11.2;16.6
74;Zeeland;Pensioen;42.6;20.2
75;Noord-Brabant;Totaal particulier huishouden;958.4;28.8
76;Noord-Brabant;Loon;554.9;32.0
77;Noord-Brabant;Winst;95.9;38.0
78;Noord-Brabant;Werkloosheid,bijstand,arbeidsongeschikt;80.4;17.0
79;Noord-Brabant;Pensioen;215.5;20.9
80;Limburg;Totaal particulier huishouden;471.0;27.0
81;Limburg;Loon;256.2;30.8
82;Limburg;Winst;41.0;36.0
83;Limburg;Werkloosheid,bijstand,arbeidsongeschikt;51.1;16.7
84;Limburg;Pensioen;116.6;20.2
85;Oost-Groningen;Totaal particulier huishouden;65.1;23.9
86;Oost-Groningen;Loon;32.4;27.9
87;Oost-Groningen;Winst;5.5;33.1
88;Oost-Groningen;Werkloosheid,bijstand,arbeidsongeschikt;7.8;16.3
89;Oost-Groningen;Pensioen;18.3;17.6
90;Delfzijl en omgeving;Totaal particulier huishouden;21.9;25.1
91;Delfzijl en omgeving;Loon;11.6;28.2
92;Delfzijl en omgeving;Winst;2.0;36.1
93;Delfzijl en omgeving;Werkloosheid,bijstand,arbeidsongeschikt;2.3;15.7
94;Delfzijl en omgeving;Pensioen;5.9;18.9
