ID;Persoonskenmerken;Perioden;WanbetalersMetZorgtoeslag_1;TOVBevolkingNederland_2;TOVTotaalWanbetalers_3
0;10002;2006;85390;0.7;44.9
1;10002;2007;118160;0.9;49.2
2;10002;2008;154490;1.2;60.2
3;10002;2009;190670;1.5;59.9
4;12600;2006;50440;0.5;42.5
5;12600;2007;67630;0.6;48.7
6;12600;2008;84970;0.8;58.1
7;12600;2009;103140;1.0;57.8
8;12601;2006;34950;1.5;48.8
9;12601;2007;50530;2.1;49.9
10;12601;2008;69520;2.8;63.0
11;12601;2009;87530;3.4;62.5
12;13300;2006;4040;2.0;51.0
13;13300;2007;6260;3.0;52.2
14;13300;2008;9210;4.3;68.5
15;13300;2009;11750;5.3;68.5
16;13200;2006;5030;5.6;58.5
17;13200;2007;7030;7.7;57.9
18;13200;2008;9610;10.1;70.9
19;13200;2009;11760;11.9;70.3
20;13150;2006;7460;3.0;52.4
21;13150;2007;10870;4.4;53.1
22;13150;2008;14710;5.8;65.2
23;13150;2009;17900;6.9;64.2
24;13250;2006;3500;1.4;43.6
25;13250;2007;5380;2.2;44.6
26;13250;2008;7780;3.0;58.8
27;13250;2009;9890;3.7;59.1
28;13350;2006;6420;1.7;52.6
29;13350;2007;9170;2.3;52.7
30;13350;2008;12550;3.0;66.9
31;13350;2009;16660;3.8;67.1
32;12950;2006;8510;0.7;41.2
33;12950;2007;11810;1.0;43.5
34;12950;2008;15660;1.3;54.2
35;12950;2009;19560;1.5;53.2
36;20300;2006;85390;0.7;44.9
37;20300;2007;118160;0.9;49.2
38;20300;2008;154490;1.2;60.2
39;20300;2009;190670;1.5;59.9
40;53110;2006;45790;1.3;53.6
41;53110;2007;60190;1.8;55.0
42;53110;2008;77370;2.3;67.3
43;53110;2009;94610;2.8;66.7
44;53705;2006;26040;0.7;37.9
45;53705;2007;37440;1.0;42.6
46;53705;2008;50490;1.3;53.4
47;53705;2009;62230;1.7;53.2
48;53850;2006;11140;0.4;35.5
49;53850;2007;16160;0.5;44.9
50;53850;2008;22010;0.7;54.3
51;53850;2009;28190;0.8;54.5
52;80200;2006;2430;0.1;53.3
53;80200;2007;4380;0.2;63.2
54;80200;2008;4610;0.2;70.7
55;80200;2009;5640;0.2;70.9
