ID;Geslacht;Leeftijd;Migratieachtergrond;Peilmoment;OnderwijspositieOpPeilmoment;StartkwalificatieOpPeilmoment;Perioden;VoortijdigSchoolverlaters_1;TotaalVo_2;TotaalMbo_3;BeroepsopleidendeLeerwegBol_4;BeroepbegeleidendeLeerwegBbl_5;Extranei_6
0;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal onderwijsposities;Totaal voortijdig schoolverlaters;2007/'08;71481.0;15135.0;56346.0;29165.0;24731.0;2450.0
1;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal onderwijsposities;Totaal voortijdig schoolverlaters;2008/'09;64266.0;13173.0;51093.0;24452.0;24664.0;1977.0
2;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal onderwijsposities;Totaal voortijdig schoolverlaters;2009/'10;65346.0;13445.0;51901.0;25211.0;24412.0;2278.0
3;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal onderwijsposities;Totaal voortijdig schoolverlaters;2010/'11;66641.0;12757.0;53884.0;25862.0;24675.0;3347.0
4;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal onderwijsposities;Totaal voortijdig schoolverlaters;2011/'12;60359.0;12956.0;47403.0;23846.0;21490.0;2067.0
5;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal onderwijsposities;Totaal voortijdig schoolverlaters;2012/'13;48198.0;7241.0;40957.0;21433.0;17664.0;1860.0
6;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal onderwijsposities;Totaal voortijdig schoolverlaters;2013/'14;43882.0;7157.0;36725.0;20840.0;13870.0;2015.0
7;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal onderwijsposities;Totaal voortijdig schoolverlaters;2014/'15;36587.0;7247.0;29340.0;20152.0;7813.0;1375.0
8;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal onderwijsposities;Met startkwalificatie;2007/'08;1806.0;615.0;1191.0;660.0;446.0;85.0
9;Totaal mannen en vrouwen;10000;Totaal migratieachtergrond;1 jaar na verlaten onderwijs;Totaal onderwijsposities;Met startkwalificatie;2008/'09;1653.0;536.0;1117.0;521.0;513.0;83.0
