ID;Kenmerken;Geslacht;Leeftijd;Perioden;TotaalBevolking15Tot65Jaar_1;Totaal15Tot65JaarMetAandoening_2;WelArbeidsgehandicapt_3;NietArbeidsgehandicapt_4
0;100;1100;Totaal leeftijd;2000;10729;2522.0;1465.0;1057.0
1;100;1100;Totaal leeftijd;2001 voor revisie;10801;2585.0;1524.0;1061.0
2;100;1100;Totaal leeftijd;2001 na revisie;10800;2633.0;1568.0;1066.0
3;100;1100;Totaal leeftijd;2002;10863;2693.0;1797.0;896.0
4;100;1100;Totaal leeftijd;2003;10903;2718.0;1806.0;912.0
5;100;1100;Totaal leeftijd;2004;10925;2704.0;1799.0;904.0
6;100;1100;Totaal leeftijd;2005;10940;2722.0;1764.0;959.0
7;100;1100;Totaal leeftijd;2006;10952;2647.0;1725.0;922.0
8;100;1100;Totaal leeftijd;2007;10968;;;
9;100;1100;Totaal leeftijd;2008;10997;2510.0;;
10;100;1100;Totaal leeftijd;2009;11014;2559.0;1651.0;905.0
11;100;1100;Totaal leeftijd;2010;11017;2339.0;1476.0;863.0
12;100;1100;Totaal leeftijd;2011;10994;2114.0;1384.0;730.0
13;100;1100;Totaal leeftijd;2012;10992;2085.0;1349.0;736.0
14;100;1100;Totaal leeftijd;2013;11013;2092.0;1552.0;540.0
15;100;1100;15 tot 25 jaar;2000;1873;234.0;85.0;149.0
16;100;1100;15 tot 25 jaar;2001 voor revisie;1888;247.0;91.0;156.0
17;100;1100;15 tot 25 jaar;2001 na revisie;1888;247.0;91.0;156.0
18;100;1100;15 tot 25 jaar;2002;1907;246.0;119.0;127.0
19;100;1100;15 tot 25 jaar;2003;1921;244.0;119.0;124.0
20;100;1100;15 tot 25 jaar;2004;1929;239.0;117.0;123.0
21;100;1100;15 tot 25 jaar;2005;1937;243.0;118.0;124.0
22;100;1100;15 tot 25 jaar;2006;1944;236.0;118.0;118.0
23;100;1100;15 tot 25 jaar;2007;1957;;;
24;100;1100;15 tot 25 jaar;2008;1978;246.0;;
25;100;1100;15 tot 25 jaar;2009;1998;262.0;136.0;126.0
26;100;1100;15 tot 25 jaar;2010;2006;221.0;116.0;105.0
27;100;1100;15 tot 25 jaar;2011;2010;202.0;115.0;87.0
28;100;1100;15 tot 25 jaar;2012;2023;193.0;109.0;84.0
29;100;1100;15 tot 25 jaar;2013;2040;214.0;143.0;71.0
30;100;1100;25 tot 35 jaar;2000;2449;409.0;232.0;177.0
31;100;1100;25 tot 35 jaar;2001 voor revisie;2398;402.0;229.0;173.0
32;100;1100;25 tot 35 jaar;2001 na revisie;2397;409.0;234.0;175.0
33;100;1100;25 tot 35 jaar;2002;2342;423.0;264.0;159.0
34;100;1100;25 tot 35 jaar;2003;2281;407.0;247.0;160.0
35;100;1100;25 tot 35 jaar;2004;2210;380.0;234.0;145.0
36;100;1100;25 tot 35 jaar;2005;2138;367.0;219.0;148.0
37;100;1100;25 tot 35 jaar;2006;2075;344.0;208.0;135.0
38;100;1100;25 tot 35 jaar;2007;2024;;;
39;100;1100;25 tot 35 jaar;2008;1995;302.0;;
40;100;1100;25 tot 35 jaar;2009;1980;298.0;184.0;113.0
41;100;1100;25 tot 35 jaar;2010;1976;253.0;149.0;104.0
42;100;1100;25 tot 35 jaar;2011;1980;242.0;145.0;96.0
43;100;1100;25 tot 35 jaar;2012;2008;239.0;146.0;93.0
44;100;1100;25 tot 35 jaar;2013;2039;242.0;177.0;65.0
45;100;1100;35 tot 45 jaar;2000;2530;568.0;334.0;234.0
46;100;1100;35 tot 45 jaar;2001 voor revisie;2559;571.0;340.0;231.0
47;100;1100;35 tot 45 jaar;2001 na revisie;2559;574.0;342.0;232.0
48;100;1100;35 tot 45 jaar;2002;2577;585.0;382.0;202.0
49;100;1100;35 tot 45 jaar;2003;2589;609.0;396.0;213.0
50;100;1100;35 tot 45 jaar;2004;2599;601.0;392.0;208.0
51;100;1100;35 tot 45 jaar;2005;2606;600.0;377.0;223.0
52;100;1100;35 tot 45 jaar;2006;2598;564.0;354.0;210.0
53;100;1100;35 tot 45 jaar;2007;2575;;;
54;100;1100;35 tot 45 jaar;2008;2539;510.0;;
55;100;1100;35 tot 45 jaar;2009;2478;496.0;304.0;192.0
56;100;1100;35 tot 45 jaar;2010;2423;457.0;275.0;182.0
57;100;1100;35 tot 45 jaar;2011;2361;394.0;258.0;137.0
58;100;1100;35 tot 45 jaar;2012;2312;385.0;246.0;140.0
59;100;1100;35 tot 45 jaar;2013;2265;386.0;287.0;99.0
60;100;1100;45 tot 55 jaar;2000;2287;688.0;456.0;233.0
61;100;1100;45 tot 55 jaar;2001 voor revisie;2298;726.0;478.0;247.0
62;100;1100;45 tot 55 jaar;2001 na revisie;2298;739.0;491.0;248.0
63;100;1100;45 tot 55 jaar;2002;2282;727.0;522.0;205.0
64;100;1100;45 tot 55 jaar;2003;2279;711.0;499.0;212.0
65;100;1100;45 tot 55 jaar;2004;2290;728.0;512.0;216.0
66;100;1100;45 tot 55 jaar;2005;2310;725.0;502.0;222.0
67;100;1100;45 tot 55 jaar;2006;2336;707.0;480.0;228.0
68;100;1100;45 tot 55 jaar;2007;2365;;;
69;100;1100;45 tot 55 jaar;2008;2395;668.0;;
70;100;1100;45 tot 55 jaar;2009;2433;691.0;463.0;227.0
71;100;1100;45 tot 55 jaar;2010;2458;645.0;423.0;222.0
72;100;1100;45 tot 55 jaar;2011;2479;555.0;374.0;181.0
73;100;1100;45 tot 55 jaar;2012;2498;576.0;384.0;192.0
74;100;1100;45 tot 55 jaar;2013;2516;557.0;409.0;149.0
75;100;1100;55 tot 65 jaar;2000;1590;623.0;358.0;265.0
