ID;Geslacht;Persoonskenmerken;Perioden;PersonenInBezitVanAuto_1;PersonenInBezitVanAuto_2;PersonenInBezitVanMotor_3;PersonenInBezitVanMotor_4
0;Totaal mannen en vrouwen;Totaal;2010;6422700;49.9;504200;3.9
1;Totaal mannen en vrouwen;Totaal;2011;6488900;50.1;511100;3.9
2;Totaal mannen en vrouwen;Totaal;2012;6563700;50.3;516700;4.0
3;Totaal mannen en vrouwen;Totaal;2013;6608800;50.4;519500;4.0
4;Totaal mannen en vrouwen;Totaal;2014;6617600;50.3;518800;3.9
5;Totaal mannen en vrouwen;Totaal;2015;6666800;50.4;515800;3.9
6;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;2010;295600;20.9;19800;1.4
7;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;2011;299600;20.9;20400;1.4
8;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;2012;291600;20.2;21300;1.5
9;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;2013;279000;19.2;22500;1.6
10;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;2014;262800;18.1;22100;1.5
11;Totaal mannen en vrouwen;Leeftijd: 18 tot 25 jaar;2015;261200;18.0;19600;1.3
12;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2010;1008400;50.8;81000;4.1
13;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2011;1003400;50.4;80000;4.0
14;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2012;1004500;50.1;79800;4.0
15;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2013;1002900;49.7;79800;4.0
16;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2014;991400;49.0;80400;4.0
17;Totaal mannen en vrouwen;Leeftijd: 25 tot 35 jaar;2015;995400;48.7;81400;4.0
18;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2010;1428200;58.0;145300;5.9
19;Totaal mannen en vrouwen;Leeftijd: 35 tot 45 jaar;2011;1392800;58.0;137300;5.7
