ID;Geslacht;Leeftijd;Opleidingsniveau;Cijfersoort;Perioden;Levensverwachting_1;LevensverwInAlsGoedErvarenGezondh_2;LevensverwZonderLichBeperkingen_3;LevensverwZonderChronischeZiektes_4;LevensverwInGoedeGeestelijkeGezondh_5
0;Mannen;0 jaar;Basisonderwijs;Aantal jaren;1997/2005;72.2;50.2;61.9;44.0;
1;Mannen;0 jaar;Basisonderwijs;Aantal jaren;1997/2000;71.0;51.5;61.4;44.1;
2;Mannen;0 jaar;Basisonderwijs;Aantal jaren;2001/2004;72.3;51.3;60.8;43.7;62.9
3;Mannen;0 jaar;Basisonderwijs;Aantal jaren;2005/2008;74.1;53.1;62.5;43.0;65.8
4;Mannen;0 jaar;Basisonderwijs;Aantal jaren;2007/2010;74.4;53.2;63.5;41.6;67.7
5;Mannen;0 jaar;Basisonderwijs;Aantal jaren;2009/2012;75.3;53.0;62.0;41.4;65.2
6;Mannen;0 jaar;Basisonderwijs;Aantal jaren;2011/2014;76.6;53.0;63.4;41.0;67.4
7;Mannen;0 jaar;Basisonderwijs;Standaardfout;1997/2005;0.3;0.8;0.6;0.9;
8;Mannen;0 jaar;Basisonderwijs;Standaardfout;1997/2000;0.5;0.6;0.6;0.7;
9;Mannen;0 jaar;Basisonderwijs;Standaardfout;2001/2004;0.3;0.6;0.5;0.7;0.6
10;Mannen;0 jaar;Basisonderwijs;Standaardfout;2005/2008;0.3;0.6;0.5;0.6;0.5
11;Mannen;0 jaar;Basisonderwijs;Standaardfout;2007/2010;0.2;0.6;0.5;0.6;0.5
12;Mannen;0 jaar;Basisonderwijs;Standaardfout;2009/2012;0.2;0.6;0.7;0.6;0.7
13;Mannen;0 jaar;Basisonderwijs;Standaardfout;2011/2014;0.2;0.7;0.8;0.7;0.7
14;Mannen;0 jaar;Vmbo;Aantal jaren;1997/2005;74.6;59.6;67.4;46.4;
15;Mannen;0 jaar;Vmbo;Aantal jaren;1997/2000;73.9;59.4;67.4;47.8;
16;Mannen;0 jaar;Vmbo;Aantal jaren;2001/2004;74.9;59.3;66.4;45.8;69.3
17;Mannen;0 jaar;Vmbo;Aantal jaren;2005/2008;76.5;60.1;67.6;46.0;70.5
18;Mannen;0 jaar;Vmbo;Aantal jaren;2007/2010;77.5;61.2;67.1;45.3;71.4
19;Mannen;0 jaar;Vmbo;Aantal jaren;2009/2012;78.3;61.2;68.8;45.1;71.5
20;Mannen;0 jaar;Vmbo;Aantal jaren;2011/2014;78.6;61.3;69.3;46.0;71.9
21;Mannen;0 jaar;Vmbo;Standaardfout;1997/2005;0.1;0.3;0.3;0.4;
22;Mannen;0 jaar;Vmbo;Standaardfout;1997/2000;0.3;0.5;0.4;0.6;
23;Mannen;0 jaar;Vmbo;Standaardfout;2001/2004;0.2;0.5;0.4;0.6;0.4
24;Mannen;0 jaar;Vmbo;Standaardfout;2005/2008;0.1;0.5;0.4;0.6;0.4
25;Mannen;0 jaar;Vmbo;Standaardfout;2007/2010;0.1;0.5;0.4;0.5;0.4
26;Mannen;0 jaar;Vmbo;Standaardfout;2009/2012;0.1;0.4;0.4;0.5;0.4
27;Mannen;0 jaar;Vmbo;Standaardfout;2011/2014;0.1;0.5;0.5;0.5;0.4
28;Mannen;0 jaar;Havo, vwo, mbo;Aantal jaren;1997/2005;77.1;63.7;70.9;48.5;
29;Mannen;0 jaar;Havo, vwo, mbo;Aantal jaren;1997/2000;76.5;63.1;70.5;49.4;
30;Mannen;0 jaar;Havo, vwo, mbo;Aantal jaren;2001/2004;77.4;64.1;70.8;48.5;72.9
31;Mannen;0 jaar;Havo, vwo, mbo;Aantal jaren;2005/2008;78.5;65.1;71.8;46.9;74.3
32;Mannen;0 jaar;Havo, vwo, mbo;Aantal jaren;2007/2010;79.3;65.4;72.3;46.6;75.3
