ID;Persoonskenmerken;Perioden;PersonenMetEenBetalingsachterstand_1;PersMetBetalingsachterstandRelatief_2
0;Positie: Totaal personen in huishoudens;2010;244210.0;1.9
1;Positie: Totaal personen in huishoudens;2011;274750.0;2.1
2;Positie: Totaal personen in huishoudens;2012;278670.0;2.1
3;Positie: Totaal personen in huishoudens;2013;282440.0;2.1
4;Positie: Totaal personen in huishoudens;2014;298240.0;2.2
5;Positie: Totaal personen in huishoudens;2015;282190.0;2.1
6;Positie: Totaal personen in huishoudens;2016;249930.0;1.8
7;Positie: Totaal personen in huishoudens;2017;229870.0;1.7
8;Positie: Totaal personen in huishoudens;2018;206100.0;1.5
9;Positie: Totaal personen in huishoudens;2019;190250.0;1.4
10;Positie: Totaal personen in huishoudens;2020;174720.0;1.2
11;Positie: Totaal personen in huishoudens;2021;161900.0;1.1
12;Positie: Totaal personen in huishoudens;2022;158980.0;1.1
13;Positie: Totaal personen in huishoudens;2023;166070.0;1.1
14;Positie: Thuiswonend kind (meerderjarig);2010;35840.0;2.8
15;Positie: Thuiswonend kind (meerderjarig);2011;41540.0;3.1
16;Positie: Thuiswonend kind (meerderjarig);2012;38660.0;3.3
17;Positie: Thuiswonend kind (meerderjarig);2013;37290.0;3.1
18;Positie: Thuiswonend kind (meerderjarig);2014;39360.0;3.3
19;Positie: Thuiswonend kind (meerderjarig);2015;36600.0;3.0
20;Positie: Thuiswonend kind (meerderjarig);2016;32620.0;2.6
21;Positie: Thuiswonend kind (meerderjarig);2017;30480.0;2.4
22;Positie: Thuiswonend kind (meerderjarig);2018;28430.0;2.1
23;Positie: Thuiswonend kind (meerderjarig);2019;27290.0;2.0
24;Positie: Thuiswonend kind (meerderjarig);2020;25660.0;1.8
25;Positie: Thuiswonend kind (meerderjarig);2021;24070.0;1.7
26;Positie: Thuiswonend kind (meerderjarig);2022;24840.0;1.7
27;Positie: Thuiswonend kind (meerderjarig);2023;26930.0;1.9
28;Positie: Alleenstaande;2010;62060.0;2.4
29;Positie: Alleenstaande;2011;70460.0;2.6
30;Positie: Alleenstaande;2012;76240.0;2.7
31;Positie: Alleenstaande;2013;81010.0;2.9
32;Positie: Alleenstaande;2014;87920.0;3.1
33;Positie: Alleenstaande;2015;84440.0;2.9
34;Positie: Alleenstaande;2016;74530.0;2.5
35;Positie: Alleenstaande;2017;68260.0;2.3
36;Positie: Alleenstaande;2018;60280.0;2.0
37;Positie: Alleenstaande;2019;55250.0;1.8
38;Positie: Alleenstaande;2020;50910.0;1.6
39;Positie: Alleenstaande;2021;47460.0;1.5
40;Positie: Alleenstaande;2022;46750.0;1.4
41;Positie: Alleenstaande;2023;48270.0;1.4
42;Positie:Partner ongehuwd paar, geen kind;2010;20800.0;2.1
43;Positie:Partner ongehuwd paar, geen kind;2011;20600.0;2.1
44;Positie:Partner ongehuwd paar, geen kind;2012;23430.0;2.3
45;Positie:Partner ongehuwd paar, geen kind;2013;25160.0;2.4
46;Positie:Partner ongehuwd paar, geen kind;2014;26750.0;2.5
47;Positie:Partner ongehuwd paar, geen kind;2015;24430.0;2.2
48;Positie:Partner ongehuwd paar, geen kind;2016;21510.0;2.0
49;Positie:Partner ongehuwd paar, geen kind;2017;19640.0;1.7
50;Positie:Partner ongehuwd paar, geen kind;2018;17650.0;1.5
51;Positie:Partner ongehuwd paar, geen kind;2019;16300.0;1.4
52;Positie:Partner ongehuwd paar, geen kind;2020;15430.0;1.2
