ID;Geslacht;Leeftijd;TypeInstelling;RegioS;Perioden;AantalUltimoVerslagjaar_1;PercentageUltimoVerslagjaar_2;AantalInVerslagjaar_3;PercentageInVerslagjaar_4;OpnamedagenInVerslagjaar_5
0;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Nederland;2004;227900;1.79;310605.0;2.44;83948.0
1;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Nederland;2005;230160;1.8;316285.0;2.48;84381.0
2;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Nederland;2006;232640;1.82;321735.0;2.51;85753.0
3;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Nederland;2007;238890;1.86;;;
4;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Nederland;2008;239095;1.84;334405.0;2.59;87442.0
5;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Nederland;2009;246275;1.88;342425.0;2.63;89080.0
6;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Groningen (PV);2004;8510;1.85;10945.0;2.37;3064.0
7;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Groningen (PV);2005;8940;1.94;11915.0;2.58;3292.0
8;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Groningen (PV);2006;8940;1.94;12265.0;2.66;3428.0
9;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Groningen (PV);2007;9060;1.97;;;
10;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Groningen (PV);2008;9125;1.97;12880.0;2.78;3323.0
11;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Groningen (PV);2009;9350;2.01;13180.0;2.83;3403.0
12;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Friesland (PV);2004;9420;1.89;12825.0;2.56;3452.0
13;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Friesland (PV);2005;9635;1.94;13075.0;2.61;3485.0
14;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Friesland (PV);2006;9635;1.94;13545.0;2.7;3488.0
15;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Friesland (PV);2007;9610;1.92;;;
16;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Friesland (PV);2008;9785;1.95;13630.0;2.7;3548.0
17;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Friesland (PV);2009;10065;1.99;14235.0;2.8;3634.0
18;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Drenthe (PV);2004;8770;2.33;11525.0;3.04;3184.0
19;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Drenthe (PV);2005;8950;2.37;11915.0;3.14;3231.0
20;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Drenthe (PV);2006;8985;2.37;11975.0;3.14;3269.0
21;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Drenthe (PV);2007;8795;2.3;;;
22;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Drenthe (PV);2008;8830;2.3;12205.0;3.17;3217.0
23;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Drenthe (PV);2009;9230;2.39;12445.0;3.21;3291.0
24;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Overijssel (PV);2004;14555;1.71;20005.0;2.34;5526.0
25;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Overijssel (PV);2005;15030;1.76;20320.0;2.37;5423.0
26;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Overijssel (PV);2006;15380;1.79;21580.0;2.5;5658.0
27;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Overijssel (PV);2007;15925;1.85;;;
28;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Overijssel (PV);2008;16175;1.86;22675.0;2.61;5849.0
29;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Overijssel (PV);2009;16750;1.91;23415.0;2.67;6054.0
30;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Flevoland (PV);2004;2605;0.98;3635.0;1.38;929.0
31;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Flevoland (PV);2005;2720;1.01;3880.0;1.47;975.0
32;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Flevoland (PV);2006;2785;1.02;4030.0;1.48;1022.0
33;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Flevoland (PV);2007;2830;1.02;;;
34;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Flevoland (PV);2008;2860;1.01;4155.0;1.48;1054.0
35;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Flevoland (PV);2009;2995;1.04;4305.0;1.51;1085.0
36;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Gelderland (PV);2004;29875;1.96;39780.0;2.59;11179.0
37;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Gelderland (PV);2005;30140;1.97;40040.0;2.61;11008.0
38;Totaal mannen en vrouwen;Totaal 18 jaar of ouder;Totaal zorg met verblijf;Gelderland (PV);2006;30860;2.01;41555.0;2.69;11273.0
