ID;Geslacht;Geboorteperiode;TotaalAantalRespondenten_1;AlleenGaanWonen_2;TotaalMetAnderenInEenHuis_3;AlleenEenHuishoudenGevoerd_4;MetAnderenEenHuishoudenGevoerd_5;SamenwonenOfTrouwen_6;AltijdThuisGewoond_7
0;Mannen;Geboorteperiode 1945-1949;659       ;17.0;20.0;7.0;13.0;63.0;0.0
1;Mannen;Geboorteperiode 1950-1954;653       ;19.0;23.0;10.0;13.0;57.0;1.0
2;Mannen;Geboorteperiode 1955-1959;696       ;23.0;27.0;11.0;16.0;47.0;3.0
3;Mannen;Geboorteperiode 1960-1964;755       ;27.0;23.0;8.0;15.0;47.0;3.0
4;Mannen;Geboorteperiode 1965-1969;          ;;;;;;
5;Vrouwen;Geboorteperiode 1945-1949;761       ;12.0;24.0;10.0;14.0;64.0;0.0
6;Vrouwen;Geboorteperiode 1950-1954;755       ;15.0;25.0;10.0;15.0;60.0;0.0
7;Vrouwen;Geboorteperiode 1955-1959;808       ;16.0;28.0;14.0;14.0;55.0;0.0
8;Vrouwen;Geboorteperiode 1960-1964;869       ;18.0;28.0;15.0;13.0;53.0;1.0
9;Vrouwen;Geboorteperiode 1965-1969;861       ;18.0;31.0;16.0;15.0;49.0;2.0
