ID;BedrijfstakkenBranchesSBI2008;Perioden;ArbeidskostenPerGewerktUur_1;ArbeidskostenPerVoltijdeenheid_2;TotaalOpbouwArbeidskosten_3;Lonen_4;DirectLoonEnBijzondereBeloningen_5;SocialePremies_6;OverigeKosten_7
0;A-U Alle economische activiteiten;2008;30.08;50.8;100;76.8;66.6;20.1;3.1
1;A-U Alle economische activiteiten;2009;30.86;52.7;100;76.9;66.6;20.2;2.9
2;A-U Alle economische activiteiten;2010;31.57;53.6;100;76.8;66.5;20.5;2.7
3;A-U Alle economische activiteiten;2011;32.19;55.2;100;76.9;66.5;20.6;2.6
4;A-U Alle economische activiteiten;2012;33.14;56.6;100;76.4;66.2;21.2;2.4
5;A-F Landbouw en nijverheid;2008;29.68;52.2;100;77.1;66.8;20.8;2.0
6;A-F Landbouw en nijverheid;2009;30.3;53.6;100;77.3;66.9;20.7;1.9
7;A-F Landbouw en nijverheid;2010;30.96;54.5;100;77.1;66.7;21.1;1.8
8;A-F Landbouw en nijverheid;2011;31.9;56.6;100;76.9;66.5;21.4;1.7
9;A-F Landbouw en nijverheid;2012;32.85;58.0;100;76.5;66.3;21.8;1.7
10;A Landbouw, bosbouw en visserij;2008;20.14;35.2;100;79.8;69.3;19.5;0.7
11;A Landbouw, bosbouw en visserij;2009;20.69;36.8;100;79.5;67.9;19.8;0.7
12;A Landbouw, bosbouw en visserij;2010;20.88;37.1;100;79.3;67.3;19.9;0.7
13;A Landbouw, bosbouw en visserij;2011;21.24;38.5;100;79.2;66.3;20.0;0.8
14;A Landbouw, bosbouw en visserij;2012;21.6;39.5;100;79.0;65.4;20.2;0.8
15;B-F Nijverheid en energie;2008;30.27;53.3;100;77.0;66.7;20.9;2.1
16;B-F Nijverheid en energie;2009;30.87;54.7;100;77.3;66.9;20.7;2.0
17;B-F Nijverheid en energie;2010;31.6;55.6;100;77.0;66.7;21.1;1.9
18;B-F Nijverheid en energie;2011;32.61;57.8;100;76.8;66.5;21.4;1.8
19;B-F Nijverheid en energie;2012;33.63;59.2;100;76.4;66.3;21.9;1.7
20;B-E Nijverheid (geen bouw) en energie;2008;30.51;53.4;100;76.9;67.2;21.1;2.0
21;B-E Nijverheid (geen bouw) en energie;2009;30.93;54.3;100;77.1;67.4;21.0;1.9
22;B-E Nijverheid (geen bouw) en energie;2010;31.69;55.5;100;76.9;67.3;21.3;1.8
23;B-E Nijverheid (geen bouw) en energie;2011;33.02;58.2;100;76.7;67.1;21.6;1.7
24;B-E Nijverheid (geen bouw) en energie;2012;33.98;59.5;100;76.4;66.9;22.0;1.6
25;B Delfstoffenwinning;2008;56.06;101.3;100;79.3;70.1;17.5;3.2
26;B Delfstoffenwinning;2009;55.64;96.6;100;79.6;70.9;17.5;2.9
27;B Delfstoffenwinning;2010;57.41;102.7;100;80.1;72.4;17.2;2.7
28;B Delfstoffenwinning;2011;62.01;120.1;100;81.0;74.8;16.5;2.5
29;B Delfstoffenwinning;2012;58.2;105.3;100;80.8;74.6;17.1;2.1
30;C Industrie;2008;30.01;52.3;100;77.0;67.4;21.1;1.8
31;C Industrie;2009;30.4;53.2;100;77.2;67.5;21.1;1.7
32;C Industrie;2010;31.06;54.3;100;77.1;67.3;21.3;1.6
33;C Industrie;2011;32.24;56.6;100;76.8;67.1;21.6;1.6
34;C Industrie;2012;33.16;57.9;100;76.5;66.9;22.0;1.5
35;D Energievoorziening;2008;42.21;72.1;100;76.0;65.9;20.4;3.6
36;D Energievoorziening;2009;44.37;76.6;100;75.5;65.9;20.9;3.6
37;D Energievoorziening;2010;44.46;76.5;100;75.3;66.3;21.1;3.6
38;D Energievoorziening;2011;46.71;81.0;100;75.0;66.4;21.4;3.6
