ID;TypeZelfstandige;BedrijfstakkenBranchesSBI2008;RegioS;Perioden;Zelfstandigen_1;GemiddeldPersoonlijkInkomen_2;MediaanPersoonlijkInkomen_3;GemiddeldInkomenAlsZelfstandige_4;MediaanInkomenAlsZelfstandige_5;GemiddeldGestandaardiseerdInkomen_6;MediaanGestandaardiseerdInkomen_7;ZelfstandigenMetBedrijfsvermogen_8;MediaanVermogen_9;MediaanBedrijfsvermogen_10;Zelfstandigen_11;GemiddeldPersoonlijkInkomen_12;MediaanPersoonlijkInkomen_13;GemiddeldInkomenAlsZelfstandige_14;MediaanInkomenAlsZelfstandige_15;GemiddeldGestandaardiseerdInkomen_16;MediaanGestandaardiseerdInkomen_17;ZelfstandigenMetBedrijfsvermogen_18;MediaanVermogen_19;MediaanBedrijfsvermogen_20
0;Zelfstandige;A-U Alle economische activiteiten;Nederland;2007;1005.0;38.0;28.4;36.8;26.9;32.8;26.5;734.8;176.9;30.3;1522.2;37.6;28.8;25.5;12.1;31.4;25.8;904.4;157.6;25.3
1;Zelfstandige;A-U Alle economische activiteiten;Nederland;2008;1054.2;38.7;29.0;37.8;27.6;31.4;26.9;669.0;185.3;34.3;1603.9;38.3;29.4;26.2;12.2;30.5;26.3;825.4;164.4;28.5
2;Zelfstandige;A-U Alle economische activiteiten;Nederland;2009;1076.7;36.6;26.6;35.7;25.5;29.8;25.9;770.6;167.2;31.8;1654.2;36.9;28.1;24.5;11.1;29.4;25.8;958.6;148.2;26.4
3;Zelfstandige;A-U Alle economische activiteiten;Nederland;2010;1056.4;38.3;28.2;37.2;26.9;30.7;26.3;810.7;149.4;29.1;1645.5;38.2;29.3;25.2;12.3;30.0;26.0;1013.4;130.4;24.0
4;Zelfstandige;A-U Alle economische activiteiten;Nederland;2011;1093.1;38.8;29.4;38.3;28.2;34.9;29.6;894.9;173.3;27.8;1679.1;38.9;30.3;26.2;13.1;33.9;29.1;1123.0;153.2;22.7
5;Zelfstandige;A-U Alle economische activiteiten;Nederland;2012;1106.2;38.1;28.2;37.5;27.1;34.7;29.3;913.9;149.0;27.2;1695.5;38.6;29.7;25.8;12.8;33.8;28.9;1149.5;130.7;22.2
6;Zelfstandige;A-U Alle economische activiteiten;Nederland;2013;1120.2;37.9;27.8;36.9;26.5;33.9;29.0;926.3;116.9;26.2;1710.5;38.6;29.3;25.6;12.8;33.4;28.9;1166.8;100.2;21.5
7;Zelfstandige;A-U Alle economische activiteiten;Nederland;2014;1149.7;39.1;28.9;38.1;27.5;38.5;30.4;948.7;112.5;25.7;1733.1;39.8;30.1;26.7;13.9;37.3;30.1;1192.8;97.7;21.2
8;Zelfstandige;A-U Alle economische activiteiten;Nederland;2015;1180.0;39.8;29.9;38.8;28.4;35.7;30.9;980.7;115.5;25.1;1763.6;40.3;30.7;27.4;14.6;35.1;30.6;1235.3;102.0;20.7
9;Zelfstandige;A-U Alle economische activiteiten;Nederland;2016;1208.4;41.5;31.6;40.5;30.0;38.3;32.8;1012.8;123.6;26.9;1791.0;41.6;32.0;28.8;15.7;37.4;32.4;1274.4;109.8;22.3
10;Zelfstandige;A-U Alle economische activiteiten;Nederland;2017;1223.5;43.6;33.2;42.1;31.6;40.2;34.2;1020.9;137.5;27.5;1841.8;45.3;33.5;29.9;16.6;39.9;33.6;1297.0;124.8;23.3
11;Zelfstandige;A-U Alle economische activiteiten;Nederland;2018;1265.1;44.1;34.0;42.8;32.4;40.5;34.8;1076.2;177.9;30.9;1903.9;43.8;34.1;30.2;16.7;39.4;34.2;1356.8;157.4;25.4
