ID;CaribbeanNetherlands;Periods;GDPValueAtCurrentPrices_1;GDPValueAtPricesOf2012_2;GDPValueChanges_3;GDPVolumeChanges_4
0;Caribbean Netherlands;2012;515;515;;
1;Caribbean Netherlands;2013;536;527;4.1;2.3
2;Caribbean Netherlands;2014;549;526;2.3;-0.2
3;Caribbean Netherlands;2015;564;543;2.7;3.2
4;Caribbean Netherlands;2016;582;551;3.2;1.4
5;Caribbean Netherlands;2017;583;551;0.3;0.1
6;Bonaire;2012;372;372;;
7;Bonaire;2013;387;381;4.1;2.4
8;Bonaire;2014;403;387;4.1;1.6
9;Bonaire;2015;415;400;3.0;3.4
10;Bonaire;2016;434;409;4.6;2.2
11;Bonaire;2017;428;404;-1.4;-1.3
12;St. Eustatius;2012;101;101;;
13;St. Eustatius;2013;104;102;3.1;0.8
14;St. Eustatius;2014;100;95;-4.4;-6.8
15;St. Eustatius;2015;102;98;2.1;3.2
16;St. Eustatius;2016;100;97;-2.1;-1.0
17;St. Eustatius;2017;108;104;8.6;6.6
18;Saba;2012;42;42;;
19;Saba;2013;45;45;6.9;5.5
20;Saba;2014;46;45;1.8;-0.2
21;Saba;2015;47;45;1.6;1.2
22;Saba;2016;48;45;2.6;-0.5
23;Saba;2017;47;44;-1.8;-1.4
