ID;Geslacht;Leeftijd;Werkzaam;Migratieachtergrond;Geboortegeneratie;PersoonMetUitkering_1;PersoonHeeftVoortdurendUitkering_2;TotaalGedeeltelijk_3;k_3Jaar_4;k_2Jaar3Jaar_5;k_1Jaar2Jaar_6;k_1Jaar_7;PersoonHeeftGeenUitkering_8
0;Totaal mannen en vrouwen;15 jaar;Totaal;Totaal;1935 tot 1940;;;;;;;;
1;Totaal mannen en vrouwen;15 jaar;Totaal;Totaal;1940 tot 1945;;;;;;;;
2;Totaal mannen en vrouwen;15 jaar;Totaal;Totaal;1945 tot 1950;;;;;;;;
3;Totaal mannen en vrouwen;15 jaar;Totaal;Totaal;1950 tot 1955;;;;;;;;
4;Totaal mannen en vrouwen;15 jaar;Totaal;Totaal;1955 tot 1960;;;;;;;;
5;Totaal mannen en vrouwen;15 jaar;Totaal;Totaal;1960 tot 1965;;;;;;;;
6;Totaal mannen en vrouwen;15 jaar;Totaal;Totaal;1965 tot 1970;;;;;;;;
7;Totaal mannen en vrouwen;15 jaar;Totaal;Totaal;1970 tot 1975;;;;;;;;
8;Totaal mannen en vrouwen;15 jaar;Totaal;Totaal;1975 tot 1980;;;;;;;;
9;Totaal mannen en vrouwen;15 jaar;Totaal;Totaal;1980 tot 1985;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10;Totaal mannen en vrouwen;15 jaar;Totaal;Totaal;1985 tot 1990;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0
11;Totaal mannen en vrouwen;15 jaar;Totaal;Totaal;1990 tot 1995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0
12;Totaal mannen en vrouwen;15 jaar;Totaal;Totaal;1995 tot 2000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0
13;Totaal mannen en vrouwen;15 jaar;Totaal;Nederlandse achtergrond;1935 tot 1940;;;;;;;;
14;Totaal mannen en vrouwen;15 jaar;Totaal;Nederlandse achtergrond;1940 tot 1945;;;;;;;;
15;Totaal mannen en vrouwen;15 jaar;Totaal;Nederlandse achtergrond;1945 tot 1950;;;;;;;;
16;Totaal mannen en vrouwen;15 jaar;Totaal;Nederlandse achtergrond;1950 tot 1955;;;;;;;;
