ID;LocalIntergovOrganisationsTasks;Periods;Revenues_1;Expenditures_2;Balance_3
0;Total local intergov.organisations tasks;2018;11207;11207;0
1;Total local intergov.organisations tasks;2019;11081;11081;0
2;Total local intergov.organisations tasks;2020;12286;12286;0
3;Total local intergov.organisations tasks;2021;13575;13575;0
4;Total civil administration and civil s..;2018;2001;2399;-397
5;Total civil administration and civil s..;2019;1859;2315;-456
6;Total civil administration and civil s..;2020;1918;2516;-597
7;Total civil administration and civil s..;2021;2235;2861;-625
8;Administration and civil affairs;2018;268;262;6
9;Administration and civil affairs;2019;179;180;-1
10;Administration and civil affairs;2020;180;178;1
11;Administration and civil affairs;2021;115;118;-3
12;Overhead;2018;1098;1509;-411
13;Overhead;2019;1091;1594;-504
14;Overhead;2020;1197;1708;-512
15;Overhead;2021;1410;2109;-699
16;Taxes;2018;98;158;-60
17;Taxes;2019;100;162;-62
18;Taxes;2020;108;146;-38
19;Taxes;2021;71;144;-74
20;General payments and other payments Ge..;2018;4;1;3
21;General payments and other payments Ge..;2019;0;0;0
22;General payments and other payments Ge..;2020;0;1;-1
23;General payments and other payments Ge..;2021;2;2;0
24;Other civil administration and civil s..;2018;308;117;191
25;Other civil administration and civil s..;2019;293;112;181
26;Other civil administration and civil s..;2020;260;118;142
27;Other civil administration and civil s..;2021;357;143;214
28;Deposit into/withdrawal from reserves;2018;193;179;14
29;Deposit into/withdrawal from reserves;2019;158;138;20
30;Deposit into/withdrawal from reserves;2020;160;171;-10
31;Deposit into/withdrawal from reserves;2021;252;183;69
32;Balance of the accounts;2018;33;172;-139
33;Balance of the accounts;2019;37;128;-91
34;Balance of the accounts;2020;15;194;-179
35;Balance of the accounts;2021;28;160;-132
36;Total public safety;2018;1264;1078;186
37;Total public safety;2019;1347;1082;265
38;Total public safety;2020;1392;1126;266
39;Total public safety;2021;1511;1234;276
40;Public safety;2018;1264;1078;186
41;Public safety;2019;1347;1082;265
42;Public safety;2020;1392;1126;266
43;Public safety;2021;1511;1234;276
44;Total traffic, transportation and wate..;2018;1368;1350;17
45;Total traffic, transportation and wate..;2019;1443;1435;7
46;Total traffic, transportation and wate..;2020;1583;1573;11
47;Total traffic, transportation and wate..;2021;1459;1440;19
48;Traffic and parking;2018;325;325;0
49;Traffic and parking;2019;528;485;43
50;Traffic and parking;2020;455;458;-2
51;Traffic and parking;2021;134;343;-209
52;Ports and waterways;2018;124;113;11
53;Ports and waterways;2019;119;106;13
54;Ports and waterways;2020;121;107;14
55;Ports and waterways;2021;50;43;7
56;Public transport;2018;918;912;6
57;Public transport;2019;796;845;-48
58;Public transport;2020;1007;1008;-1
59;Public transport;2021;1275;1054;220
60;Total economy;2018;168;181;-13
61;Total economy;2019;185;188;-4
62;Total economy;2020;232;223;9
63;Total economy;2021;218;210;7
64;Economic policy and support;2018;82;107;-25
65;Economic policy and support;2019;95;114;-18
66;Economic policy and support;2020;104;104;0
67;Economic policy and support;2021;76;86;-10
68;Physical business infrastructure;2018;85;74;12
69;Physical business infrastructure;2019;89;74;15
70;Physical business infrastructure;2020;128;120;8
71;Physical business infrastructure;2021;142;125;17
72;Total education;2018;55;57;-2
73;Total education;2019;49;51;-2
74;Total education;2020;57;57;0
75;Total education;2021;60;59;1
76;Education excluding accommodation;2018;51;52;-1
77;Education excluding accommodation;2019;47;49;-2
78;Education excluding accommodation;2020;54;54;0
79;Education excluding accommodation;2021;59;56;2
80;Educational accommodation;2018;5;6;-1
81;Educational accommodation;2019;1;2;0
82;Educational accommodation;2020;2;3;0
83;Educational accommodation;2021;1;2;-1
84;Total sports, culture and recreation;2018;137;156;-19
85;Total sports, culture and recreation;2019;147;159;-13
86;Total sports, culture and recreation;2020;168;157;11
87;Total sports, culture and recreation;2021;222;211;11
88;Sports policy and activation policy;2018;1;2;-1
89;Sports policy and activation policy;2019;1;2;-1
90;Sports policy and activation policy;2020;1;1;0
91;Sports policy and activation policy;2021;2;1;0
92;Sports accommodations;2018;3;7;-4
93;Sports accommodations;2019;4;5;-1
94;Sports accommodations;2020;6;6;0
95;Sports accommodations;2021;6;6;0
96;Cultural presentation, production and ..;2018;1;6;-5
97;Cultural presentation, production and ..;2019;1;5;-4
98;Cultural presentation, production and ..;2020;2;6;-4
99;Cultural presentation, production and ..;2021;6;5;1
100;Museums;2018;73;75;-2
101;Museums;2019;73;74;-2
102;Museums;2020;75;74;1
103;Museums;2021;76;63;13
104;Cultural heritage;2018;1;1;-1
105;Cultural heritage;2019;1;1;-1
106;Cultural heritage;2020;1;1;0
107;Cultural heritage;2021;1;2;-1
108;Media;2018;5;1;3
109;Media;2019;4;1;3
110;Media;2020;5;1;3
111;Media;2021;0;0;0
112;Public parks and (open-air) recreation;2018;53;63;-10
113;Public parks and (open-air) recreation;2019;63;71;-8
