ID;SoortGezin;AantalKinderen;Regio;Gezinnen_1
91;Totaal aantal gezinnen;Totaal aantal gezinnen;Noord-Holland, gem. 2001 - 5000 inw.;121
92;Totaal aantal gezinnen;Totaal aantal gezinnen;Noord-Holland, gem. 1001 - 2000 inw.;9
93;Totaal aantal gezinnen;Totaal aantal gezinnen;Noord-Holland, gem. 501 - 1000 inw.;6
94;Totaal aantal gezinnen;Totaal aantal gezinnen;Noord-Holland, gem. 500 en minder inw.;5
95;Totaal aantal gezinnen;Totaal aantal gezinnen;Zuid-Holland, gem. 100001 en meer inw.;2732
96;Totaal aantal gezinnen;Totaal aantal gezinnen;'s-Gravenhage;105
97;Totaal aantal gezinnen;Totaal aantal gezinnen;Rotterdam;2627
98;Totaal aantal gezinnen;Totaal aantal gezinnen;Zuid-Holland, gem. 50001 - 100000 inw.;359
99;Totaal aantal gezinnen;Totaal aantal gezinnen;Delft;12
100;Totaal aantal gezinnen;Totaal aantal gezinnen;Dordrecht;278
101;Totaal aantal gezinnen;Totaal aantal gezinnen;Leiden;39
102;Totaal aantal gezinnen;Totaal aantal gezinnen;Schiedam;30
103;Totaal aantal gezinnen;Totaal aantal gezinnen;Zuid-Holland, gem. 20001 - 50000 inw.;44
104;Totaal aantal gezinnen;Totaal aantal gezinnen;Gouda;32
105;Totaal aantal gezinnen;Totaal aantal gezinnen;Vlaardingen;12
106;Totaal aantal gezinnen;Totaal aantal gezinnen;Zuid-Holland, gem. 10001 - 20000 inw.;179
107;Totaal aantal gezinnen;Totaal aantal gezinnen;Zuid-Holland, gem. 5001 - 10000 inw.;209
108;Totaal aantal gezinnen;Totaal aantal gezinnen;Zuid-Holland, gem. 2001 - 5000 inw.;389
109;Totaal aantal gezinnen;Totaal aantal gezinnen;Zuid-Holland, gem. 1001 - 2000 inw.;70
110;Totaal aantal gezinnen;Totaal aantal gezinnen;Zuid-Holland, gem. 501 - 1000 inw.;40
111;Totaal aantal gezinnen;Totaal aantal gezinnen;Zuid-Holland, gem. 500 en minder inw.;2
112;Totaal aantal gezinnen;Totaal aantal gezinnen;Zeeland, gem. 20001 - 50000 inw.;1
113;Totaal aantal gezinnen;Totaal aantal gezinnen;Vlissingen;1
114;Totaal aantal gezinnen;Totaal aantal gezinnen;Zeeland, gem. 10001 - 20000 inw.;108
115;Totaal aantal gezinnen;Totaal aantal gezinnen;Zeeland, gem. 5001 - 10000 inw.;27
116;Totaal aantal gezinnen;Totaal aantal gezinnen;Zeeland, gem. 2001 - 5000 inw.;214
117;Totaal aantal gezinnen;Totaal aantal gezinnen;Zeeland, gem. 1001 - 2000 inw.;45
118;Totaal aantal gezinnen;Totaal aantal gezinnen;Zeeland, gem. 501 - 1000 inw.;8
119;Totaal aantal gezinnen;Totaal aantal gezinnen;Zeeland, gem. 500 en minder inw.;0
120;Totaal aantal gezinnen;Totaal aantal gezinnen;Noord-Brabant, gem. 50001 - 100000 inw.;75
121;Totaal aantal gezinnen;Totaal aantal gezinnen;Eindhoven;54
122;Totaal aantal gezinnen;Totaal aantal gezinnen;Tilburg;21
123;Totaal aantal gezinnen;Totaal aantal gezinnen;Noord-Brabant, gem. 20001 - 50000 inw.;350
124;Totaal aantal gezinnen;Totaal aantal gezinnen;Bergen op Zoom;68
125;Totaal aantal gezinnen;Totaal aantal gezinnen;Breda;47
126;Totaal aantal gezinnen;Totaal aantal gezinnen;Helmond;26
127;Totaal aantal gezinnen;Totaal aantal gezinnen;'s-Hertogenbosch;153
128;Totaal aantal gezinnen;Totaal aantal gezinnen;Roosendaal en Nispen;56
129;Totaal aantal gezinnen;Totaal aantal gezinnen;Noord-Brabant, gem. 10001 - 20000 inw.;90
130;Totaal aantal gezinnen;Totaal aantal gezinnen;Noord-Brabant, gem. 5001 - 10000 inw.;314
131;Totaal aantal gezinnen;Totaal aantal gezinnen;Noord-Brabant, gem. 2001 - 5000 inw.;434
132;Totaal aantal gezinnen;Totaal aantal gezinnen;Noord-Brabant, gem. 1001 - 2000 inw.;336
133;Totaal aantal gezinnen;Totaal aantal gezinnen;Noord-Brabant, gem. 501 - 1000 inw.;5
134;Totaal aantal gezinnen;Totaal aantal gezinnen;Limburg, gem. 50001 - 100000 inw.;32
135;Totaal aantal gezinnen;Totaal aantal gezinnen;Maastricht;32
136;Totaal aantal gezinnen;Totaal aantal gezinnen;Limburg, gem. 20001 - 50000 inw.;106
137;Totaal aantal gezinnen;Totaal aantal gezinnen;Heerlen;53
138;Totaal aantal gezinnen;Totaal aantal gezinnen;Kerkrade;10
139;Totaal aantal gezinnen;Totaal aantal gezinnen;Venlo;43
140;Totaal aantal gezinnen;Totaal aantal gezinnen;Limburg, gem. 10001 - 20000 inw.;146
141;Totaal aantal gezinnen;Totaal aantal gezinnen;Limburg, gem. 5001 - 10000 inw.;13
142;Totaal aantal gezinnen;Totaal aantal gezinnen;Limburg, gem. 2001 - 5000 inw.;13
143;Totaal aantal gezinnen;Totaal aantal gezinnen;Limburg, gem. 1001 - 2000 inw.;31
144;Totaal aantal gezinnen;Totaal aantal gezinnen;Limburg, gem. 501 - 1000 inw.;1
145;Totaal aantal gezinnen;Totaal aantal gezinnen;Limburg, gem. 500 en minder inw.;0
146;Totaal aantal gezinnen;Gezinnen zonder kinderen;Nederland;3309
147;Totaal aantal gezinnen;Gezinnen zonder kinderen;Groningen (provincie);422
148;Totaal aantal gezinnen;Gezinnen zonder kinderen;Friesland;361
149;Totaal aantal gezinnen;Gezinnen zonder kinderen;Drenthe;109
150;Totaal aantal gezinnen;Gezinnen zonder kinderen;Overijssel;191
151;Totaal aantal gezinnen;Gezinnen zonder kinderen;Gelderland;279
152;Totaal aantal gezinnen;Gezinnen zonder kinderen;Utrecht (provincie);60
153;Totaal aantal gezinnen;Gezinnen zonder kinderen;Noord-Holland;466
154;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zuid-Holland;959
155;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zeeland;95
156;Totaal aantal gezinnen;Gezinnen zonder kinderen;Noord-Brabant;307
157;Totaal aantal gezinnen;Gezinnen zonder kinderen;Limburg;60
158;Totaal aantal gezinnen;Gezinnen zonder kinderen;Gemeenten met meer dan 100000 inwoners;1228
159;Totaal aantal gezinnen;Gezinnen zonder kinderen;Gemeenten met 50001 - 100000 inwoners;174
160;Totaal aantal gezinnen;Gezinnen zonder kinderen;Gemeenten met 20001 - 50000 inwoners;336
161;Totaal aantal gezinnen;Gezinnen zonder kinderen;Gemeenten met 10001 - 20000 inwoners;508
162;Totaal aantal gezinnen;Gezinnen zonder kinderen;Gemeenten met 5001 - 10000 inwoners;370
163;Totaal aantal gezinnen;Gezinnen zonder kinderen;Gemeenten met 2001 - 5000 inwoners;519
164;Totaal aantal gezinnen;Gezinnen zonder kinderen;Gemeenten met 1001 - 2000 inwoners;144
165;Totaal aantal gezinnen;Gezinnen zonder kinderen;Gemeenten met 501 - 1000 inwoners;27
166;Totaal aantal gezinnen;Gezinnen zonder kinderen;Gemeenten met 500 of minder inwoners;3
167;Totaal aantal gezinnen;Gezinnen zonder kinderen;Groningen, gem. 100001 en meer inw.;155
168;Totaal aantal gezinnen;Gezinnen zonder kinderen;Groningen;155
169;Totaal aantal gezinnen;Gezinnen zonder kinderen;Groningen, gem. 10001 - 20000 inw.;128
170;Totaal aantal gezinnen;Gezinnen zonder kinderen;Groningen, gem. 5001 - 10000 inw.;79
171;Totaal aantal gezinnen;Gezinnen zonder kinderen;Groningen, gem. 2001 - 5000 inw.;53
172;Totaal aantal gezinnen;Gezinnen zonder kinderen;Groningen, gem. 1001 - 2000 inw.;7
173;Totaal aantal gezinnen;Gezinnen zonder kinderen;Friesland, gem. 20001 - 50000 inw.;84
174;Totaal aantal gezinnen;Gezinnen zonder kinderen;Leeuwarden;84
175;Totaal aantal gezinnen;Gezinnen zonder kinderen;Friesland, gem. 10001 - 20000 inw.;162
176;Totaal aantal gezinnen;Gezinnen zonder kinderen;Friesland, gem. 5001 - 10000 inw.;90
177;Totaal aantal gezinnen;Gezinnen zonder kinderen;Friesland, gem. 2001 - 5000 inw.;14
178;Totaal aantal gezinnen;Gezinnen zonder kinderen;Friesland, gem. 1001 - 2000 inw.;1
179;Totaal aantal gezinnen;Gezinnen zonder kinderen;Friesland, gem. 501 - 1000 inw.;10
180;Totaal aantal gezinnen;Gezinnen zonder kinderen;Drenthe, gem. 20001 - 50000 inw.;11
181;Totaal aantal gezinnen;Gezinnen zonder kinderen;Emmen;11
182;Totaal aantal gezinnen;Gezinnen zonder kinderen;Drenthe, gem. 10001 - 20000 inw.;77
183;Totaal aantal gezinnen;Gezinnen zonder kinderen;Drenthe, gem. 5001 - 10000 inw.;15
184;Totaal aantal gezinnen;Gezinnen zonder kinderen;Drenthe, gem. 2001 - 5000 inw.;6
185;Totaal aantal gezinnen;Gezinnen zonder kinderen;Drenthe, gem. 1001 - 2000 inw.;0
186;Totaal aantal gezinnen;Gezinnen zonder kinderen;Overijssel, gem. 50001 - 100000 inw.;20
187;Totaal aantal gezinnen;Gezinnen zonder kinderen;Enschede;20
188;Totaal aantal gezinnen;Gezinnen zonder kinderen;Overijssel, gem. 20001 - 50000 inw.;86
189;Totaal aantal gezinnen;Gezinnen zonder kinderen;Almelo;8
190;Totaal aantal gezinnen;Gezinnen zonder kinderen;Deventer;21
191;Totaal aantal gezinnen;Gezinnen zonder kinderen;Hengelo (O.);4
192;Totaal aantal gezinnen;Gezinnen zonder kinderen;Lonneker;1
193;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zwolle;52
194;Totaal aantal gezinnen;Gezinnen zonder kinderen;Overijssel, gem. 10001 - 20000 inw.;23
195;Totaal aantal gezinnen;Gezinnen zonder kinderen;Overijssel, gem. 5001 - 10000 inw.;0
196;Totaal aantal gezinnen;Gezinnen zonder kinderen;Overijssel, gem. 2001 - 5000 inw.;59
197;Totaal aantal gezinnen;Gezinnen zonder kinderen;Overijssel, gem. 1001 - 2000 inw.;0
198;Totaal aantal gezinnen;Gezinnen zonder kinderen;Overijssel, gem. 501 - 1000 inw.;3
199;Totaal aantal gezinnen;Gezinnen zonder kinderen;Gelderland, gem. 50001 - 100000 inw.;43
200;Totaal aantal gezinnen;Gezinnen zonder kinderen;Apeldoorn;6
201;Totaal aantal gezinnen;Gezinnen zonder kinderen;Arnhem;19
202;Totaal aantal gezinnen;Gezinnen zonder kinderen;Nijmegen;18
203;Totaal aantal gezinnen;Gezinnen zonder kinderen;Gelderland, gem. 20001 - 50000 inw.;2
204;Totaal aantal gezinnen;Gezinnen zonder kinderen;Ede;0
205;Totaal aantal gezinnen;Gezinnen zonder kinderen;Rheden;2
206;Totaal aantal gezinnen;Gezinnen zonder kinderen;Gelderland, gem. 10001 - 20000 inw.;35
207;Totaal aantal gezinnen;Gezinnen zonder kinderen;Gelderland, gem. 5001 - 10000 inw.;56
208;Totaal aantal gezinnen;Gezinnen zonder kinderen;Gelderland, gem. 2001 - 5000 inw.;115
209;Totaal aantal gezinnen;Gezinnen zonder kinderen;Gelderland, gem. 1001 - 2000 inw.;27
210;Totaal aantal gezinnen;Gezinnen zonder kinderen;Gelderland, gem. 501 - 1000 inw.;1
211;Totaal aantal gezinnen;Gezinnen zonder kinderen;Gelderland, gem. 500 en minder inw.;0
212;Totaal aantal gezinnen;Gezinnen zonder kinderen;Utrecht, gem. 100001 en meer inw.;16
213;Totaal aantal gezinnen;Gezinnen zonder kinderen;Utrecht;16
214;Totaal aantal gezinnen;Gezinnen zonder kinderen;Utrecht, gem. 20001 - 50000 inw.;8
215;Totaal aantal gezinnen;Gezinnen zonder kinderen;Amersfoort;7
216;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zeist;1
217;Totaal aantal gezinnen;Gezinnen zonder kinderen;Utrecht, gem. 10001 - 20000 inw.;1
218;Totaal aantal gezinnen;Gezinnen zonder kinderen;Utrecht, gem. 5001 - 10000 inw.;2
219;Totaal aantal gezinnen;Gezinnen zonder kinderen;Utrecht, gem. 2001 - 5000 inw.;31
220;Totaal aantal gezinnen;Gezinnen zonder kinderen;Utrecht, gem. 1001 - 2000 inw.;0
221;Totaal aantal gezinnen;Gezinnen zonder kinderen;Utrecht, gem. 501 - 1000 inw.;2
222;Totaal aantal gezinnen;Gezinnen zonder kinderen;Utrecht, gem. 500 en minder inw.;0
223;Totaal aantal gezinnen;Gezinnen zonder kinderen;Noord-Holland, gem. 100001 en meer inw.;358
224;Totaal aantal gezinnen;Gezinnen zonder kinderen;Amsterdam;328
225;Totaal aantal gezinnen;Gezinnen zonder kinderen;Haarlem;30
226;Totaal aantal gezinnen;Gezinnen zonder kinderen;Noord-Holland, gem. 50001 - 100000 inw.;3
227;Totaal aantal gezinnen;Gezinnen zonder kinderen;Hilversum;3
228;Totaal aantal gezinnen;Gezinnen zonder kinderen;Noord-Holland, gem. 20001 - 50000 inw.;38
229;Totaal aantal gezinnen;Gezinnen zonder kinderen;Alkmaar;9
230;Totaal aantal gezinnen;Gezinnen zonder kinderen;Bussum;10
231;Totaal aantal gezinnen;Gezinnen zonder kinderen;Haarlemmermeer;3
232;Totaal aantal gezinnen;Gezinnen zonder kinderen;Helder (Den);4
233;Totaal aantal gezinnen;Gezinnen zonder kinderen;Velsen;4
234;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zaandam;8
235;Totaal aantal gezinnen;Gezinnen zonder kinderen;Noord-Holland, gem. 10001 - 20000 inw.;1
236;Totaal aantal gezinnen;Gezinnen zonder kinderen;Noord-Holland, gem. 5001 - 10000 inw.;21
237;Totaal aantal gezinnen;Gezinnen zonder kinderen;Noord-Holland, gem. 2001 - 5000 inw.;37
238;Totaal aantal gezinnen;Gezinnen zonder kinderen;Noord-Holland, gem. 1001 - 2000 inw.;3
239;Totaal aantal gezinnen;Gezinnen zonder kinderen;Noord-Holland, gem. 501 - 1000 inw.;3
240;Totaal aantal gezinnen;Gezinnen zonder kinderen;Noord-Holland, gem. 500 en minder inw.;2
241;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zuid-Holland, gem. 100001 en meer inw.;699
242;Totaal aantal gezinnen;Gezinnen zonder kinderen;'s-Gravenhage;25
243;Totaal aantal gezinnen;Gezinnen zonder kinderen;Rotterdam;674
244;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zuid-Holland, gem. 50001 - 100000 inw.;95
245;Totaal aantal gezinnen;Gezinnen zonder kinderen;Delft;4
246;Totaal aantal gezinnen;Gezinnen zonder kinderen;Dordrecht;79
247;Totaal aantal gezinnen;Gezinnen zonder kinderen;Leiden;8
248;Totaal aantal gezinnen;Gezinnen zonder kinderen;Schiedam;4
249;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zuid-Holland, gem. 20001 - 50000 inw.;13
250;Totaal aantal gezinnen;Gezinnen zonder kinderen;Gouda;9
251;Totaal aantal gezinnen;Gezinnen zonder kinderen;Vlaardingen;4
252;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zuid-Holland, gem. 10001 - 20000 inw.;32
253;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zuid-Holland, gem. 5001 - 10000 inw.;43
254;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zuid-Holland, gem. 2001 - 5000 inw.;56
255;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zuid-Holland, gem. 1001 - 2000 inw.;12
256;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zuid-Holland, gem. 501 - 1000 inw.;8
257;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zuid-Holland, gem. 500 en minder inw.;1
258;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zeeland, gem. 20001 - 50000 inw.;1
259;Totaal aantal gezinnen;Gezinnen zonder kinderen;Vlissingen;1
260;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zeeland, gem. 10001 - 20000 inw.;18
261;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zeeland, gem. 5001 - 10000 inw.;4
262;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zeeland, gem. 2001 - 5000 inw.;59
263;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zeeland, gem. 1001 - 2000 inw.;13
264;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zeeland, gem. 501 - 1000 inw.;0
265;Totaal aantal gezinnen;Gezinnen zonder kinderen;Zeeland, gem. 500 en minder inw.;0
266;Totaal aantal gezinnen;Gezinnen zonder kinderen;Noord-Brabant, gem. 50001 - 100000 inw.;9
267;Totaal aantal gezinnen;Gezinnen zonder kinderen;Eindhoven;7
268;Totaal aantal gezinnen;Gezinnen zonder kinderen;Tilburg;2
269;Totaal aantal gezinnen;Gezinnen zonder kinderen;Noord-Brabant, gem. 20001 - 50000 inw.;70
270;Totaal aantal gezinnen;Gezinnen zonder kinderen;Bergen op Zoom;12
271;Totaal aantal gezinnen;Gezinnen zonder kinderen;Breda;5
272;Totaal aantal gezinnen;Gezinnen zonder kinderen;Helmond;5
273;Totaal aantal gezinnen;Gezinnen zonder kinderen;'s-Hertogenbosch;31
274;Totaal aantal gezinnen;Gezinnen zonder kinderen;Roosendaal en Nispen;17
275;Totaal aantal gezinnen;Gezinnen zonder kinderen;Noord-Brabant, gem. 10001 - 20000 inw.;12
276;Totaal aantal gezinnen;Gezinnen zonder kinderen;Noord-Brabant, gem. 5001 - 10000 inw.;56
277;Totaal aantal gezinnen;Gezinnen zonder kinderen;Noord-Brabant, gem. 2001 - 5000 inw.;87
278;Totaal aantal gezinnen;Gezinnen zonder kinderen;Noord-Brabant, gem. 1001 - 2000 inw.;73
279;Totaal aantal gezinnen;Gezinnen zonder kinderen;Noord-Brabant, gem. 501 - 1000 inw.;0
280;Totaal aantal gezinnen;Gezinnen zonder kinderen;Limburg, gem. 50001 - 100000 inw.;4
281;Totaal aantal gezinnen;Gezinnen zonder kinderen;Maastricht;4
282;Totaal aantal gezinnen;Gezinnen zonder kinderen;Limburg, gem. 20001 - 50000 inw.;23
283;Totaal aantal gezinnen;Gezinnen zonder kinderen;Heerlen;15
284;Totaal aantal gezinnen;Gezinnen zonder kinderen;Kerkrade;2
285;Totaal aantal gezinnen;Gezinnen zonder kinderen;Venlo;6
286;Totaal aantal gezinnen;Gezinnen zonder kinderen;Limburg, gem. 10001 - 20000 inw.;19
287;Totaal aantal gezinnen;Gezinnen zonder kinderen;Limburg, gem. 5001 - 10000 inw.;4
288;Totaal aantal gezinnen;Gezinnen zonder kinderen;Limburg, gem. 2001 - 5000 inw.;2
289;Totaal aantal gezinnen;Gezinnen zonder kinderen;Limburg, gem. 1001 - 2000 inw.;8
290;Totaal aantal gezinnen;Gezinnen zonder kinderen;Limburg, gem. 501 - 1000 inw.;0
291;Totaal aantal gezinnen;Gezinnen zonder kinderen;Limburg, gem. 500 en minder inw.;0
292;Totaal aantal gezinnen;Gezinnen met 1 kind;Nederland;3335
293;Totaal aantal gezinnen;Gezinnen met 1 kind;Groningen (provincie);552
294;Totaal aantal gezinnen;Gezinnen met 1 kind;Friesland;347
295;Totaal aantal gezinnen;Gezinnen met 1 kind;Drenthe;124
296;Totaal aantal gezinnen;Gezinnen met 1 kind;Overijssel;177
297;Totaal aantal gezinnen;Gezinnen met 1 kind;Gelderland;274
298;Totaal aantal gezinnen;Gezinnen met 1 kind;Utrecht (provincie);60
299;Totaal aantal gezinnen;Gezinnen met 1 kind;Noord-Holland;387
300;Totaal aantal gezinnen;Gezinnen met 1 kind;Zuid-Holland;949
301;Totaal aantal gezinnen;Gezinnen met 1 kind;Zeeland;97
