ID;Geslacht;Leerweg;OpleidingsrichtingEnSector;Herkomstgroepering;Generatie;Regiokenmerken;Perioden;TotaalGediplomeerden_1;EntreeopleidingNiveau1_2;BasisberoepsopleidingNiveau2_3;VakopleidingNiveau3_4;MiddenkaderopleidingNiveau4a_5;SpecialistenopleidingNiveau4b_6;KorteOpleiding_7;LangeOpleiding_8;PrimaireOpleiding_9;VoortgezetteOpleiding_10
0;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Totaal generatie;Nederland;1990/'91;;;;;;;;;;
1;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Totaal generatie;Nederland;1991/'92;;;;;;;;;;
2;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Totaal generatie;Nederland;1992/'93;;;;;;;;;;
3;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Totaal generatie;Nederland;1993/'94;;;;;;;;;;
4;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Totaal generatie;Nederland;1994/'95;;;;;;;;;;
5;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Totaal generatie;Nederland;1995/'96;;;;;;;;;;
6;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Totaal generatie;Nederland;1996/'97;;;;;;;;;;
7;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Totaal generatie;Nederland;1997/'98;106637.0;3171.0;4941.0;3977.0;2261.0;552.0;11525.0;53194.0;14063.0;12953.0
8;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Totaal generatie;Nederland;1998/'99;113364.0;6859.0;25359.0;13405.0;4474.0;1092.0;1162.0;52430.0;2601.0;5982.0
9;Totaal mannen en vrouwen;Totaal leerweg (incl. extraneï);Totaal opleidingsrichting en sector;Totaal herkomstgroepering;Totaal generatie;Nederland;1999/'00;119046.0;8469.0;32015.0;27660.0;29479.0;1837.0;50.0;17661.0;134.0;1741.0
