ID;AanwezigheidOuders;Geslacht;Leeftijd;Migratieachtergrond;RegioS;Perioden;AantalKinderen_1;PercentageKinderen_2
0;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Nederland;1996;3032581;100
1;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Nederland;1997;3043662;100
2;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Nederland;1998;3060501;100
3;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Nederland;1999;3092232;100
4;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Nederland;2000;3127899;100
5;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Nederland;2001;3164335;100
6;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Nederland;2002;3191188;100
7;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Nederland;2003;3205067;100
8;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Nederland;2004;3210328;100
9;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Nederland;2005;3204971;100
10;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Nederland;2006;3188638;100
11;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Nederland;2007;3162018;100
12;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Nederland;2008;3136392;100
13;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Nederland;2009;3121678;100
14;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Nederland;2010;3112287;100
15;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Nederland;2011;3101276;100
16;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Nederland;2012;3090795;100
17;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Nederland;2013;3073288;100
18;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Nederland;2014;3051738;100
19;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Nederland;2015;3030236;100
20;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Noord-Nederland (LD);1996;315188;100
21;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Noord-Nederland (LD);1997;315284;100
22;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Noord-Nederland (LD);1998;315994;100
23;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Noord-Nederland (LD);1999;317649;100
24;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Noord-Nederland (LD);2000;320296;100
25;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Noord-Nederland (LD);2001;324539;100
26;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Noord-Nederland (LD);2002;327705;100
27;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Noord-Nederland (LD);2003;328974;100
28;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Noord-Nederland (LD);2004;328657;100
29;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Noord-Nederland (LD);2005;327482;100
30;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Noord-Nederland (LD);2006;325571;100
31;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Noord-Nederland (LD);2007;323195;100
32;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Noord-Nederland (LD);2008;320391;100
33;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Noord-Nederland (LD);2009;318620;100
34;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Noord-Nederland (LD);2010;316978;100
35;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Noord-Nederland (LD);2011;314614;100
36;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Noord-Nederland (LD);2012;311703;100
37;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Noord-Nederland (LD);2013;308268;100
38;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Noord-Nederland (LD);2014;304246;100
39;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Noord-Nederland (LD);2015;300189;100
40;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Oost-Nederland (LD);1996;662832;100
41;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Oost-Nederland (LD);1997;666264;100
42;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Oost-Nederland (LD);1998;671645;100
43;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Oost-Nederland (LD);1999;680151;100
44;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Oost-Nederland (LD);2000;689624;100
45;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Oost-Nederland (LD);2001;700018;100
46;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Oost-Nederland (LD);2002;708773;100
47;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Oost-Nederland (LD);2003;713800;100
48;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Oost-Nederland (LD);2004;716907;100
49;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Oost-Nederland (LD);2005;717807;100
50;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Oost-Nederland (LD);2006;716254;100
51;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Oost-Nederland (LD);2007;712433;100
52;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Oost-Nederland (LD);2008;707983;100
53;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Oost-Nederland (LD);2009;704919;100
54;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Oost-Nederland (LD);2010;701745;100
55;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Oost-Nederland (LD);2011;697875;100
56;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Oost-Nederland (LD);2012;694245;100
57;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Oost-Nederland (LD);2013;688698;100
58;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Oost-Nederland (LD);2014;682536;100
59;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Oost-Nederland (LD);2015;674944;100
60;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;West-Nederland (LD);1996;1396502;100
61;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;West-Nederland (LD);1997;1402863;100
62;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;West-Nederland (LD);1998;1410624;100
63;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;West-Nederland (LD);1999;1425848;100
64;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;West-Nederland (LD);2000;1442144;100
65;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;West-Nederland (LD);2001;1458362;100
66;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;West-Nederland (LD);2002;1471075;100
67;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;West-Nederland (LD);2003;1479809;100
68;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;West-Nederland (LD);2004;1485131;100
69;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;West-Nederland (LD);2005;1485113;100
70;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;West-Nederland (LD);2006;1479832;100
71;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;West-Nederland (LD);2007;1468786;100
72;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;West-Nederland (LD);2008;1459692;100
73;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;West-Nederland (LD);2009;1457533;100
74;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;West-Nederland (LD);2010;1459005;100
75;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;West-Nederland (LD);2011;1460933;100
76;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;West-Nederland (LD);2012;1462673;100
77;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;West-Nederland (LD);2013;1461278;100
78;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;West-Nederland (LD);2014;1457398;100
79;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;West-Nederland (LD);2015;1455202;100
80;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Zuid-Nederland (LD);1996;658059;100
81;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Zuid-Nederland (LD);1997;659251;100
82;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Zuid-Nederland (LD);1998;662238;100
83;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Zuid-Nederland (LD);1999;668584;100
84;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Zuid-Nederland (LD);2000;675835;100
85;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Zuid-Nederland (LD);2001;681416;100
86;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Zuid-Nederland (LD);2002;683635;100
87;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Zuid-Nederland (LD);2003;682484;100
88;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Zuid-Nederland (LD);2004;679633;100
89;Totaal;Totaal jongens en meisjes;Jonger dan 16 jaar;Totaal;Zuid-Nederland (LD);2005;674569;100
