ID;SectorBranchesSIC93;Periods;JobsPersonsEmployed_1;LabourVolumePersonsEmployed_2;EmployeesOnTheCompanyPayroll_3;LabourVolumeEmployeesOnThePayroll_4;TotalBusinessReturns_5;BusinessTurnoverNet_6;OtherBusinessReturns_7;TotalBusinessCosts_8;TotalPurchaseValueOfTurnover_9;CostsOfRawAndAuxiliaryMaterials_10;CostsOfCommodities_11;OtherPurchaseValue_12;TotalPersonnelCosts_13;GrossWagesAndSalaries_14;EmployerPaidSocialInsurancePremiums_15;PensionAndEarlyRetirementPremiums_16;OtherSocialInsuranceCosts_17;OtherPersonnelCosts_18;OtherBusinessCosts_19;DepreciationFixedAssets_20;ProfitLoss_21;NetFinancialIncome_22;NetProvisions_23;NetExtraordinaryIncome_24;ProfitLossBeforeTax_25
0;90;2006;24.9;22.2;20.6;19.4;4969;4877;92;4456;1925;186;211;1528;1110;707;96;79;20;209;1003;417;513;-120;-2;25;416
1;90;2007;26.9;23.9;22.0;20.6;5419;5346;72;4870;2131;183;166;1782;1237;788;105;76;15;252;1064;439;548;-95;-1;5;457
2;90;2008;28.3;25.5;23.0;21.5;6116;5965;151;5500;2381;484;153;1745;1364;872;110;82;13;288;1229;525;616;-96;-24;-16;480
3;9001;2006;3.6;3.3;3.1;3.0;494;486;8;478;188;28;11;149;177;109;16;16;6;30;95;18;16;-3;0;1;13
4;9001;2007;3.5;3.2;3.0;2.8;586;582;4;566;245;33;8;204;186;119;15;11;4;36;107;28;20;1;-5;0;16
5;9001;2008;4.1;3.8;3.4;3.2;770;730;40;729;265;49;7;209;232;142;18;13;4;57;181;50;41;-4;-1;-5;31
6;90021;2006;13.4;11.9;10.8;10.4;2140;2123;17;1991;915;46;182;688;539;349;49;36;7;98;412;125;149;-10;1;1;141
7;90021;2007;14.5;12.9;11.5;10.9;2338;2317;21;2163;940;20;125;794;619;384;55;39;6;134;470;135;175;-15;3;6;168
8;90021;2008;14.7;13.3;11.8;11.2;2459;2426;33;2280;994;163;127;705;658;407;57;42;7;145;491;137;179;-24;-1;-1;153
9;90022;2006;6.2;5.5;5.3;4.9;2018;1954;64;1692;643;80;9;554;332;207;25;25;6;69;452;265;325;-111;-1;22;236
10;90022;2007;6.1;5.4;5.2;4.8;1958;1918;40;1637;642;88;32;523;311;202;25;23;3;58;422;263;321;-80;3;-2;241
11;90022;2008;6.7;6.1;5.7;5.2;2314;2240;74;1951;770;158;18;595;362;246;28;23;2;62;492;326;363;-69;-22;-11;261
