ID;Onderwijsdeelname;KenmerkenArbeid;Uitkering;IngeschrevenUWVWerkbedrijf;RegioS;Perioden;Jongeren15Tot27Jaar_1
0;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2005;2351600
1;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2006;2363600
2;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2007;2374000
3;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2008;2392100
4;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2009;2418600
5;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2010;2442700
6;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2011;2458600
7;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2012;2468600
8;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2013;2475500
9;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2014;2488600
10;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2015;2512000
11;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Nederland;2016;2542500
12;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2005;249200
13;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2006;249400
14;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2007;249400
15;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2008;250000
16;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2009;252300
17;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2010;254500
18;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2011;256200
19;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2012;256500
20;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2013;256700
21;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2014;258000
22;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2015;259100
23;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Noord-Nederland (LD);2016;261700
24;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2005;507300
25;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2006;508600
26;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2007;509200
27;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2008;512400
28;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2009;517200
29;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2010;521200
30;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2011;523400
31;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2012;525400
32;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2013;525800
33;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2014;527600
34;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2015;533800
35;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Oost-Nederland (LD);2016;542100
36;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;West-Nederland (LD);2005;1104000
37;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;West-Nederland (LD);2006;1113900
38;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;West-Nederland (LD);2007;1122600
39;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;West-Nederland (LD);2008;1134300
40;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;West-Nederland (LD);2009;1148400
41;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;West-Nederland (LD);2010;1161500
42;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;West-Nederland (LD);2011;1169600
43;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;West-Nederland (LD);2012;1175200
44;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;West-Nederland (LD);2013;1179700
45;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;West-Nederland (LD);2014;1188400
46;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;West-Nederland (LD);2015;1201400
47;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;West-Nederland (LD);2016;1215700
48;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Zuid-Nederland (LD);2005;490400
49;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Zuid-Nederland (LD);2006;491200
50;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Zuid-Nederland (LD);2007;492300
51;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Zuid-Nederland (LD);2008;495100
52;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Zuid-Nederland (LD);2009;500400
53;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Zuid-Nederland (LD);2010;505100
54;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Zuid-Nederland (LD);2011;508900
55;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Zuid-Nederland (LD);2012;511100
56;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Zuid-Nederland (LD);2013;513300
57;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Zuid-Nederland (LD);2014;514500
58;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Zuid-Nederland (LD);2015;517700
59;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Zuid-Nederland (LD);2016;523000
60;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Groningen (PV);2005;96400
61;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Groningen (PV);2006;97100
62;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Groningen (PV);2007;97600
63;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Groningen (PV);2008;98400
64;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Groningen (PV);2009;100200
65;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Groningen (PV);2010;101700
66;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Groningen (PV);2011;103600
67;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Groningen (PV);2012;104600
68;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Groningen (PV);2013;105400
69;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Groningen (PV);2014;106400
70;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Groningen (PV);2015;106600
71;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Groningen (PV);2016;107100
72;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Friesland (PV);2005;92300
73;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Friesland (PV);2006;91700
74;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Friesland (PV);2007;91300
75;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Friesland (PV);2008;91200
76;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Friesland (PV);2009;91500
77;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Friesland (PV);2010;91800
78;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Friesland (PV);2011;91600
79;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Friesland (PV);2012;91200
80;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Friesland (PV);2013;90900
81;Totaal;Totaal;Totaal met/zonder uitkering;Totaal;Friesland (PV);2014;91200
