ID;EmployeeResidentNonResident;EmployeeCharacteristics;SectorBranchesSIC2008;JobCharacteristics;MigrationBackground;Periods;JobsForeignBornEmployees_1
0;Total jobs;Total employees;A-U All economic activities;Total;Total;2010 1st quarter;630.8
1;Total jobs;Total employees;A-U All economic activities;Total;Total;2010 2nd quarter;664.0
2;Total jobs;Total employees;A-U All economic activities;Total;Total;2010 3rd quarter;678.0
3;Total jobs;Total employees;A-U All economic activities;Total;Total;2010 4th quarter;672.6
4;Total jobs;Total employees;A-U All economic activities;Total;Total;2010;661.5
5;Total jobs;Total employees;A-U All economic activities;Total;Total;2011 1st quarter;658.2
6;Total jobs;Total employees;A-U All economic activities;Total;Total;2011 2nd quarter;691.2
7;Total jobs;Total employees;A-U All economic activities;Total;Total;2011 3rd quarter;698.4
8;Total jobs;Total employees;A-U All economic activities;Total;Total;2011 4th quarter;683.5
9;Total jobs;Total employees;A-U All economic activities;Total;Total;2011;682.9
10;Total jobs;Total employees;A-U All economic activities;Total;Total;2012 1st quarter;666.3
11;Total jobs;Total employees;A-U All economic activities;Total;Total;2012 2nd quarter;693.3
12;Total jobs;Total employees;A-U All economic activities;Total;Total;2012 3rd quarter;696.2
13;Total jobs;Total employees;A-U All economic activities;Total;Total;2012 4th quarter;680.3
14;Total jobs;Total employees;A-U All economic activities;Total;Total;2012;684.0
15;Total jobs;Total employees;A-U All economic activities;Total;Total;2013 1st quarter;650.8
16;Total jobs;Total employees;A-U All economic activities;Total;Total;2013 2nd quarter;673.3
17;Total jobs;Total employees;A-U All economic activities;Total;Total;2013 3rd quarter;678.9
18;Total jobs;Total employees;A-U All economic activities;Total;Total;2013 4th quarter;669.1
19;Total jobs;Total employees;A-U All economic activities;Total;Total;2013;668.1
20;Total jobs;Total employees;A-U All economic activities;Total;Total;2014 1st quarter;651.0
21;Total jobs;Total employees;A-U All economic activities;Total;Total;2014 2nd quarter;681.3
22;Total jobs;Total employees;A-U All economic activities;Total;Total;2014 3rd quarter;692.5
23;Total jobs;Total employees;A-U All economic activities;Total;Total;2014 4th quarter;684.2
24;Total jobs;Total employees;A-U All economic activities;Total;Total;2014;677.4
25;Total jobs;Total employees;A-U All economic activities;Total;Total;2015 1st quarter;672.6
26;Total jobs;Total employees;A-U All economic activities;Total;Total;2015 2nd quarter;704.9
27;Total jobs;Total employees;A-U All economic activities;Total;Total;2015 3rd quarter;720.3
28;Total jobs;Total employees;A-U All economic activities;Total;Total;2015 4th quarter;716.9
29;Total jobs;Total employees;A-U All economic activities;Total;Total;2015;703.8
30;Total jobs;Total employees;A-U All economic activities;Total;Total;2016 1st quarter;699.1
31;Total jobs;Total employees;A-U All economic activities;Total;Total;2016 2nd quarter;737.7
32;Total jobs;Total employees;A-U All economic activities;Total;Total;2016 3rd quarter;757.2
33;Total jobs;Total employees;A-U All economic activities;Total;Total;2016 4th quarter;760.4
34;Total jobs;Total employees;A-U All economic activities;Total;Total;2016;738.7
35;Total jobs;Total employees;A-U All economic activities;Total;Total;2017 1st quarter;751.9
36;Total jobs;Total employees;A-U All economic activities;Total;Total;2017 2nd quarter;799.2
37;Total jobs;Total employees;A-U All economic activities;Total;Total;2017 3rd quarter;826.7
38;Total jobs;Total employees;A-U All economic activities;Total;Total;2017 4th quarter;840.3
39;Total jobs;Total employees;A-U All economic activities;Total;Total;2017;804.8
40;Total jobs;Total employees;A-U All economic activities;Total;Total;2018 1st quarter;833.8
41;Total jobs;Total employees;A-U All economic activities;Total;Total;2018 2nd quarter;882.8
42;Total jobs;Total employees;A-U All economic activities;Total;Total;2018 3rd quarter;912.0
43;Total jobs;Total employees;A-U All economic activities;Total;Total;2018 4th quarter;927.5
44;Total jobs;Total employees;A-U All economic activities;Total;Total;2018;889.4
45;Total jobs;Total employees;A-U All economic activities;Total;Total;2019 1st quarter;913.8
46;Total jobs;Total employees;A-U All economic activities;Total;Total;2019 2nd quarter;955.8
47;Total jobs;Total employees;A-U All economic activities;Total;Total;2019 3rd quarter;977.0
48;Total jobs;Total employees;A-U All economic activities;Total;Total;2019 4th quarter;986.2
49;Total jobs;Total employees;A-U All economic activities;Total;Total;2019;958.4
50;Total jobs;Total employees;A-U All economic activities;Total;Total;2020 1st quarter;969.1
51;Total jobs;Total employees;A-U All economic activities;Total;Total;2020 2nd quarter;939.9
52;Total jobs;Total employees;A-U All economic activities;Total;Total;2020 3rd quarter;971.9
53;Total jobs;Total employees;A-U All economic activities;Total;Total;2020 4th quarter;969.9
