ID;KenmerkenHuishoudensEnPersonen;CaribischNederland;Perioden;MedianeKoopkrachtontwikkeling_1;PersonenMetKoopkrachtdaling_2
0;Totaal personen;Caribisch Nederland;2012;3.6;42.0
1;Totaal personen;Caribisch Nederland;2013;1.9;44.0
2;Totaal personen;Caribisch Nederland;2014;2.0;44.0
3;Totaal personen;Caribisch Nederland;2015;4.6;36.0
4;Totaal personen;Caribisch Nederland;2016;2.9;42.0
5;Totaal personen;Caribisch Nederland;2017;2.1;42.0
6;Totaal personen;Caribisch Nederland;2018;0.2;50.0
7;Totaal personen;Caribisch Nederland;2019;4.2;38.0
8;Totaal personen;Caribisch Nederland;2020;5.2;36.0
9;Totaal personen;Caribisch Nederland;2021;1.6;44.0
10;Totaal personen;Caribisch Nederland;2022;-3.9;60.0
11;Totaal personen;Bonaire;2012;3.2;42.0
12;Totaal personen;Bonaire;2013;1.6;45.0
13;Totaal personen;Bonaire;2014;2.0;43.0
14;Totaal personen;Bonaire;2015;4.6;36.0
15;Totaal personen;Bonaire;2016;2.6;43.0
16;Totaal personen;Bonaire;2017;1.9;43.0
17;Totaal personen;Bonaire;2018;-0.5;51.0
18;Totaal personen;Bonaire;2019;3.7;39.0
19;Totaal personen;Bonaire;2020;5.6;35.0
20;Totaal personen;Bonaire;2021;1.7;44.0
21;Totaal personen;Bonaire;2022;-4.2;60.0
22;Totaal personen;Sint Eustatius;2012;4.5;41.0
23;Totaal personen;Sint Eustatius;2013;2.3;41.0
24;Totaal personen;Sint Eustatius;2014;1.1;48.0
25;Totaal personen;Sint Eustatius;2015;4.6;37.0
26;Totaal personen;Sint Eustatius;2016;2.4;42.0
27;Totaal personen;Sint Eustatius;2017;4.7;39.0
28;Totaal personen;Sint Eustatius;2018;3.4;38.0
29;Totaal personen;Sint Eustatius;2019;6.6;35.0
30;Totaal personen;Sint Eustatius;2020;2.7;44.0
31;Totaal personen;Sint Eustatius;2021;1.2;40.0
32;Totaal personen;Sint Eustatius;2022;-3.3;58.0
33;Totaal personen;Saba;2012;4.6;36.0
34;Totaal personen;Saba;2013;3.3;38.0
35;Totaal personen;Saba;2014;3.1;38.0
36;Totaal personen;Saba;2015;3.1;34.0
37;Totaal personen;Saba;2016;6.3;30.0
38;Totaal personen;Saba;2017;1.7;41.0
39;Totaal personen;Saba;2018;0.3;49.0
40;Totaal personen;Saba;2019;5.5;30.0
41;Totaal personen;Saba;2020;4.7;32.0
42;Totaal personen;Saba;2021;1.2;45.0
43;Totaal personen;Saba;2022;-1.6;56.0
44;Type: Eenpersoonshuishouden;Caribisch Nederland;2012;2.9;39.0
45;Type: Eenpersoonshuishouden;Caribisch Nederland;2013;1.2;41.0
46;Type: Eenpersoonshuishouden;Caribisch Nederland;2014;0.6;42.0
47;Type: Eenpersoonshuishouden;Caribisch Nederland;2015;2.5;34.0
48;Type: Eenpersoonshuishouden;Caribisch Nederland;2016;1.1;46.0
49;Type: Eenpersoonshuishouden;Caribisch Nederland;2017;1.7;40.0
