ID;BindingArbeidsmarkt;Geslacht;Persoonskenmerken;Perioden;AantalPersonen_1;GemiddeldPersoonlijkPrimairInkomen_2;GemiddeldPersoonlijkOverdrachtsinkomen_3;GemiddeldPersoonlijkInkomen_4;GemiddeldGestandaardiseerdInkomen_5;AantalPersonenMetInkomen_6;GemiddeldPersoonlijkPrimairInkomen_7;GemiddeldPersoonlijkOverdrachtsinkomen_8;GemiddeldPersoonlijkInkomen_9;GemiddeldGestandaardiseerdInkomen_10
0;Totaal bevolking (15 tot 65 jaar);1100;Totaal persoonskenmerken;2005;10940.0;25.3;3.7;23.8;22.1;9631.0;27.9;4.1;26.2;22.3
1;Totaal bevolking (15 tot 65 jaar);1100;Totaal persoonskenmerken;2006;10952.0;26.6;3.7;25.1;23.3;9739.0;29.1;4.1;27.4;23.5
2;Totaal bevolking (15 tot 65 jaar);1100;Totaal persoonskenmerken;2007;10968.0;28.1;3.6;26.6;25.2;9836.0;30.5;3.9;28.8;25.4
3;Totaal bevolking (15 tot 65 jaar);1100;Totaal persoonskenmerken;2008;10997.0;29.3;3.6;27.8;25.7;9464.0;31.7;3.9;30.0;25.9
4;Totaal bevolking (15 tot 65 jaar);1100;Totaal persoonskenmerken;2009;11014.0;29.6;3.7;28.3;25.8;9567.0;33.2;3.7;31.1;27.0
5;Totaal bevolking (15 tot 65 jaar);1100;Totaal persoonskenmerken;2010;11017.0;29.7;3.9;28.3;25.6;9965.0;32.4;4.2;30.8;25.8
6;Totaal bevolking (15 tot 65 jaar);1100;Totaal persoonskenmerken;2011;10994.0;30.2;3.9;28.7;25.6;10033.0;32.7;4.2;31.0;25.9
7;Totaal bevolking (15 tot 65 jaar);1100;Totaal persoonskenmerken;2012;10992.0;30.8;3.9;28.9;25.6;10019.0;33.3;4.2;31.2;25.9
8;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 15 tot 25 jaar;2005;1937.0;7.9;1.3;8.1;21.1;1615.0;9.0;1.5;9.2;21.3
9;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 15 tot 25 jaar;2006;1944.0;8.3;1.5;8.6;22.2;1646.0;9.4;1.7;9.7;22.3
10;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 15 tot 25 jaar;2007;1957.0;8.6;1.5;9.0;24.0;1688.0;9.6;1.6;10.0;24.0
11;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 15 tot 25 jaar;2008;1978.0;9.1;1.4;9.3;24.4;1625.0;10.0;1.5;10.2;24.4
12;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 15 tot 25 jaar;2009;1997.0;8.7;1.6;9.2;24.1;1617.0;9.3;1.5;9.6;25.6
13;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 15 tot 25 jaar;2010;2006.0;7.9;1.6;8.5;23.7;1693.0;9.2;1.9;9.9;23.8
14;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 15 tot 25 jaar;2011;2010.0;8.0;1.7;8.7;24.1;1731.0;9.2;1.9;10.0;24.3
15;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 15 tot 25 jaar;2012;2023.0;8.0;1.7;8.6;24.1;1730.0;9.2;1.9;9.9;24.3
16;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 25 tot 45 jaar;2005;4744.0;31.1;1.8;26.5;20.9;4331.0;33.0;1.9;28.1;21.1
17;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 25 tot 45 jaar;2006;4673.0;33.1;1.6;28.3;22.2;4301.0;34.9;1.7;29.8;22.5
18;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 25 tot 45 jaar;2007;4600.0;34.7;1.4;29.8;23.9;4249.0;36.4;1.5;31.3;24.1
19;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 25 tot 45 jaar;2008;4534.0;36.3;1.4;31.4;24.5;3965.0;38.0;1.4;32.8;24.7
20;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 25 tot 45 jaar;2009;4467.0;36.6;1.7;32.1;24.7;3989.0;39.2;1.5;34.0;25.3
21;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 25 tot 45 jaar;2010;4399.0;36.7;1.9;32.2;24.5;4120.0;38.5;2.0;33.8;24.8
22;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 25 tot 45 jaar;2011;4341.0;36.7;2.1;32.3;24.5;4095.0;38.5;2.2;33.9;24.8
23;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 25 tot 45 jaar;2012;4319.0;37.0;2.3;32.4;24.5;4066.0;38.7;2.4;33.9;24.8
24;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 45 tot 65 jaar;2005;4260.0;26.6;6.9;27.7;24.0;3685.0;30.1;7.8;31.3;24.2
25;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 45 tot 65 jaar;2006;4334.0;27.7;6.9;28.9;24.8;3793.0;31.0;7.8;32.4;25.1
26;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 45 tot 65 jaar;2007;4411.0;29.8;6.8;30.8;27.1;3900.0;33.1;7.5;34.3;27.4
27;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 45 tot 65 jaar;2008;4484.0;31.0;6.6;32.0;27.4;3875.0;34.5;7.3;35.5;27.8
28;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 45 tot 65 jaar;2009;4550.0;31.7;6.6;32.7;27.5;3961.0;37.9;6.5;37.6;29.0
29;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 45 tot 65 jaar;2010;4612.0;32.5;6.6;33.2;27.3;4153.0;35.8;7.3;36.5;27.7
30;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 45 tot 65 jaar;2011;4642.0;33.7;6.5;33.9;27.3;4207.0;36.8;7.1;37.0;27.7
31;Totaal bevolking (15 tot 65 jaar);1100;Leeftijd: 45 tot 65 jaar;2012;4650.0;34.9;6.3;34.4;27.4;4223.0;37.9;6.9;37.4;27.7
32;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Autochtonen;2005;8753.0;26.4;3.6;24.5;22.7;7813.0;29.0;4.0;27.0;22.9
33;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Autochtonen;2006;8745.0;27.9;3.6;26.0;23.9;7891.0;30.3;4.0;28.3;24.1
34;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Autochtonen;2007;8746.0;29.3;3.6;27.5;25.9;7945.0;31.6;3.9;29.7;26.0
35;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Autochtonen;2008;8733.0;30.5;3.6;28.7;26.4;7645.0;32.9;3.8;30.9;26.6
36;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Autochtonen;2009;8693.0;30.9;3.7;29.3;26.5;7681.0;33.9;3.6;31.7;27.4
37;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Autochtonen;2010;8701.0;31.3;3.8;29.5;26.4;7967.0;33.8;4.1;31.8;26.6
38;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Autochtonen;2011;8641.0;31.7;3.8;29.8;26.4;7966.0;34.1;4.1;32.0;26.6
39;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Autochtonen;2012;8595.0;32.3;3.8;30.0;26.4;7924.0;34.6;4.1;32.2;26.7
40;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Westerse allochtonen;2005;1016.0;25.4;4.3;24.5;22.7;888.0;28.1;4.8;27.1;22.9
41;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Westerse allochtonen;2006;1015.0;26.5;4.3;25.6;23.4;890.0;29.2;4.7;28.3;23.7
42;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Westerse allochtonen;2007;1014.0;28.5;4.0;27.4;25.6;896.0;31.2;4.4;30.0;25.7
43;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Westerse allochtonen;2008;1025.0;29.4;3.8;28.1;25.7;866.0;32.3;4.2;30.9;25.9
44;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Westerse allochtonen;2009;1044.0;30.1;4.1;29.1;26.1;891.0;34.4;4.2;32.7;27.3
45;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Westerse allochtonen;2010;1044.0;29.7;4.4;28.9;25.8;925.0;32.8;4.9;31.9;26.2
46;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Westerse allochtonen;2011;1052.0;30.2;4.5;29.3;25.7;939.0;33.3;5.0;32.3;26.0
47;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Westerse allochtonen;2012;1066.0;31.4;4.4;30.0;25.9;952.0;34.4;4.8;32.9;26.2
48;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Niet-westerse allochtonen;2005;1158.0;16.0;3.9;16.7;17.0;929.0;18.1;4.4;18.9;17.3
49;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Niet-westerse allochtonen;2006;1177.0;16.8;3.8;17.5;18.2;957.0;19.0;4.3;19.8;18.5
50;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Niet-westerse allochtonen;2007;1195.0;18.5;3.5;18.8;19.6;994.0;20.5;3.9;20.8;19.7
51;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Niet-westerse allochtonen;2008;1220.0;20.2;3.3;20.1;20.2;953.0;22.2;3.7;22.1;20.5
52;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Niet-westerse allochtonen;2009;1255.0;19.6;3.6;20.0;20.1;994.0;22.9;3.7;22.8;21.1
53;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Niet-westerse allochtonen;2010;1252.0;19.1;3.9;19.8;19.8;1071.0;21.7;4.4;22.5;20.2
54;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Niet-westerse allochtonen;2011;1286.0;20.0;4.0;20.5;20.1;1122.0;22.5;4.5;23.0;20.6
55;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: Niet-westerse allochtonen;2012;1318.0;20.5;4.1;20.8;20.3;1140.0;23.0;4.7;23.5;20.7
56;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: onbekend;2005;12.0;;;;;;;;;
57;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: onbekend;2006;15.0;;;;;;;;;
58;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: onbekend;2007;13.0;;;;;;;;;
59;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: onbekend;2008;18.0;;;;;;;;;
60;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: onbekend;2009;23.0;5.4;0.8;5.5;21.4;;;;;
61;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: onbekend;2010;21.0;1.2;0.1;1.1;15.3;2.0;;;;
62;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: onbekend;2011;15.0;;;;;6.0;;;;
63;Totaal bevolking (15 tot 65 jaar);1100;Herkomst: onbekend;2012;14.0;;;;;3.0;;;;
64;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: laag;2005;3644.0;13.5;3.7;14.7;19.8;2927.0;16.3;4.5;17.7;19.8
65;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: laag;2006;3590.0;13.9;3.7;15.0;20.5;2926.0;16.5;4.4;17.9;20.6
66;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: laag;2007;3511.0;14.5;3.6;15.6;22.0;2912.0;17.0;4.3;18.3;22.1
67;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: laag;2008;3527.0;15.2;3.7;16.4;22.5;2829.0;17.7;4.3;19.2;22.6
68;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: laag;2009;3484.0;15.1;3.9;16.6;22.3;2793.0;17.8;3.9;18.9;23.4
69;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: laag;2010;3416.0;15.0;4.1;16.7;22.2;2857.0;17.7;4.9;19.7;22.3
70;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: laag;2011;3454.0;16.0;4.2;17.5;22.7;2934.0;18.6;4.9;20.4;22.9
71;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: laag;2012;3344.0;15.9;4.3;17.4;22.6;2818.0;18.6;5.0;20.3;22.7
72;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: middelbaar;2005;4487.0;23.8;3.5;22.5;21.2;4089.0;25.4;3.7;24.0;21.2
73;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: middelbaar;2006;4515.0;25.0;3.5;23.6;22.3;4148.0;26.5;3.7;25.1;22.4
74;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: middelbaar;2007;4553.0;26.3;3.4;24.9;24.1;4204.0;27.7;3.6;26.3;24.1
75;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: middelbaar;2008;4470.0;27.4;3.3;26.0;24.7;3962.0;28.9;3.5;27.4;24.7
76;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: middelbaar;2009;4448.0;27.2;3.6;26.2;24.6;3994.0;29.6;3.4;28.0;25.5
77;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: middelbaar;2010;4440.0;26.8;3.7;25.9;24.3;4133.0;28.4;3.9;27.4;24.4
78;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: middelbaar;2011;4408.0;27.6;3.6;26.4;24.4;4124.0;29.2;3.9;27.9;24.5
79;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: middelbaar;2012;4432.0;27.9;3.7;26.5;24.5;4154.0;29.4;3.9;27.9;24.6
80;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: hoog;2005;2698.0;43.7;4.1;38.2;27.0;2530.0;45.4;4.2;39.7;27.1
81;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: hoog;2006;2731.0;46.0;4.2;40.7;28.4;2575.0;47.6;4.3;42.1;28.5
82;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: hoog;2007;2791.0;48.4;4.0;43.2;31.1;2630.0;50.0;4.1;44.6;31.2
83;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: hoog;2008;2911.0;49.7;3.8;44.4;31.3;2611.0;51.3;3.9;45.9;31.4
84;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: hoog;2009;2991.0;50.2;3.9;45.1;31.6;2717.0;54.1;3.9;48.2;32.6
85;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: hoog;2010;3065.0;50.6;3.9;45.0;31.1;2903.0;52.5;4.0;46.8;31.4
86;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: hoog;2011;3035.0;50.4;3.9;44.8;30.7;2895.0;52.2;4.0;46.4;30.9
87;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: hoog;2012;3108.0;51.1;3.8;44.8;30.6;2962.0;52.9;3.9;46.3;30.8
88;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: onbekend;2005;110.0;19.6;4.0;19.8;19.8;85.0;21.7;4.4;21.9;20.3
89;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: onbekend;2006;115.0;24.1;3.3;23.3;22.1;89.0;26.4;3.6;25.6;22.8
90;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: onbekend;2007;113.0;23.6;3.1;22.7;23.3;90.0;25.6;3.4;24.6;23.7
91;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: onbekend;2008;89.0;24.8;2.4;23.0;23.6;62.0;27.3;2.6;25.4;24.5
92;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: onbekend;2009;91.0;28.8;2.6;26.5;26.6;64.0;31.6;2.6;28.9;28.0
93;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: onbekend;2010;96.0;23.3;2.7;22.1;23.8;72.0;29.9;3.4;28.3;25.8
94;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: onbekend;2011;96.0;25.7;3.3;24.5;26.0;81.0;30.1;3.8;28.7;27.4
95;Totaal bevolking (15 tot 65 jaar);1100;Onderwijsniveau: onbekend;2012;108.0;25.4;2.8;23.6;24.8;85.0;30.7;3.3;28.6;26.5
96;Totaal bevolking (15 tot 65 jaar);1100;Eenpersoonshuishouden;2005;1540.0;23.6;7.3;25.7;17.3;1499.0;23.7;7.3;25.8;17.3
97;Totaal bevolking (15 tot 65 jaar);1100;Eenpersoonshuishouden;2006;1558.0;25.4;6.9;27.0;18.1;1522.0;25.4;6.9;27.1;18.1
98;Totaal bevolking (15 tot 65 jaar);1100;Eenpersoonshuishouden;2007;1579.0;27.3;6.9;28.9;19.5;1547.0;27.3;6.9;29.0;19.5
99;Totaal bevolking (15 tot 65 jaar);1100;Eenpersoonshuishouden;2008;1571.0;28.1;6.6;29.5;19.6;1509.0;28.1;6.6;29.6;19.6
100;Totaal bevolking (15 tot 65 jaar);1100;Eenpersoonshuishouden;2009;1588.0;28.2;7.1;30.3;20.0;1538.0;30.5;7.0;32.0;20.9
101;Totaal bevolking (15 tot 65 jaar);1100;Eenpersoonshuishouden;2010;1628.0;27.6;7.5;30.0;19.7;1574.0;27.7;7.6;30.1;19.8
102;Totaal bevolking (15 tot 65 jaar);1100;Eenpersoonshuishouden;2011;1679.0;27.3;7.4;29.6;19.4;1639.0;27.3;7.4;29.7;19.5
103;Totaal bevolking (15 tot 65 jaar);1100;Eenpersoonshuishouden;2012;1703.0;27.8;7.5;29.9;19.5;1655.0;27.9;7.5;30.0;19.6
104;Totaal bevolking (15 tot 65 jaar);1100;Alleenstaande ouder;2005;356.0;19.1;9.5;24.6;16.2;339.0;19.2;9.5;24.7;16.2
105;Totaal bevolking (15 tot 65 jaar);1100;Alleenstaande ouder;2006;363.0;20.8;8.5;25.1;17.2;345.0;20.9;8.5;25.3;17.3
106;Totaal bevolking (15 tot 65 jaar);1100;Alleenstaande ouder;2007;376.0;22.7;8.1;26.6;18.3;358.0;22.8;8.1;26.7;18.3
107;Totaal bevolking (15 tot 65 jaar);1100;Alleenstaande ouder;2008;385.0;23.8;7.7;27.3;18.8;341.0;23.9;7.8;27.4;18.9
108;Totaal bevolking (15 tot 65 jaar);1100;Alleenstaande ouder;2009;397.0;24.1;8.2;28.1;18.7;349.0;26.6;7.7;29.7;19.2
109;Totaal bevolking (15 tot 65 jaar);1100;Alleenstaande ouder;2010;393.0;26.7;8.1;30.0;18.8;385.0;26.9;8.1;30.2;18.9
110;Totaal bevolking (15 tot 65 jaar);1100;Alleenstaande ouder;2011;383.0;27.5;8.4;30.7;19.0;376.0;27.7;8.4;30.9;19.0
111;Totaal bevolking (15 tot 65 jaar);1100;Alleenstaande ouder;2012;403.0;27.1;8.6;30.5;18.9;394.0;27.3;8.7;30.8;19.0
112;Totaal bevolking (15 tot 65 jaar);1100;Lid van ouderpaar;2005;4284.0;32.4;1.9;27.6;21.6;3751.0;36.0;2.1;30.7;21.8
113;Totaal bevolking (15 tot 65 jaar);1100;Lid van ouderpaar;2006;4221.0;34.5;1.8;29.5;23.0;3745.0;37.9;1.9;32.5;23.3
114;Totaal bevolking (15 tot 65 jaar);1100;Lid van ouderpaar;2007;4200.0;36.5;1.6;31.4;25.2;3753.0;39.7;1.7;34.2;25.4
115;Totaal bevolking (15 tot 65 jaar);1100;Lid van ouderpaar;2008;4133.0;38.4;1.5;33.2;25.7;3474.0;41.7;1.6;36.1;26.0
116;Totaal bevolking (15 tot 65 jaar);1100;Lid van ouderpaar;2009;4116.0;38.9;1.7;33.9;25.8;3543.0;43.3;1.7;37.6;26.7
117;Totaal bevolking (15 tot 65 jaar);1100;Lid van ouderpaar;2010;4082.0;39.5;1.9;34.4;25.7;3747.0;42.6;2.0;37.1;26.1
118;Totaal bevolking (15 tot 65 jaar);1100;Lid van ouderpaar;2011;4062.0;40.4;2.0;35.1;25.8;3739.0;43.5;2.1;37.8;26.2
119;Totaal bevolking (15 tot 65 jaar);1100;Lid van ouderpaar;2012;4078.0;41.1;2.0;35.5;25.9;3757.0;44.2;2.2;38.1;26.3
120;Totaal bevolking (15 tot 65 jaar);1100;Lid van paar (geen ouder);2005;2880.0;26.3;5.4;26.1;25.6;2491.0;29.8;6.1;29.5;26.2
121;Totaal bevolking (15 tot 65 jaar);1100;Lid van paar (geen ouder);2006;2931.0;27.0;5.7;27.3;26.4;2554.0;30.4;6.4;30.6;27.0
122;Totaal bevolking (15 tot 65 jaar);1100;Lid van paar (geen ouder);2007;2926.0;28.6;5.6;28.7;28.6;2566.0;32.0;6.3;32.1;29.2
123;Totaal bevolking (15 tot 65 jaar);1100;Lid van paar (geen ouder);2008;3020.0;29.9;5.5;29.9;29.0;2607.0;33.4;6.2;33.5;29.7
124;Totaal bevolking (15 tot 65 jaar);1100;Lid van paar (geen ouder);2009;3001.0;30.4;5.5;30.6;29.3;2613.0;34.7;6.4;34.8;30.8
125;Totaal bevolking (15 tot 65 jaar);1100;Lid van paar (geen ouder);2010;3012.0;31.0;5.5;30.8;29.1;2672.0;34.5;6.1;34.3;29.8
126;Totaal bevolking (15 tot 65 jaar);1100;Lid van paar (geen ouder);2011;2942.0;31.7;5.4;31.3;29.2;2642.0;35.0;6.0;34.5;29.9
127;Totaal bevolking (15 tot 65 jaar);1100;Lid van paar (geen ouder);2012;2846.0;32.8;5.3;31.8;29.4;2555.0;36.1;5.8;34.9;30.1
