ID;BedrijfstakkenBranchesSBI2008;Marges;Perioden;TevredenMetArbeidsomstandigheden_1;TevredenMetWerk_2;LeeftijdWillenDoorwerken_3;LeeftijdInStaatDoorwerken_4;VoldoenAanFysiekeEisenWerk_5;VoldoenAanPsychischeEisenWerk_6;MakkelijkNieuweFunctieEigenWerkgever_7;MakkelijkNieuweBaanAndereWerkgever_8
34;A Landbouw, bosbouw en visserij;Waarde;2015;73.5;74.1;63.0;61.0;85.4;91.5;46.0;62.7
35;A Landbouw, bosbouw en visserij;Waarde;2016;72.8;75.9;61.7;60.3;90.0;91.6;47.9;63.2
36;A Landbouw, bosbouw en visserij;Waarde;2017;73.9;76.9;61.6;61.8;87.3;91.4;50.8;64.4
37;A Landbouw, bosbouw en visserij;Waarde;2018;71.4;75.8;62.0;60.7;86.1;90.4;46.6;68.3
38;A Landbouw, bosbouw en visserij;Waarde;2019;81.1;81.0;60.7;61.8;85.7;90.0;54.2;76.1
39;A Landbouw, bosbouw en visserij;Waarde;2020;78.8;81.7;61.2;61.6;93.7;94.1;56.1;73.1
40;A Landbouw, bosbouw en visserij;Waarde;2021;76.9;78.3;62.1;62.2;86.7;90.5;56.2;75.5
41;A Landbouw, bosbouw en visserij;Waarde;2022;80.3;81.6;63.6;61.5;89.6;92.7;55.5;82.0
42;A Landbouw, bosbouw en visserij;Waarde;2023;80.2;81.2;62.5;63.1;89.9;91.0;54.7;77.8
43;A Landbouw, bosbouw en visserij;Waarde;2024;80.7;82.4;62.9;62.0;88.5;91.3;57.3;79.1
44;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2014;72.5;73.2;60.5;57.3;85.5;89.3;43.6;54.9
45;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2015;69.1;69.7;61.6;59.3;81.5;88.2;41.3;58.0
46;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2016;68.2;71.5;59.8;58.5;86.6;88.3;43.2;58.5
47;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2017;69.5;72.6;59.9;60.4;83.7;87.9;46.1;59.8
48;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2018;67.3;71.9;60.5;59.2;82.7;87.4;42.4;64.3
49;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2019;77.4;77.4;59.0;60.4;82.3;87.0;49.8;72.2
50;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2020;75.0;78.0;59.6;60.1;91.1;91.3;51.8;69.2
51;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2021;72.7;74.3;60.6;60.8;83.0;87.1;51.5;71.2
52;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2022;76.6;78.1;62.3;60.1;86.7;90.1;51.2;78.6
53;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2023;76.8;77.9;61.2;61.8;87.1;88.3;50.7;74.3
54;A Landbouw, bosbouw en visserij;Ondergrens 95%-interval;2024;77.1;78.8;61.5;60.6;85.5;88.6;53.1;75.5
55;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2014;80.9;81.6;63.3;61.2;92.0;95.0;54.2;65.2
56;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2015;77.4;78.1;64.3;62.7;88.5;93.9;50.8;67.1
57;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2016;76.9;79.8;63.7;62.2;92.6;94.1;52.7;67.7
58;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2017;77.9;80.7;63.4;63.1;90.2;93.9;55.5;68.7
59;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2018;75.1;79.3;63.4;62.1;88.9;92.8;50.9;72.1
60;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2019;84.3;84.2;62.5;63.2;88.6;92.4;58.5;79.6
61;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2020;82.2;84.9;62.9;63.1;95.6;96.1;60.3;76.7
62;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2021;80.6;81.9;63.6;63.7;89.7;93.0;60.7;79.3
63;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2022;83.5;84.7;64.8;63.0;91.9;94.6;59.7;85.0
64;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2023;83.2;84.2;63.8;64.4;92.1;93.1;58.6;80.9
65;A Landbouw, bosbouw en visserij;Bovengrens 95%-interval;2024;83.9;85.4;64.3;63.3;90.9;93.5;61.4;82.3
66;B Delfstoffenwinning;Waarde;2014;;;;;;;;
67;B Delfstoffenwinning;Waarde;2015;83.7;83.2;63.3;63.3;95.8;95.4;61.4;69.1
68;B Delfstoffenwinning;Waarde;2016;84.6;84.3;63.0;64.2;94.1;95.2;57.9;68.8
69;B Delfstoffenwinning;Waarde;2017;76.6;76.7;62.4;64.1;95.6;90.5;54.7;73.6
70;B Delfstoffenwinning;Waarde;2018;75.0;81.2;61.8;63.7;93.4;92.0;59.6;72.3
71;B Delfstoffenwinning;Waarde;2019;83.2;86.4;63.7;64.1;93.5;93.4;61.2;70.5
72;B Delfstoffenwinning;Waarde;2020;78.7;78.7;64.2;64.7;94.1;92.7;56.6;75.1
73;B Delfstoffenwinning;Waarde;2021;79.1;82.5;63.3;65.2;95.1;95.7;57.9;78.0
74;B Delfstoffenwinning;Waarde;2022;80.8;80.0;63.7;65.3;94.1;89.6;63.5;80.2
75;B Delfstoffenwinning;Waarde;2023;79.7;80.7;62.7;66.0;94.6;95.8;63.9;85.5
76;B Delfstoffenwinning;Waarde;2024;79.2;81.2;63.7;65.4;93.0;91.7;60.5;83.2
77;B Delfstoffenwinning;Ondergrens 95%-interval;2014;;;;;;;;
78;B Delfstoffenwinning;Ondergrens 95%-interval;2015;76.7;76.0;61.4;62.1;92.7;92.3;53.5;61.7
79;B Delfstoffenwinning;Ondergrens 95%-interval;2016;78.5;78.1;62.2;63.1;88.5;91.1;50.0;61.6
80;B Delfstoffenwinning;Ondergrens 95%-interval;2017;67.9;69.2;61.3;62.9;91.6;85.0;46.6;66.4
81;B Delfstoffenwinning;Ondergrens 95%-interval;2018;67.6;74.8;60.6;62.4;87.9;86.9;51.7;64.6
82;B Delfstoffenwinning;Ondergrens 95%-interval;2019;76.4;80.4;62.9;62.9;89.4;87.9;52.4;62.7
83;B Delfstoffenwinning;Ondergrens 95%-interval;2020;69.7;70.0;63.4;63.7;89.2;87.7;48.6;68.5
84;B Delfstoffenwinning;Ondergrens 95%-interval;2021;69.3;74.3;62.1;64.2;89.2;91.7;48.3;69.3
85;B Delfstoffenwinning;Ondergrens 95%-interval;2022;73.8;72.8;63.0;64.3;89.0;84.6;55.8;72.8
86;B Delfstoffenwinning;Ondergrens 95%-interval;2023;71.6;72.6;61.2;64.0;89.4;91.1;55.3;79.0
87;B Delfstoffenwinning;Ondergrens 95%-interval;2024;71.0;73.6;62.5;64.1;87.2;85.7;52.3;75.8
88;B Delfstoffenwinning;Bovengrens 95%-interval;2014;;;;;;;;
89;B Delfstoffenwinning;Bovengrens 95%-interval;2015;88.9;88.5;65.1;64.4;97.6;97.2;68.8;75.6
90;B Delfstoffenwinning;Bovengrens 95%-interval;2016;89.3;89.0;63.7;65.2;97.1;97.4;65.4;75.1
91;B Delfstoffenwinning;Bovengrens 95%-interval;2017;83.5;82.9;63.5;65.3;97.7;94.2;62.6;79.7
92;B Delfstoffenwinning;Bovengrens 95%-interval;2018;81.1;86.2;62.9;65.0;96.5;95.2;67.0;78.9
93;B Delfstoffenwinning;Bovengrens 95%-interval;2019;88.4;90.9;64.5;65.3;96.2;96.5;69.3;77.2
94;B Delfstoffenwinning;Bovengrens 95%-interval;2020;85.6;85.4;65.1;65.8;96.8;95.8;64.3;80.7
95;B Delfstoffenwinning;Bovengrens 95%-interval;2021;86.3;88.5;64.4;66.3;97.8;97.8;66.8;84.8
96;B Delfstoffenwinning;Bovengrens 95%-interval;2022;86.3;85.7;64.4;66.4;96.9;93.2;70.5;86.0
97;B Delfstoffenwinning;Bovengrens 95%-interval;2023;85.9;86.8;64.2;67.9;97.4;98.1;71.6;90.3
98;B Delfstoffenwinning;Bovengrens 95%-interval;2024;85.6;87.0;64.9;66.7;96.3;95.3;68.1;88.7
99;B-E Nijverheid (geen bouw) en energie;Waarde;2014;72.8;75.0;63.3;63.1;88.8;89.6;48.1;50.6
100;B-E Nijverheid (geen bouw) en energie;Waarde;2015;73.0;74.7;63.5;63.4;86.8;89.5;48.0;51.1
101;B-E Nijverheid (geen bouw) en energie;Waarde;2016;71.5;74.0;63.3;62.9;88.3;90.3;48.5;54.0
102;B-E Nijverheid (geen bouw) en energie;Waarde;2017;71.9;74.3;63.2;62.5;86.6;88.3;49.6;59.3
103;B-E Nijverheid (geen bouw) en energie;Waarde;2018;70.9;73.5;63.3;63.1;87.2;88.9;50.0;64.4
104;B-E Nijverheid (geen bouw) en energie;Waarde;2019;73.4;76.0;63.3;63.4;86.3;88.5;50.1;64.1
105;B-E Nijverheid (geen bouw) en energie;Waarde;2020;73.9;76.9;63.6;63.9;89.4;91.0;52.1;64.4
106;B-E Nijverheid (geen bouw) en energie;Waarde;2021;75.3;76.8;63.1;63.9;88.0;88.7;53.9;69.7
107;B-E Nijverheid (geen bouw) en energie;Waarde;2022;74.9;76.1;63.5;63.6;89.7;89.0;56.5;76.1
108;B-E Nijverheid (geen bouw) en energie;Waarde;2023;75.1;77.1;63.7;64.2;89.5;89.8;57.8;77.0
109;B-E Nijverheid (geen bouw) en energie;Waarde;2024;76.8;78.0;63.6;63.8;89.7;89.4;58.5;76.7
110;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2014;71.4;73.7;63.1;62.8;87.8;88.6;46.7;49.1
111;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2015;71.7;73.4;63.3;63.1;85.8;88.5;46.6;49.7
112;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2016;70.3;72.7;63.1;62.6;87.4;89.5;47.2;52.7
113;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2017;70.6;73.0;62.9;62.2;85.6;87.4;48.2;57.9
114;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2018;69.8;72.5;63.1;62.9;86.4;88.1;48.8;63.3
115;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2019;72.2;74.8;63.1;63.1;85.4;87.7;48.8;62.8
116;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2020;72.7;75.8;63.4;63.6;88.5;90.2;50.8;63.1
117;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2021;74.0;75.5;62.8;63.6;87.0;87.7;52.5;68.4
118;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2022;73.8;75.0;63.3;63.3;88.9;88.2;55.2;75.0
119;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2023;74.0;75.9;63.5;63.9;88.7;89.0;56.5;75.9
120;B-E Nijverheid (geen bouw) en energie;Ondergrens 95%-interval;2024;75.7;76.9;63.4;63.5;88.9;88.5;57.3;75.6
121;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2014;74.1;76.3;63.6;63.4;89.8;90.5;49.6;52.1
122;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2015;74.2;75.9;63.7;63.7;87.7;90.3;49.4;52.5
123;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2016;72.7;75.1;63.5;63.2;89.2;91.1;49.9;55.4
124;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2017;73.1;75.5;63.4;62.8;87.5;89.2;51.0;60.6
125;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2018;72.0;74.6;63.5;63.4;88.0;89.6;51.2;65.5
126;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2019;74.5;77.1;63.5;63.6;87.2;89.4;51.3;65.3
127;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2020;75.0;78.0;63.9;64.2;90.2;91.7;53.4;65.6
128;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2021;76.5;77.9;63.4;64.2;88.9;89.6;55.3;71.0
129;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2022;76.1;77.3;63.7;63.9;90.5;89.8;57.7;77.2
130;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2023;76.3;78.2;64.0;64.5;90.3;90.6;59.1;78.0
131;B-E Nijverheid (geen bouw) en energie;Bovengrens 95%-interval;2024;77.9;79.1;63.8;64.1;90.5;90.2;59.8;77.8
132;B-F Nijverheid en energie;Waarde;2014;72.8;75.6;63.2;62.8;88.7;90.0;48.1;51.8
133;B-F Nijverheid en energie;Waarde;2015;73.3;75.5;63.4;63.0;86.6;89.6;47.7;53.8
134;B-F Nijverheid en energie;Waarde;2016;72.6;75.1;63.2;62.7;88.1;90.5;48.9;57.3
135;B-F Nijverheid en energie;Waarde;2017;72.3;75.1;63.1;62.4;86.3;88.5;49.8;62.4
136;B-F Nijverheid en energie;Waarde;2018;72.0;75.1;63.2;62.9;87.2;89.2;50.9;67.2
137;B-F Nijverheid en energie;Waarde;2019;74.3;77.0;63.2;63.1;86.2;89.0;50.7;66.9
138;B-F Nijverheid en energie;Waarde;2020;75.0;78.3;63.6;63.8;89.7;91.4;53.3;67.4
139;B-F Nijverheid en energie;Waarde;2021;76.6;78.5;63.1;63.7;88.1;89.3;55.5;72.6
140;B-F Nijverheid en energie;Waarde;2022;76.2;77.7;63.5;63.5;89.6;89.8;57.2;78.6
141;B-F Nijverheid en energie;Waarde;2023;76.7;78.8;63.7;64.0;89.5;89.9;58.5;78.9
142;B-F Nijverheid en energie;Waarde;2024;77.8;79.3;63.6;63.7;89.7;89.9;59.8;79.3
143;B-F Nijverheid en energie;Ondergrens 95%-interval;2014;71.7;74.5;63.0;62.5;87.8;89.1;46.8;50.6
144;B-F Nijverheid en energie;Ondergrens 95%-interval;2015;72.2;74.4;63.2;62.8;85.7;88.8;46.5;52.6
145;B-F Nijverheid en energie;Ondergrens 95%-interval;2016;71.5;74.0;63.0;62.5;87.3;89.8;47.7;56.1
146;B-F Nijverheid en energie;Ondergrens 95%-interval;2017;71.2;74.0;62.9;62.2;85.5;87.7;48.6;61.2
147;B-F Nijverheid en energie;Ondergrens 95%-interval;2018;71.1;74.2;63.1;62.7;86.5;88.6;49.8;66.2
148;B-F Nijverheid en energie;Ondergrens 95%-interval;2019;73.4;76.1;63.1;62.9;85.4;88.2;49.6;65.9
149;B-F Nijverheid en energie;Ondergrens 95%-interval;2020;74.0;77.4;63.4;63.5;89.0;90.7;52.1;66.4
150;B-F Nijverheid en energie;Ondergrens 95%-interval;2021;75.6;77.5;62.9;63.5;87.3;88.5;54.3;71.6
151;B-F Nijverheid en energie;Ondergrens 95%-interval;2022;75.3;76.8;63.3;63.2;88.9;89.1;56.1;77.7
152;B-F Nijverheid en energie;Ondergrens 95%-interval;2023;75.7;77.9;63.5;63.8;88.8;89.2;57.4;78.0
153;B-F Nijverheid en energie;Ondergrens 95%-interval;2024;76.8;78.4;63.4;63.5;89.0;89.3;58.8;78.4
154;B-F Nijverheid en energie;Bovengrens 95%-interval;2014;74.0;76.7;63.4;63.1;89.5;90.7;49.4;53.1
155;B-F Nijverheid en energie;Bovengrens 95%-interval;2015;74.4;76.5;63.6;63.2;87.4;90.3;48.9;55.0
156;B-F Nijverheid en energie;Bovengrens 95%-interval;2016;73.6;76.1;63.3;63.0;88.9;91.2;50.1;58.5
157;B-F Nijverheid en energie;Bovengrens 95%-interval;2017;73.3;76.1;63.3;62.7;87.1;89.3;51.0;63.5
158;B-F Nijverheid en energie;Bovengrens 95%-interval;2018;72.9;76.0;63.4;63.1;87.8;89.9;51.9;68.1
159;B-F Nijverheid en energie;Bovengrens 95%-interval;2019;75.3;78.0;63.4;63.3;86.9;89.6;51.8;67.9
160;B-F Nijverheid en energie;Bovengrens 95%-interval;2020;75.9;79.3;63.8;64.0;90.4;92.0;54.4;68.5
161;B-F Nijverheid en energie;Bovengrens 95%-interval;2021;77.6;79.5;63.3;64.0;88.9;90.0;56.7;73.7
162;B-F Nijverheid en energie;Bovengrens 95%-interval;2022;77.2;78.6;63.7;63.7;90.3;90.4;58.3;79.5
163;B-F Nijverheid en energie;Bovengrens 95%-interval;2023;77.6;79.7;63.9;64.2;90.2;90.6;59.6;79.7
164;B-F Nijverheid en energie;Bovengrens 95%-interval;2024;78.7;80.2;63.7;63.9;90.3;90.6;60.9;80.1
165;C Industrie;Waarde;2014;72.3;74.8;63.3;63.1;88.3;89.5;47.8;50.2
166;C Industrie;Waarde;2015;72.5;74.4;63.5;63.3;86.5;89.2;47.4;50.6
167;C Industrie;Waarde;2016;71.0;73.7;63.3;62.8;88.0;90.1;48.1;53.7
168;C Industrie;Waarde;2017;71.4;74.1;63.2;62.5;86.2;88.4;49.0;58.7
169;C Industrie;Waarde;2018;70.5;73.2;63.3;63.0;86.8;88.6;49.5;64.0
170;C Industrie;Waarde;2019;72.8;75.5;63.3;63.3;85.8;88.4;49.0;63.4
171;C Industrie;Waarde;2020;73.2;76.6;63.6;63.9;89.1;90.7;51.2;64.0
172;C Industrie;Waarde;2021;74.8;76.4;63.2;63.8;87.6;88.2;52.8;69.0
173;C Industrie;Waarde;2022;74.2;75.6;63.5;63.5;89.3;88.9;54.9;75.5
174;C Industrie;Waarde;2023;74.4;76.4;63.8;64.1;89.1;89.7;56.6;76.6
175;C Industrie;Waarde;2024;76.2;77.6;63.6;63.7;89.3;89.0;57.2;76.2
176;C Industrie;Ondergrens 95%-interval;2014;70.8;73.4;63.1;62.8;87.2;88.5;46.3;48.7
177;C Industrie;Ondergrens 95%-interval;2015;71.1;73.1;63.2;63.0;85.5;88.2;46.0;49.1
178;C Industrie;Ondergrens 95%-interval;2016;69.6;72.4;63.1;62.5;87.0;89.2;46.6;52.3
179;C Industrie;Ondergrens 95%-interval;2017;70.0;72.8;62.9;62.2;85.2;87.4;47.6;57.3
180;C Industrie;Ondergrens 95%-interval;2018;69.3;72.1;63.1;62.7;85.9;87.8;48.3;62.8
181;C Industrie;Ondergrens 95%-interval;2019;71.5;74.3;63.0;63.0;84.9;87.5;47.7;62.1
182;C Industrie;Ondergrens 95%-interval;2020;72.0;75.4;63.4;63.6;88.1;89.8;49.9;62.7
183;C Industrie;Ondergrens 95%-interval;2021;73.4;75.1;62.9;63.5;86.6;87.2;51.3;67.6
184;C Industrie;Ondergrens 95%-interval;2022;72.9;74.4;63.2;63.1;88.4;88.0;53.5;74.3
185;C Industrie;Ondergrens 95%-interval;2023;73.2;75.2;63.6;63.8;88.2;88.8;55.2;75.4
186;C Industrie;Ondergrens 95%-interval;2024;75.0;76.4;63.4;63.4;88.4;88.1;55.9;75.1
187;C Industrie;Bovengrens 95%-interval;2014;73.6;76.1;63.6;63.4;89.3;90.5;49.4;51.8
188;C Industrie;Bovengrens 95%-interval;2015;73.8;75.7;63.7;63.6;87.5;90.1;48.9;52.1
189;C Industrie;Bovengrens 95%-interval;2016;72.2;75.0;63.5;63.1;88.9;90.9;49.5;55.1
190;C Industrie;Bovengrens 95%-interval;2017;72.7;75.4;63.4;62.8;87.2;89.3;50.5;60.1
191;C Industrie;Bovengrens 95%-interval;2018;71.6;74.3;63.5;63.3;87.6;89.4;50.8;65.1
192;C Industrie;Bovengrens 95%-interval;2019;74.0;76.7;63.5;63.6;86.8;89.2;50.4;64.7
193;C Industrie;Bovengrens 95%-interval;2020;74.5;77.8;63.9;64.2;89.9;91.4;52.6;65.3
194;C Industrie;Bovengrens 95%-interval;2021;76.1;77.6;63.4;64.1;88.6;89.2;54.3;70.3
195;C Industrie;Bovengrens 95%-interval;2022;75.4;76.9;63.8;63.8;90.2;89.8;56.3;76.7
196;C Industrie;Bovengrens 95%-interval;2023;75.6;77.6;64.0;64.4;90.0;90.5;58.0;77.7
197;C Industrie;Bovengrens 95%-interval;2024;77.3;78.8;63.8;64.0;90.1;89.9;58.6;77.4
198;10-12 Voedings-, genotmiddelenindustrie;Waarde;2014;71.6;73.5;62.6;62.0;86.5;90.0;46.5;52.1
199;10-12 Voedings-, genotmiddelenindustrie;Waarde;2015;74.2;76.2;63.0;62.1;86.6;91.2;44.4;49.9
200;10-12 Voedings-, genotmiddelenindustrie;Waarde;2016;70.0;73.9;62.4;61.7;86.9;88.4;50.7;60.5
201;10-12 Voedings-, genotmiddelenindustrie;Waarde;2017;71.6;74.1;62.1;61.6;86.2;89.8;48.6;60.2
202;10-12 Voedings-, genotmiddelenindustrie;Waarde;2018;66.7;71.5;62.6;62.2;87.1;90.4;48.5;67.1
203;10-12 Voedings-, genotmiddelenindustrie;Waarde;2019;74.2;77.0;62.2;62.8;83.7;88.5;48.8;67.1
204;10-12 Voedings-, genotmiddelenindustrie;Waarde;2020;72.8;76.2;63.3;62.9;88.5;91.0;53.5;67.4
205;10-12 Voedings-, genotmiddelenindustrie;Waarde;2021;73.6;75.7;62.3;62.6;87.0;87.9;50.7;73.0
206;10-12 Voedings-, genotmiddelenindustrie;Waarde;2022;73.6;74.1;62.2;62.0;88.4;88.3;53.9;77.8
207;10-12 Voedings-, genotmiddelenindustrie;Waarde;2023;73.6;74.8;63.4;63.1;89.0;90.6;55.0;79.6
208;10-12 Voedings-, genotmiddelenindustrie;Waarde;2024;73.8;74.5;63.1;62.4;86.8;88.7;55.6;79.5
209;10-12 Voedings-, genotmiddelenindustrie;Ondergrens 95%-interval;2014;67.7;69.6;61.8;61.1;83.2;86.9;42.4;47.9
210;10-12 Voedings-, genotmiddelenindustrie;Ondergrens 95%-interval;2015;70.8;72.8;62.2;61.1;83.8;88.7;40.7;46.2
211;10-12 Voedings-, genotmiddelenindustrie;Ondergrens 95%-interval;2016;66.5;70.5;61.7;60.7;84.1;85.6;47.0;56.8
212;10-12 Voedings-, genotmiddelenindustrie;Ondergrens 95%-interval;2017;68.2;70.8;61.1;60.7;83.5;87.1;44.9;56.5
213;10-12 Voedings-, genotmiddelenindustrie;Ondergrens 95%-interval;2018;63.6;68.5;61.9;61.5;84.8;88.3;45.3;64.0
214;10-12 Voedings-, genotmiddelenindustrie;Ondergrens 95%-interval;2019;71.2;74.1;61.4;62.1;81.1;86.1;45.5;63.9
215;10-12 Voedings-, genotmiddelenindustrie;Ondergrens 95%-interval;2020;69.5;73.0;62.6;62.1;86.0;88.6;50.0;64.0
216;10-12 Voedings-, genotmiddelenindustrie;Ondergrens 95%-interval;2021;70.3;72.5;61.5;61.8;84.3;85.3;47.2;69.8
217;10-12 Voedings-, genotmiddelenindustrie;Ondergrens 95%-interval;2022;70.5;71.0;61.3;61.1;86.1;85.8;50.5;74.9
218;10-12 Voedings-, genotmiddelenindustrie;Ondergrens 95%-interval;2023;70.4;71.7;62.8;62.3;86.7;88.4;51.7;76.8
219;10-12 Voedings-, genotmiddelenindustrie;Ondergrens 95%-interval;2024;70.8;71.5;62.5;61.6;84.4;86.5;52.3;76.7
220;10-12 Voedings-, genotmiddelenindustrie;Bovengrens 95%-interval;2014;75.3;77.0;63.4;62.9;89.2;92.4;50.7;56.2
