ID;Geslacht;Leeftijd;Herkomstgroepering;Arbeidsmarktpositie;Perioden;PersonenMetEenUitkeringTotaal_1;MetAOUitkeringTotaal_2;MetWAOWIAUitkeringTotaal_3;GedeeltelijkArbeidsongeschikt_4;VolledigArbeidsongeschikt_5;MetWAZUitkeringTotaal_6;GedeeltelijkArbeidsongeschikt_7;VolledigArbeidsongeschikt_8;MetWAJONGUitkeringTotaal_9;GedeeltelijkArbeidsongeschikt_10;VolledigArbeidsongeschikt_11;PersonenMetEenWWUitkering_12;PersonenMetEenBijstandsuitkering_13;PersonenMetEenAndereUitkering_14
0;Totaal mannen en vrouwen;0;0;0;1999, vrijdag 24 september;1744.2;855.2;694.0;200.7;492.8;47.5;18.9;28.5;113.8;2.3;111.5;174.7;436.3;420.6
1;Totaal mannen en vrouwen;0;0;0;2000, vrijdag 29 september;1683.7;876.0;712.0;207.9;503.6;48.6;18.4;30.2;115.4;2.3;113.1;145.5;403.7;403.3
2;Totaal mannen en vrouwen;0;0;0;2001, vrijdag 28 september;1663.6;895.6;730.1;222.8;506.8;47.9;17.5;30.3;117.6;2.3;115.3;130.3;382.7;404.1
3;Totaal mannen en vrouwen;0;0;0;2002, vrijdag 27 september;1670.7;912.0;743.9;233.5;509.8;47.2;17.0;30.2;120.8;2.5;118.4;150.3;375.9;395.5
4;Totaal mannen en vrouwen;0;0;0;2003, vrijdag 26 september;1728.0;906.1;734.8;235.1;499.0;46.6;16.7;29.7;124.7;2.7;122.0;213.1;392.0;397.0
5;Totaal mannen en vrouwen;0;0;0;2004, vrijdag 24 september;1750.5;892.5;717.8;233.7;483.4;45.6;16.6;28.9;129.2;2.9;126.3;253.6;398.4;396.2
6;Totaal mannen en vrouwen;0;0;0;2005, vrijdag 30 september;1726.6;848.3;670.6;219.7;450.1;43.8;16.3;27.3;133.9;3.0;130.9;251.3;399.4;439.7
7;Totaal mannen en vrouwen;0;0;0;2006, vrijdag 29 september;1670.7;796.3;617.1;196.3;420.5;37.3;13.5;23.5;141.9;2.9;138.9;214.6;373.9;477.1
8;Totaal mannen en vrouwen;0;0;0;2007, vrijdag 28 september;1530.2;781.4;594.5;182.2;411.7;35.2;12.5;22.4;151.8;2.9;148.9;164.5;338.3;
9;Totaal mannen en vrouwen;0;0;0;2008, vrijdag 26 september;1475.5;772.0;579.4;200.0;378.7;31.8;11.1;20.3;160.8;3.0;157.8;134.4;320.7;
10;Totaal mannen en vrouwen;0;0;1;1999, vrijdag 24 september;516.8;255.1;205.6;130.3;75.0;21.2;13.5;7.7;28.3;1.6;26.7;54.9;54.8;188.9
11;Totaal mannen en vrouwen;0;0;1;2000, vrijdag 29 september;502.3;267.6;216.1;136.9;78.9;21.9;13.0;8.9;29.6;1.6;28.0;42.6;48.8;182.4
12;Totaal mannen en vrouwen;0;0;1;2001, vrijdag 28 september;504.3;280.8;229.6;149.2;80.2;20.8;12.0;8.8;30.4;1.6;28.8;35.7;43.6;186.2
13;Totaal mannen en vrouwen;0;0;1;2002, vrijdag 27 september;499.8;288.0;236.1;156.4;79.5;20.4;11.6;8.8;31.5;1.7;29.8;42.3;41.8;175.1
14;Totaal mannen en vrouwen;0;0;1;2003, vrijdag 26 september;492.9;275.4;223.0;152.7;70.1;20.6;11.6;8.9;31.8;1.8;30.0;53.4;39.1;174.8
15;Totaal mannen en vrouwen;0;0;1;2004, vrijdag 24 september;479.2;258.0;206.1;145.1;60.8;19.9;11.4;8.5;31.9;1.9;30.0;62.4;36.9;171.9
16;Totaal mannen en vrouwen;0;0;1;2005, vrijdag 30 september;475.1;236.3;184.0;133.4;50.3;19.7;11.4;8.1;32.7;1.9;30.8;65.9;39.1;190.2
17;Totaal mannen en vrouwen;0;0;1;2006, vrijdag 29 september;494.1;211.0;159.4;117.3;42.1;16.2;9.3;6.6;35.4;1.9;33.5;59.8;40.1;233.8
18;Totaal mannen en vrouwen;0;0;1;2007, vrijdag 28 september;464.8;219.0;165.0;112.7;52.1;15.6;8.7;6.6;38.4;1.8;36.5;48.3;36.4;
19;Totaal mannen en vrouwen;0;0;1;2008, vrijdag 26 september;428.9;201.5;148.4;111.0;37.1;13.7;7.7;5.7;39.4;1.9;37.5;38.5;33.1;
20;Totaal mannen en vrouwen;0;0;2;1999, vrijdag 24 september;462.1;223.0;191.0;123.2;67.6;4.1;2.7;1.4;27.8;1.5;26.3;48.9;50.0;174.0
21;Totaal mannen en vrouwen;0;0;2;2000, vrijdag 29 september;448.0;235.0;201.1;129.7;71.2;4.8;3.1;1.7;29.1;1.5;27.6;37.4;44.6;166.7
22;Totaal mannen en vrouwen;0;0;2;2001, vrijdag 28 september;451.0;249.3;214.2;141.8;72.3;5.1;3.3;1.8;30.0;1.6;28.4;31.2;39.5;169.7
23;Totaal mannen en vrouwen;0;0;2;2002, vrijdag 27 september;448.3;257.3;220.8;148.8;71.8;5.4;3.5;1.9;31.0;1.6;29.4;37.2;38.2;159.2
24;Totaal mannen en vrouwen;0;0;2;2003, vrijdag 26 september;438.6;244.5;207.6;144.8;62.6;5.6;3.7;1.9;31.3;1.7;29.6;45.8;35.0;158.8
25;Totaal mannen en vrouwen;0;0;2;2004, vrijdag 24 september;425.6;228.4;191.4;137.0;54.2;5.5;3.7;1.8;31.5;1.8;29.7;53.4;33.1;156.1
26;Totaal mannen en vrouwen;0;0;2;2005, vrijdag 30 september;420.6;207.0;169.4;125.3;43.8;5.5;3.7;1.8;32.2;1.8;30.4;56.9;34.7;172.8
27;Totaal mannen en vrouwen;0;0;2;2006, vrijdag 29 september;440.1;185.1;145.5;109.3;36.1;4.8;3.2;1.5;34.9;1.8;33.1;50.3;35.9;213.9
28;Totaal mannen en vrouwen;0;0;2;2007, vrijdag 28 september;415.4;194.0;151.4;104.9;46.3;4.7;3.1;1.6;37.8;1.8;36.1;40.8;32.2;
29;Totaal mannen en vrouwen;0;0;2;2008, vrijdag 26 september;379.9;177.2;134.2;102.5;31.5;4.2;2.8;1.3;38.7;1.8;36.9;32.4;29.0;
30;Totaal mannen en vrouwen;0;0;3;1999, vrijdag 24 september;46.6;44.7;24.0;10.9;13.1;0.2;0.1;0.1;20.6;0.1;20.4;0.2;0.7;2.5
31;Totaal mannen en vrouwen;0;0;3;2000, vrijdag 29 september;48.0;45.8;24.5;10.7;13.8;0.2;0.1;0.1;21.1;0.1;20.9;0.2;0.9;3.0
32;Totaal mannen en vrouwen;0;0;3;2001, vrijdag 28 september;48.8;46.3;24.8;10.6;14.2;0.2;0.1;0.1;21.4;0.1;21.2;0.2;1.1;3.3
33;Totaal mannen en vrouwen;0;0;3;2002, vrijdag 27 september;49.0;46.1;24.5;10.3;14.1;0.1;0.0;0.1;21.5;0.1;21.4;0.2;1.4;3.7
34;Totaal mannen en vrouwen;0;0;3;2003, vrijdag 26 september;48.1;45.3;23.7;10.1;13.7;0.1;0.0;0.1;21.4;0.2;21.2;0.3;1.4;3.8
35;Totaal mannen en vrouwen;0;0;3;2004, vrijdag 24 september;49.0;46.2;24.3;10.4;13.8;0.1;0.1;0.1;21.8;0.2;21.6;0.4;1.4;4.1
36;Totaal mannen en vrouwen;0;0;3;2005, vrijdag 30 september;48.1;45.1;22.9;10.0;12.9;0.1;0.1;0.1;22.1;0.2;21.9;0.5;1.4;6.0
37;Totaal mannen en vrouwen;0;0;3;2006, vrijdag 29 september;45.0;41.7;20.3;8.8;11.5;0.1;0.0;0.1;21.2;0.2;21.1;0.4;1.3;5.5
38;Totaal mannen en vrouwen;0;0;3;2007, vrijdag 28 september;45.2;42.1;20.0;8.5;11.5;0.1;0.0;0.1;22.0;0.2;21.8;0.4;1.5;
39;Totaal mannen en vrouwen;0;0;3;2008, vrijdag 26 september;46.8;43.0;20.6;9.2;11.4;0.1;0.0;0.1;22.3;0.2;22.1;0.3;1.9;
40;Totaal mannen en vrouwen;0;0;4;1999, vrijdag 24 september;64.8;36.2;17.7;9.3;8.3;17.9;11.4;6.5;0.6;0.1;0.4;7.8;5.4;19.2
41;Totaal mannen en vrouwen;0;0;4;2000, vrijdag 29 september;64.6;37.0;18.4;9.7;8.7;18.0;10.5;7.4;0.6;0.1;0.4;6.6;4.6;20.5
42;Totaal mannen en vrouwen;0;0;4;2001, vrijdag 28 september;64.4;36.2;19.1;10.1;8.9;16.7;9.4;7.2;0.5;0.1;0.4;5.8;4.5;22.2
43;Totaal mannen en vrouwen;0;0;4;2002, vrijdag 27 september;61.4;35.4;18.9;10.2;8.6;15.9;8.8;7.2;0.5;0.1;0.4;6.4;3.8;20.4
44;Totaal mannen en vrouwen;0;0;4;2003, vrijdag 26 september;64.2;35.2;18.7;10.4;8.3;15.9;8.5;7.3;0.5;0.1;0.4;9.0;4.4;20.7
45;Totaal mannen en vrouwen;0;0;4;2004, vrijdag 24 september;62.2;33.1;17.4;10.1;7.3;15.2;8.3;6.8;0.5;0.1;0.4;10.6;4.0;19.8
46;Totaal mannen en vrouwen;0;0;4;2005, vrijdag 30 september;63.7;32.6;17.1;10.1;6.9;15.0;8.3;6.6;0.5;0.1;0.4;10.5;4.7;22.3
47;Totaal mannen en vrouwen;0;0;4;2006, vrijdag 29 september;64.4;28.9;16.2;9.8;6.4;12.1;6.6;5.3;0.6;0.1;0.5;11.2;4.5;26.1
48;Totaal mannen en vrouwen;0;0;4;2007, vrijdag 28 september;59.1;28.2;16.0;9.6;6.3;11.6;6.1;5.3;0.6;0.1;0.6;8.8;4.5;
49;Totaal mannen en vrouwen;0;0;4;2008, vrijdag 26 september;57.7;27.0;16.1;10.1;5.9;10.1;5.3;4.6;0.7;0.1;0.6;7.1;4.4;
50;Totaal mannen en vrouwen;0;0;5;1999, vrijdag 24 september;1227.4;600.1;488.5;70.4;417.7;26.2;5.4;20.8;85.4;0.7;84.8;119.8;381.5;231.6
51;Totaal mannen en vrouwen;0;0;5;2000, vrijdag 29 september;1181.4;608.4;495.9;70.9;424.7;26.7;5.4;21.2;85.8;0.6;85.2;102.9;354.9;220.9
52;Totaal mannen en vrouwen;0;0;5;2001, vrijdag 28 september;1159.2;614.8;500.5;73.6;426.6;27.1;5.5;21.5;87.2;0.7;86.5;94.6;339.1;217.9
53;Totaal mannen en vrouwen;0;0;5;2002, vrijdag 27 september;1170.9;623.9;507.8;77.1;430.3;26.8;5.4;21.4;89.3;0.8;88.6;108.0;334.2;220.4
54;Totaal mannen en vrouwen;0;0;5;2003, vrijdag 26 september;1235.1;630.7;511.8;82.4;428.9;26.0;5.2;20.8;92.9;0.9;92.1;159.8;353.0;222.2
55;Totaal mannen en vrouwen;0;0;5;2004, vrijdag 24 september;1271.2;634.6;511.7;88.7;422.5;25.6;5.2;20.4;97.2;1.0;96.2;191.2;361.5;224.3
56;Totaal mannen en vrouwen;0;0;5;2005, vrijdag 30 september;1251.6;612.0;486.6;86.3;399.8;24.1;4.9;19.2;101.2;1.1;100.1;185.5;360.3;249.5
57;Totaal mannen en vrouwen;0;0;5;2006, vrijdag 29 september;1176.5;585.3;457.6;79.1;378.4;21.1;4.2;16.9;106.5;1.1;105.4;154.8;333.9;243.3
58;Totaal mannen en vrouwen;0;0;5;2007, vrijdag 28 september;1065.4;562.4;429.4;69.5;359.6;19.6;3.8;15.8;113.4;1.1;112.3;116.3;302.0;
59;Totaal mannen en vrouwen;0;0;5;2008, vrijdag 26 september;1046.6;570.5;431.1;89.0;341.6;18.1;3.4;14.6;121.4;1.1;120.3;95.9;287.7;
60;Totaal mannen en vrouwen;0;1;0;1999, vrijdag 24 september;1301.5;709.2;567.4;169.8;397.1;43.6;17.8;25.8;98.2;2.1;96.1;137.1;231.8;335.5
61;Totaal mannen en vrouwen;0;1;0;2000, vrijdag 29 september;1253.6;723.0;578.9;175.4;402.9;44.6;17.3;27.2;99.5;2.0;97.4;113.5;209.6;321.8
62;Totaal mannen en vrouwen;0;1;0;2001, vrijdag 28 september;1235.6;736.0;591.1;187.1;403.5;43.8;16.5;27.3;101.0;2.1;98.9;100.6;193.9;321.7
63;Totaal mannen en vrouwen;0;1;0;2002, vrijdag 27 september;1234.7;746.6;600.0;195.2;404.3;43.2;15.9;27.3;103.4;2.2;101.2;112.8;186.4;316.6
64;Totaal mannen en vrouwen;0;1;0;2003, vrijdag 26 september;1265.8;739.6;590.7;195.7;394.4;42.6;15.6;26.8;106.4;2.4;104.0;157.2;191.0;318.9
65;Totaal mannen en vrouwen;0;1;0;2004, vrijdag 24 september;1276.1;727.1;575.7;193.8;381.3;41.6;15.5;26.0;109.8;2.6;107.3;186.1;192.8;319.5
66;Totaal mannen en vrouwen;0;1;0;2005, vrijdag 30 september;1257.1;691.9;538.4;182.4;355.3;40.0;15.2;24.6;113.6;2.6;110.9;186.3;193.1;354.7
67;Totaal mannen en vrouwen;0;1;0;2006, vrijdag 29 september;1213.3;649.7;496.1;163.6;332.3;33.9;12.6;21.0;119.8;2.6;117.2;161.4;178.8;376.0
