ID;Geslacht;Leeftijd;Onderwijssoort;Migratieachtergrond;Perioden;Examenkandidaten_1;Gediplomeerden_2;GediplomeerdenRelatief_3
0;Totaal mannen en vrouwen;Totaal;Vwo;Totaal migratieachtergrond;2005/'06;31633;29287;93
1;Totaal mannen en vrouwen;Totaal;Vwo;Totaal migratieachtergrond;2006/'07;32961;30331;92
2;Totaal mannen en vrouwen;Totaal;Vwo;Totaal migratieachtergrond;2007/'08;35150;32398;92
3;Totaal mannen en vrouwen;Totaal;Vwo;Totaal migratieachtergrond;2008/'09;37434;34078;91
4;Totaal mannen en vrouwen;Totaal;Vwo;Totaal migratieachtergrond;2009/'10;35385;31572;89
5;Totaal mannen en vrouwen;Totaal;Vwo;Totaal migratieachtergrond;2010/'11;36763;32641;89
6;Totaal mannen en vrouwen;Totaal;Vwo;Totaal migratieachtergrond;2011/'12;36755;32089;87
7;Totaal mannen en vrouwen;Totaal;Vwo;Totaal migratieachtergrond;2012/'13;35733;32842;92
8;Totaal mannen en vrouwen;Totaal;Vwo;Totaal migratieachtergrond;2013/'14;35450;31816;90
9;Totaal mannen en vrouwen;Totaal;Vwo;Totaal migratieachtergrond;2014/'15;35946;33182;92
10;Totaal mannen en vrouwen;Totaal;Vwo;Totaal migratieachtergrond;2015/'16;35844;32677;91
11;Totaal mannen en vrouwen;Totaal;Vwo;Totaal migratieachtergrond;2016/'17;37899;34478;91
12;Totaal mannen en vrouwen;Totaal;Vwo;Totaal migratieachtergrond;2017/'18;38488;35221;92
13;Totaal mannen en vrouwen;Totaal;Vwo;Totaal migratieachtergrond;2018/'19;38690;35094;91
14;Totaal mannen en vrouwen;Totaal;Vwo;Totaal migratieachtergrond;2019/'20;38871;38462;99
15;Totaal mannen en vrouwen;Totaal;Vwo;Totaal migratieachtergrond;2020/'21;39149;36793;94
16;Totaal mannen en vrouwen;Totaal;Vwo;Nederlandse achtergrond;2005/'06;26439;24754;94
17;Totaal mannen en vrouwen;Totaal;Vwo;Nederlandse achtergrond;2006/'07;27442;25581;93
18;Totaal mannen en vrouwen;Totaal;Vwo;Nederlandse achtergrond;2007/'08;29400;27474;93
19;Totaal mannen en vrouwen;Totaal;Vwo;Nederlandse achtergrond;2008/'09;31277;28875;92
20;Totaal mannen en vrouwen;Totaal;Vwo;Nederlandse achtergrond;2009/'10;29844;27031;91
21;Totaal mannen en vrouwen;Totaal;Vwo;Nederlandse achtergrond;2010/'11;30983;27878;90
22;Totaal mannen en vrouwen;Totaal;Vwo;Nederlandse achtergrond;2011/'12;30803;27414;89
