ID;Geslacht;Leeftijd;DiagnosenGGZ;RegioS;Perioden;PrimaireDiagnosen_1;PrimaireOfNevendiagnosen_2;PrimaireDiagnosen_3;PrimaireOfNevendiagnosen_4
0;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Nederland;2011;1226290.0;1226290;7347.0;7347
1;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Nederland;2012;1136755.0;1136755;6784.0;6784
2;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Nederland;2013;1140605.0;1140605;6789.0;6789
3;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Nederland;2014;1008715.0;1008805;5982.0;5982
4;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Nederland;2015;701340.0;701645;4142.0;4144
5;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Nederland;2016;702635.0;698445;4127.0;4103
6;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Noord-Nederland (LD);2011;133525.0;133525;7771.0;7771
7;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Noord-Nederland (LD);2012;126110.0;126110;7343.0;7343
8;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Noord-Nederland (LD);2013;128880.0;128880;7505.0;7505
9;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Noord-Nederland (LD);2014;116850.0;116895;6802.0;6804
10;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Noord-Nederland (LD);2015;81435.0;81375;4740.0;4737
11;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Noord-Nederland (LD);2016;81450.0;80735;4738.0;4697
12;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Oost-Nederland (LD);2011;239270.0;239270;6763.0;6763
13;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Oost-Nederland (LD);2012;222375.0;222375;6267.0;6267
14;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Oost-Nederland (LD);2013;222960.0;222960;6270.0;6270
15;Totaal mannen en vrouwen;10000;Totaal alle diagnosen;Oost-Nederland (LD);2014;193180.0;193195;5420.0;5421
