ID;Geslacht;Leeftijd;RegioS;Perioden;Verkeersdoden_1
0;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1996;1251
1;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1997;1235
2;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1998;1149
3;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;1999;1186
4;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2000;1166
5;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2001;1083
6;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2002;1066
7;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2003;1088
8;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2004;881
9;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2005;817
10;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2006;811
11;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2007;791
12;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2008;750
13;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2009;720
14;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2010;640
15;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2011;661
16;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2012;650
17;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2013;570
18;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2014;570
19;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2015;621
20;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2016;629
21;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2017;613
22;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2018;678
23;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2019;661
24;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2020;610
25;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2021;582
26;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2022;745
27;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2023;684
28;Totaal mannen en vrouwen;Totaal alle leeftijden;Nederland;2024;675
29;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);1996;48
30;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);1997;49
31;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);1998;41
32;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);1999;34
33;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2000;34
34;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2001;43
35;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2002;57
36;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2003;53
37;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2004;42
38;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2005;21
39;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2006;31
40;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2007;23
41;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2008;36
42;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2009;29
43;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2010;25
44;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2011;26
45;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2012;18
46;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2013;28
47;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2014;19
48;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2015;28
49;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2016;15
50;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2017;25
51;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2018;22
52;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2019;19
53;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2020;27
54;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2021;21
55;Totaal mannen en vrouwen;Totaal alle leeftijden;Groningen (PV);2022;25
