ID;Geslacht;Leeftijd;Migratieachtergrond;Migratiereden;SociaaleconomischeCategorie;Verblijfsduur;JaarVanImmigratie;Immigranten_1
0;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1 jaar;1999 ;120935.0
1;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1 jaar;2000 ;135595.0
2;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1 jaar;2001;135785.0
3;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1 jaar;2002 ;124590.0
4;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1 jaar;2003;107215.0
5;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1 jaar;2004 ;97115.0
6;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1 jaar;2005 ;96220.0
7;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1 jaar;2006;104985.0
8;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1 jaar;2007 ;121115.0
9;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1 jaar;2008;147865.0
10;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1 jaar;2009;150755.0
11;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1 jaar;2010 ;154295.0
12;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1 jaar;2011;163400.0
13;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1 jaar;2012 ;158790.0
14;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1 jaar;2013 ;165020.0
15;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1 jaar;2014 ;183440.0
16;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1 jaar;2015 ;204690.0
17;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;1 jaar;2016;231255.0
18;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2 jaar;1999 ;120935.0
19;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2 jaar;2000 ;135595.0
20;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2 jaar;2001;135785.0
21;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2 jaar;2002 ;124590.0
22;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2 jaar;2003;107215.0
23;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2 jaar;2004 ;97115.0
24;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2 jaar;2005 ;96220.0
25;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2 jaar;2006;104985.0
26;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2 jaar;2007 ;121115.0
27;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2 jaar;2008;147865.0
28;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2 jaar;2009;150755.0
29;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2 jaar;2010 ;154295.0
30;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2 jaar;2011;163400.0
31;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2 jaar;2012 ;158790.0
32;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2 jaar;2013 ;165020.0
33;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2 jaar;2014 ;183440.0
34;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2 jaar;2015 ;204690.0
35;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;2 jaar;2016;
36;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;3 jaar;1999 ;120935.0
37;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;3 jaar;2000 ;135595.0
38;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;3 jaar;2001;135785.0
39;Totaal mannen en vrouwen;Totaal;Totaal;Totaal;Totaal;3 jaar;2002 ;124590.0
