ID;Geslacht;Leeftijd;BurgerlijkeStaat;CaribischNederland;Perioden;BevolkingOp1Januari_1
0;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2011;21087.0
1;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2012;22304.0
2;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2013;23296.0
3;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2014;24279.0
4;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2015;24593.0
5;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2016;24548.0
6;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2017;24439.0
7;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2018;25052.0
8;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2019;25157.0
9;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2020;25987.0
10;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2021;26805.0
11;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2022;27726.0
12;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2023;29418.0
13;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Caribisch Nederland;2024;30397.0
14;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2011;15679.0
15;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2012;16541.0
16;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2013;17408.0
17;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2014;18413.0
18;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2015;18905.0
19;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2016;19408.0
20;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2017;19179.0
21;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2018;19549.0
22;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2019;20104.0
23;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2020;20915.0
24;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2021;21745.0
25;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2022;22573.0
26;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2023;24090.0
27;Totaal mannen en vrouwen;Totaal;Totaal burgerlijke staat;Bonaire;2024;25133.0
