ID;InstitutioneleBeleggers;Perioden;TotaleWaarde_1;TotaleWaardeOnroerendeZaken_2;EigenGebruikBinnenland_3;TotaalNietEigenGebruik_4;TotaleWaarde_5;Binnenland_6;Buitenland_7;TotaleWaarde_8;Binnenland_9;Buitenland_10;TotaleWaardeObligaties_11;CentraleOverheid_12;LokaleOverheid_13;TotaleWaardeFinancieleInstellingen_14;Banken_15;OverigeFinancieleInstellingen_16;Overheidsbedrijven_17;ParticuliereBedrijven_18;IZWS_19;Buitenland_20;TotaleWaardeAandelen_21;TotaleWaardeFinancieleInstellingen_22;Banken_23;OverigeFinancieleInstellingen_24;Overheidsbedrijven_25;ParticuliereBedrijven_26;IZWS_27;Buitenland_28;TotaleWaardeDeelnemingen_29;TotaleWaardeFinancieleInstellingen_30;Banken_31;OverigeFinancieleBedrijven_32;ParticuliereBedrijven_33;Buitenland_34;TotaalWaardeVorderingen_35;TotaleWaardeFinancieleInstellingen_36;Banken_37;OverigeFinancieleInstellingen_38;ParticuliereBedrijven_39;Buitenland_40;TotaleWaardeHypothecaireLeningen_41;TotaleWaardeWoninghypotheken_42;OverigeFinancieleInstellingen_43;Overheidsbedrijven_44;ParticuliereBedrijven_45;IZWS_46;Huishoudens_47;Buitenland_48;TotaleWaardeOverigeHypotheken_49;SocialeFondsen_50;OverigeFinancieleInstellingen_51;Overheidsbedrijven_52;ParticuliereBedrijven_53;IZWS_54;Huishoudens_55;Buitenland_56;TotaleWaardeNietHypothecaireLenigen_57;CentraleOverheid_58;LokaleOverheid_59;SocialeFondsen_60;TotaleWaardeFinancieleInstellingen_61;Banken_62;OverigeFinancieleInstellingen_63;Overheidsbedrijven_64;ParticuliereBedrijven_65;IZWS_66;Huishoudens_67;Buitenland_68;TotaleWaardeKortKredietUG_69;CentraleOverheid_70;LokaleOverheid_71;SocialeFondsen_72;TotaleWaardeFinancieleInstellingen_73;Banken_74;OverigeFinancieleInstellingen_75;Overheidsbedrijven_76;ParticuliereBedrijven_77;IZWS_78;Huishoudens_79;Buitenland_80;TotaleWaardeKortlopendeWaardepapieren_81;CentraleOverheid_82;LokaleOverheid_83;SocialeFondsen_84;TotaleWaardeFinancieleInstellingen_85;Banken_86;OverigeFinancieleDiensten_87;Overheidsbedrijven_88;ParticuliereBedrijven_89;IZWS_90;Buitenland_91;TotaleWaardeTermijndeposito_92;Banken_93;Buitenland_94;TotaleWaardeTermijndepositoS_95;Banken_96;Buitenland_97;TotaleWaarde_98;Banken_99;Buitenland_100;TotaleWaardePassiva_101;TotaleWaardeLangKredietOG_102;CentraleOverheid_103;LokaleOverheid_104;SocialeFondsen_105;TotaleWaardeFinancieleInstellingen_106;Banken_107;OverigeFinancieleInstellingen_108;Overheidsbedrijven_109;ParticuliereBedrijven_110;IZWS_111;Huishoudens_112;Buitenland_113;TotaleWaardeObligaties_114;Binnenland_115;Buitenland_116;TotaleWaardeKortKredietOG_117;CentraleOverheid_118;LokaleOverheid_119;SocialeFondsen_120;TotaleWaardeFinancieleInstellingen_121;Banken_122;OverigeFinancieleInstellingen_123;Overheidsbedrijven_124;ParticuliereBedrijven_125;IZWS_126;Huishoudens_127;Buitenland_128;GestortAandelenkapitaal_129;Agioreserve_130
0;Alle institutionele beleggers;1999, 1e kwartaal;611963.2;34810.3;657.3;34153;16526.4;16438.5;87.9;17626.3;15683.9;1942.4;196885.4;78653.9;1928.2;24461.1;18999.0;5462.1;1738.0;3284.7;0.0;86818.8;224707.4;53472.1;14843.2;38628.9;442.4;49169.0;0.4;121622.9;2580.4;394.1;0;394.1;251.1;1935.2;47.6;0.0;0;0.0;47.6;0;38258.6;36652.2;0.0;15.4;8.1;0;36624.9;3.7;1606.4;0.0;110.2;63.0;717.0;12.2;704.1;0;59705.1;9304.8;10786.1;111.5;8666.4;5433.3;3233.1;27478.9;1393.8;190.4;209.4;1563.0;8782.8;4339.9;68.3;595.3;3462.3;3070.7;391.6;77.9;140.9;0.0;10.2;87.9;12.8;0;0;0;12.8;0.0;12.8;0;0;0;0.0;9813.0;9813.0;0.0;213.5;64.5;149.0;3469.7;2853.8;615.9;10583.4;968.8;0;7.3;0.0;885.2;572.6;312.6;0.0;33.4;4.7;18.5;19.6;0.0;0.0;0.0;6291.9;2750.6;0;583.0;1706.6;819.2;887.4;0.0;54.0;0.0;96.0;1101.6;1011.6;2284.3
1;Alle institutionele beleggers;1999, 2e kwartaal;636330.2;34336.1;584.1;33752;16089.0;15990.3;98.7;17662.9;15447.1;2215.8;200277.4;75444.8;1840.9;25839.4;20321.8;5517.6;2186.0;3283.5;0.0;91682.5;249392.3;51855.0;15091.6;36763.4;508.9;47513.8;0.4;149514.0;2955.7;442.7;0;442.7;304.0;2208.9;48.2;0.6;0;0.6;47.6;0;40932.4;39216.9;454.9;6.9;8.3;0;38743.0;3.7;1715.5;0.0;115.9;65.4;752.7;12.0;769.6;0;56469.4;7504.1;10443.7;344.6;8182.6;4996.1;3186.5;27246.7;1247.7;168.0;217.0;1115.2;7208.5;3560.6;66.8;359.8;2812.0;2049.5;762.5;27.5;114.4;0.0;19.4;248.2;3.6;0;0;0;1.4;0.0;1.4;0;0;0;2.3;7390.5;7361.0;29.5;281.6;41.2;240.4;5558.1;5208.7;349.4;14060.5;1190.5;0;7.3;0.0;1105.9;759.2;346.7;0.0;33.6;4.7;19.4;19.6;0.0;0.0;0.0;9526.2;2625.0;0;372.7;2586.0;2074.3;511.7;10.1;58.2;0.0;86.0;3788.2;1040.2;2303.7
2;Alle institutionele beleggers;1999, 3e kwartaal;631089.9;35369.2;666.2;34703;16825.6;16722.8;102.8;17877.7;15704.9;2172.8;204508.3;72236.3;1613.5;25903.2;20072.5;5830.7;2070.0;3092.0;5.9;99587.7;246708.8;52231.9;16201.7;36030.2;156.4;46056.6;0.4;148262.9;3236.5;450.1;0;450.1;243.3;2543.0;47.6;0.0;0;0.0;47.6;0;41682.4;39988.3;5.7;8.9;8.3;0;39870.5;94.9;1694.1;0.0;118.1;56.6;723.2;11.8;784.3;0;80426.4;6308.7;10008.2;310.1;23222.7;16243.6;6979.1;28328.0;5360.2;228.1;2359.9;4300.5;7412.0;4719.7;45.2;228.0;2189.3;1568.4;620.9;173.3;49.6;1.2;4.0;1.8;7.3;0;0;0;3.9;0.0;3.9;0;0;0;3.4;7810.4;7776.3;34.1;317.2;44.6;272.6;3351.6;2883.0;468.6;10962.6;1035.1;0;7.3;0.0;939.7;565.8;373.9;0.0;33.2;4.7;19.8;30.5;0.0;0.0;0.0;6692.1;1905.4;0;188.0;2195.7;1778.0;417.7;0.0;56.6;0.0;85.0;2261.5;1027.7;2143.0
3;Alle institutionele beleggers;1999, 4e kwartaal;685309.7;37483.2;674.2;36809;17803.6;17698.2;105.4;19005.0;16966.4;2038.6;204699.2;72764.0;753.5;22466.4;15788.7;6677.7;958.7;3553.6;1.3;104201.2;300089.4;59543.1;18278.5;41264.6;123.2;47953.8;0.3;192469.1;3924.1;498.1;0;498.1;240.4;3185.4;47.6;0.0;0;0.0;47.6;0;40334.6;38729.5;0.0;4.6;631.9;0;38003.8;89.1;1605.1;1.3;97.6;49.2;696.0;11.4;750.0;0;79740.5;5730.3;9530.1;30.4;26788.9;18082.5;8706.4;25401.3;5282.8;230.9;2005.7;4738.4;7289.8;4741.4;60.2;113.6;2045.7;1203.4;842.3;11.1;23.9;0.0;33.0;261.2;20.3;0;0;0;15.2;0.0;15.2;0;0;0;5.1;8273.4;8266.0;7.5;200.9;75.5;125.3;3207.0;2701.2;505.7;11644.8;2310.5;0;7.3;2.0;1007.5;666.7;340.8;0.0;7.4;4.7;20.1;1261.7;988.0;254.7;733.3;5071.9;1552.8;0;137.3;2240.3;1863.3;377.0;25.7;66.1;17.4;86.9;945.2;951.6;2254.0
4;Alle institutionele beleggers;2000, 1e kwartaal;720496.1;37555.3;702.3;36853;17061.7;16962.1;99.6;19791.0;17901.7;1889.3;222967.4;78279.0;768.6;22998.2;15821.8;7176.4;998.7;4011.6;1.2;115911.0;312455.4;59381.7;16138.5;43243.2;109.6;45719.7;210.2;207033.9;4689.7;477.0;0;477.0;270.1;3942.1;47.6;0.0;0;0.0;47.6;0;41738.4;40096.1;28.6;11.5;696.2;0;39262.7;97.1;1642.3;0.0;72.4;72.5;711.2;12.2;774.0;0;77673.0;5237.4;9023.3;13.6;26748.4;18136.4;8612.0;25445.0;4497.3;288.7;2042.5;4376.3;8658.1;7062.1;171.2;299.8;830.7;332.0;498.7;29.0;194.4;0.0;29.5;41.5;18.2;0;0;0;11.7;0.0;11.7;0;0;0;6.5;8213.3;8213.1;0.0;509.0;262.0;247.0;5971.9;5747.2;224.8;9623.2;1240.3;0;7.3;0.0;1110.0;736.9;373.1;0.0;48.7;15.1;28.5;30.7;952.4;210.8;741.6;4107.1;604.5;0;311.3;2845.8;2693.1;152.7;26.4;71.7;0.0;88.3;159.2;965.5;2287.0
5;Alle institutionele beleggers;2000, 2e kwartaal;717661.8;37566.5;704.5;36862;17064.6;17037.0;27.6;19797.7;17929.4;1868.3;226703.1;74672.1;705.4;23137.6;15535.4;7602.2;818.6;4461.7;0.0;122908.5;307680.0;55997.1;18549.0;37448.1;87.5;45473.4;0.3;206122.4;5592.0;933.0;0;933.0;279.7;4378.8;0.0;0.0;0;0.0;0.0;0;42079.0;40443.7;0.0;10.2;745.2;0;39596.8;91.5;1635.3;1.3;72.7;52.2;704.7;11.6;792.9;0;73249.6;4197.8;8718.8;16.2;25914.4;17359.2;8555.2;23195.5;4396.6;482.7;2047.7;4280.0;8183.3;6072.1;62.0;301.1;1689.0;1500.2;188.8;0.0;16.4;0.0;29.5;13.2;27.0;0;0;0;0.0;0.0;0.0;0;0;0;27.0;8574.4;8574.4;0.0;273.1;204.2;69.0;7733.8;7537.6;196.2;8697.6;1010.2;0;7.3;2.0;872.9;512.4;360.5;0.0;50.0;15.1;29.4;33.2;925.7;184.1;741.6;3346.7;458.5;0;289.5;2158.6;1996.4;162.2;25.7;57.8;0.0;111.7;244.8;1023.9;2311.0
6;Alle institutionele beleggers;2000, 3e kwartaal;727709.8;35336.5;717.5;34619;17351.0;17326.4;24.6;17268.3;15466.3;1802.0;227818.7;71273.6;638.6;23316.7;15719.7;7597.0;715.2;4599.1;0.0;127275.6;320146.3;58817.0;19366.4;39450.6;104.6;42260.5;132.7;218832.3;5970.7;1419.9;0;1419.9;275.6;4274.9;0.0;0.0;0;0.0;0.0;0;43485.2;41859.9;0.0;7.0;765.2;0;40996.8;91.0;1625.3;1.1;72.4;35.0;695.1;11.5;809.9;0;70765.7;3171.4;8351.5;15.2;27392.3;18766.8;8625.5;21964.0;3155.4;452.4;2042.4;4220.2;9595.9;8010.9;40.7;181.3;1102.7;803.6;299.1;39.5;135.0;0.0;29.5;56.2;13.4;0;0;0;0.0;0.0;0.0;0;0;0;13.4;8861.4;8861.4;0.0;141.0;97.5;43.3;5575.7;5411.0;164.6;8420.5;962.3;0;7.3;2.0;829.9;473.3;356.6;0.0;54.7;15.1;33.6;19.6;931.3;189.7;741.6;2954.4;0.5;0;177.0;1890.3;1803.0;87.3;25.7;40.5;0.0;123.5;697.1;1025.1;2445.8
7;Alle institutionele beleggers;2000, 4e kwartaal;704860.7;37684.6;745.6;36939;18917.2;18892.7;24.5;18022.1;16220.4;1801.7;232790.0;68998.8;556.3;24235.9;15355.0;8880.9;738.9;4295.3;1.2;133963.2;291450.2;51533.6;15537.2;35996.4;145.3;40964.0;1.0;198806.4;5406.1;1269.3;0;1269.3;821.6;3314.6;0.2;0.1;0;0.1;0.1;0;42982.6;41430.0;0.0;7.1;749.9;0;40540.0;132.9;1552.6;1.1;70.9;34.8;700.3;10.0;735.4;0;66251.1;2615.1;8346.7;16.3;23381.2;15009.3;8371.9;21727.0;3109.7;505.5;2071.2;4478.9;12965.1;9593.2;35.3;94.3;3107.4;2621.4;486.0;46.9;53.1;0.0;25.5;9.4;38.2;0;0;0;36.3;34.8;1.5;0;0;0;1.9;10408.6;10408.8;0.0;170.8;134.3;36.6;4713.7;4595.4;118.3;7498.9;943.3;0;7.3;2.0;807.3;416.9;390.4;0.0;56.5;14.8;35.8;19.6;816.0;74.4;741.6;2383.9;6.4;0;96.7;2167.6;1817.6;350.0;24.7;55.2;0.0;25.0;8.5;1022.1;2336.2
8;Alle institutionele beleggers;2001, 1e kwartaal;709796.2;38268.1;797.1;37471;19203.0;19180.2;22.8;18268.0;16542.3;1725.7;238498.1;63257.4;621.9;22351.6;14710.3;7641.3;662.9;4454.0;1.1;147150.4;289053.9;51679.9;12312.2;39367.7;96.3;38519.4;6.4;198751.2;5537.7;1268.2;0;1268.2;835.0;3434.5;0.1;0.0;0;0.0;0.1;0;44281.0;42737.7;0.0;6.5;546.9;0;42038.1;146.2;1543.3;1.0;90.9;32.8;655.6;9.9;753.2;0;63975.2;2192.4;8006.4;14.4;22706.4;14819.2;7887.2;21243.5;2958.3;490.0;2098.9;4265.0;16557.4;12821.4;262.7;277.7;2509.3;2102.9;406.4;377.6;188.7;0.0;27.4;92.9;89.5;0;0;0;82.6;36.6;46.0;0;0;0;6.7;8757.5;8749.9;7.5;34.5;15.9;18.7;4744.3;4488.4;255.9;9754.2;1019.2;0;7.3;2.3;937.0;520.3;416.7;0.0;21.2;17.7;14.1;19.6;862.4;106.0;756.4;4361.4;8.1;0;306.0;3980.1;3100.3;879.8;27.2;40.0;0.0;0.0;0.0;934.3;2579.6
9;Alle institutionele beleggers;2001, 2e kwartaal;720093.2;38757.5;798.5;37959;19661.5;19550.8;110.7;18297.9;16716.6;1581.3;235783.7;58243.7;580.7;20832.2;11668.0;9164.2;988.3;2730.8;0.5;152407.6;303435.5;52375.3;13166.6;39208.7;287.3;39125.8;6.6;211640.6;5436.1;1298.3;0;1298.3;836.3;3301.5;0.1;0.0;0;0.0;0.1;0;43846.6;42270.5;0.0;6.2;568.0;0;41543.3;153.0;1576.1;0.9;91.3;31.1;678.4;9.7;764.6;0;64503.5;2638.0;7320.7;15.0;23943.7;16235.5;7708.2;19257.1;4855.9;398.3;2154.8;3919.5;13943.8;11904.7;41.0;354.1;1220.9;493.6;727.3;117.2;75.3;0.0;25.4;205.2;98.2;0;0;0;79.0;47.7;31.3;0;0;0;19.3;8224.5;8224.4;0.0;135.0;82.0;53.0;5928.9;5616.5;312.4;9611.0;835.8;0;7.3;2.3;754.7;316.1;438.6;0.0;20.3;17.4;14.2;19.6;877.0;120.6;756.4;4321.5;8.9;0;320.3;3908.5;3363.3;545.2;27.8;38.7;0.0;0.0;17.2;861.2;2719.8
